mes_nome,n_anos,anos_ocorrencia
Jan,24,"1995, 1996, 1997, 1999, 2000, 2001, 2002, 2003, 2004, 2006, 2008, 2009, 2010, 2011, 2013, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
Fev,22,"1994, 1995, 1998, 2000, 2001, 2003, 2005, 2007, 2008, 2009, 2010, 2011, 2014, 2015, 2016, 2017, 2019, 2020, 2021, 2022, 2023, 2024"
Mar,19,"1992, 1994, 1996, 2000, 2001, 2002, 2004, 2007, 2010, 2011, 2013, 2015, 2016, 2018, 2019, 2020, 2021, 2022, 2023"
Abr,12,"2001, 2004, 2009, 2010, 2013, 2015, 2016, 2017, 2018, 2019, 2022, 2024"
Mai,13,"1994, 2004, 2008, 2010, 2012, 2013, 2015, 2017, 2018, 2019, 2021, 2022, 2024"
Jun,8,"2014, 2015, 2017, 2020, 2021, 2022, 2023, 2024"
Jul,10,"1993, 1995, 2009, 2011, 2014, 2015, 2020, 2021, 2023, 2024"
Ago,7,"1998, 2005, 2011, 2013, 2020, 2021, 2022"
Set,13,"1996, 1998, 2001, 2004, 2009, 2010, 2011, 2013, 2015, 2017, 2020, 2021, 2023"
Out,12,"1991, 1997, 2001, 2006, 2013, 2015, 2016, 2017, 2021, 2022, 2023, 2024"
Nov,13,"1991, 1993, 2003, 2006, 2008, 2015, 2016, 2017, 2018, 2021, 2022, 2023, 2024"
Dez,13,"1995, 1996, 1998, 2002, 2007, 2011, 2015, 2016, 2017, 2020, 2021, 2022, 2024"
