mes_nome,ano,n_eventos
Jan,1995,2
Jan,1996,1
Jan,1997,4
Jan,1999,2
Jan,2000,1
Jan,2001,1
Jan,2002,2
Jan,2003,4
Jan,2004,3
Jan,2006,1
Jan,2008,14
Jan,2009,5
Jan,2010,3
Jan,2011,16
Jan,2013,2
Jan,2016,3
Jan,2017,9
Jan,2018,15
Jan,2019,8
Jan,2020,5
Jan,2021,10
Jan,2022,8
Jan,2023,6
Jan,2024,12
Fev,1994,1
Fev,1995,5
Fev,1998,2
Fev,2000,6
Fev,2001,7
Fev,2003,2
Fev,2005,1
Fev,2007,2
Fev,2008,2
Fev,2009,1
Fev,2010,1
Fev,2011,3
Fev,2014,5
Fev,2015,2
Fev,2016,2
Fev,2017,1
Fev,2019,8
Fev,2020,8
Fev,2021,3
Fev,2022,3
Fev,2023,1
Fev,2024,4
Mar,1992,1
Mar,1994,5
Mar,1996,4
Mar,2000,1
Mar,2001,1
Mar,2002,1
Mar,2004,3
Mar,2007,1
Mar,2010,8
Mar,2011,4
Mar,2013,3
Mar,2015,3
Mar,2016,4
Mar,2018,4
Mar,2019,2
Mar,2020,4
Mar,2021,7
Mar,2022,5
Mar,2023,8
Abr,2001,1
Abr,2004,3
Abr,2009,4
Abr,2010,6
Abr,2013,2
Abr,2015,1
Abr,2016,5
Abr,2017,1
Abr,2018,1
Abr,2019,1
Abr,2022,1
Abr,2024,5
Mai,1994,2
Mai,2004,8
Mai,2008,1
Mai,2010,10
Mai,2012,1
Mai,2013,2
Mai,2015,3
Mai,2017,7
Mai,2018,1
Mai,2019,6
Mai,2021,8
Mai,2022,13
Mai,2024,8
Jun,2014,3
Jun,2015,1
Jun,2017,6
Jun,2020,1
Jun,2021,14
Jun,2022,1
Jun,2023,4
Jun,2024,4
Jul,1993,1
Jul,1995,1
Jul,2009,2
Jul,2011,1
Jul,2014,1
Jul,2015,1
Jul,2020,1
Jul,2021,1
Jul,2023,1
Jul,2024,4
Ago,1998,1
Ago,2005,2
Ago,2011,7
Ago,2013,1
Ago,2020,1
Ago,2021,1
Ago,2022,11
Set,1996,1
Set,1998,1
Set,2001,7
Set,2004,1
Set,2009,9
Set,2010,1
Set,2011,19
Set,2013,4
Set,2015,1
Set,2017,4
Set,2020,1
Set,2021,2
Set,2023,4
Out,1991,3
Out,1997,1
Out,2001,5
Out,2006,1
Out,2013,3
Out,2015,2
Out,2016,2
Out,2017,1
Out,2021,3
Out,2022,4
Out,2023,30
Out,2024,5
Nov,1991,4
Nov,1993,2
Nov,2003,3
Nov,2006,1
Nov,2008,22
Nov,2015,3
Nov,2016,1
Nov,2017,1
Nov,2018,4
Nov,2021,3
Nov,2022,14
Nov,2023,12
Nov,2024,1
Dez,1995,7
Dez,1996,1
Dez,1998,1
Dez,2002,1
Dez,2007,1
Dez,2011,2
Dez,2015,2
Dez,2016,3
Dez,2017,1
Dez,2020,6
Dez,2021,6
Dez,2022,21
Dez,2024,4
