protocolo_s2i_d,nome_municipio,sigla_uf,regiao,data_registro,data_evento,cod_cobrade,tipologia,descricao_tipologia,grupo_de_desastre,cod_ibge_mun,setores_censitarios,status,dh_descricao,dh_mortos,dh_feridos,dh_enfermos,dh_desabrigados,dh_desalojados,dh_desaparecidos,dh_afetados_seca_estiagem,dh_total_danos_humanos_diretos,dh_outros_afetados,dm_descricao,dm_uni_habita_danificadas,dm_uni_habita_destruidas,dm_uni_habita_valor,dm_inst_saude_danificadas,dm_inst_saude_destruidas,dm_inst_saude_valor,dm_inst_ensino_danificadas,dm_inst_ensino_destruidas,dm_inst_ensino_valor,dm_inst_servicos_danificadas,dm_inst_servicos_destruidas,dm_inst_servicos_valor,dm_inst_comuni_danificadas,dm_inst_comuni_destruidas,dm_inst_comuni_valor,dm_obras_de_infra_danificadas,dm_obras_de_infra_destruidas,dm_obras_de_infra_valor,dm_total_danos_materiais,da_descricao,da_polui_cont_da_agua,da_polui_cont_do_ar,da_polui_cont_do_solo,da_dimi_exauri_hidrico,da_incendi_parques_ap_as_ap_ps,pepl_descricao,pepl_assis_med_e_emergen_r,pepl_abast_de_agua_pot_r,pepl_sist_de_esgotos_sanit_r,pepl_sis_limp_e_rec_lixo_r,pepl_sis_cont_pragas_r,pepl_distrib_energia_r,pepl_telecomunicacoes_r,pepl_tran_loc_reg_l_curso_r,pepl_distrib_combustiveis_r,pepl_seguranca_publica_r,pepl_ensino_r,pepl_total_publico,pepr_descricao,pepr_agricultura_r,pepr_pecuaria_r,pepr_industria_r,pepr_comercio_r,pepr_servicos_r,pepr_total_privado,pe_p_le_pr,ano,mes,mes_nome,categoria_evento
SC-D-4202305-12200-19911003,Biguaçu,SC,Sul,1991-10-03,1991-10-03,12200,2,Enxurradas,Hidrológico,4202305,NA,Registro,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1991,10,Out,Enxurradas
SC-D-4208450-12100-19911005,Itapoá,SC,Sul,1991-10-05,1991-10-05,12100,7,Inundações,Hidrológico,4208450,NA,Registro,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1991,10,Out,Inundações
SC-R-4202008-12200-19911031,Balneário Camboriú,SC,Sul,1991-10-31,1991-10-31,12200,2,Enxurradas,Hidrológico,4202008,NA,Registro,NA,0,0,0,0,150,0,0,150,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1991,10,Out,Enxurradas
SC-D-4205803-12200-19911113,Garuva,SC,Sul,1991-11-13,1991-11-13,12200,2,Enxurradas,Hidrológico,4205803,NA,Registro,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1991,11,Nov,Enxurradas
SC-R-4211900-12100-19911114,Palhoça,SC,Sul,1991-11-14,1991-11-14,12100,7,Inundações,Hidrológico,4211900,NA,Registro,NA,1,350,0,3045,3000,0,0,6396,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1991,11,Nov,Inundações
SC-R-4205407-12200-19911114,Florianópolis,SC,Sul,1991-11-14,1991-11-14,12200,2,Enxurradas,Hidrológico,4205407,NA,Registro,NA,0,0,0,500,1000,0,0,1500,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1991,11,Nov,Enxurradas
SC-R-4216602-12200-19911115,São José,SC,Sul,1991-11-15,1991-11-15,12200,2,Enxurradas,Hidrológico,4216602,NA,Registro,NA,7,0,0,3500,0,0,0,3507,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1991,11,Nov,Enxurradas
SC-D-4211306-12100-19920304,Navegantes,SC,Sul,1992-03-04,1992-03-04,12100,7,Inundações,Hidrológico,4211306,NA,Registro,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1992,3,Mar,Inundações
SC-D-4216404-12200-19930720,São João do Sul,SC,Sul,1993-07-20,1993-07-20,12200,2,Enxurradas,Hidrológico,4216404,NA,Registro,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1993,7,Jul,Enxurradas
SC-P-4201406-12200-19931111,Araranguá,SC,Sul,1993-11-11,1993-11-11,12200,2,Enxurradas,Hidrológico,4201406,NA,Registro,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1993,11,Nov,Enxurradas
