nome_municipio,ano,categoria_evento,n_eventos
Araquari,1994,Enxurradas,1
Araquari,1995,Enxurradas,1
Araquari,2001,Enxurradas,1
Araquari,2003,Enxurradas,1
Araquari,2006,Alagamentos,1
Araquari,2008,Enxurradas,1
Araquari,2010,Enxurradas,2
Araquari,2011,Enxurradas,2
Araquari,2011,Inundações,1
Araquari,2013,Alagamentos,2
Araquari,2014,Alagamentos,1
Araquari,2017,Alagamentos,2
Araquari,2017,Chuvas Intensas,1
Araquari,2017,Movimento de Massa,1
Araquari,2019,Chuvas Intensas,1
Araquari,2022,Chuvas Intensas,5
Araquari,2023,Chuvas Intensas,3
Araquari,2024,Chuvas Intensas,4
Araranguá,1993,Enxurradas,1
Araranguá,1994,Enxurradas,1
Araranguá,1995,Enxurradas,1
Araranguá,1996,Enxurradas,1
Araranguá,2000,Enxurradas,1
Araranguá,2001,Enxurradas,1
Araranguá,2004,Inundações,1
Araranguá,2005,Inundações,1
Araranguá,2008,Enxurradas,1
Araranguá,2009,Enxurradas,2
Araranguá,2010,Enxurradas,2
Araranguá,2011,Enxurradas,1
Araranguá,2013,Enxurradas,1
Araranguá,2014,Enxurradas,2
Araranguá,2015,Enxurradas,2
Araranguá,2021,Chuvas Intensas,2
Araranguá,2022,Chuvas Intensas,3
Araranguá,2022,Enxurradas,2
Araranguá,2023,Chuvas Intensas,1
Araranguá,2024,Chuvas Intensas,2
Balneário Arroio do Silva,2001,Inundações,1
Balneário Arroio do Silva,2009,Enxurradas,1
Balneário Arroio do Silva,2010,Enxurradas,2
Balneário Arroio do Silva,2011,Enxurradas,2
Balneário Arroio do Silva,2022,Chuvas Intensas,1
Balneário Barra do Sul,1994,Enxurradas,1
Balneário Barra do Sul,2008,Enxurradas,1
Balneário Barra do Sul,2009,Enxurradas,2
Balneário Barra do Sul,2010,Enxurradas,1
Balneário Barra do Sul,2011,Enxurradas,2
Balneário Barra do Sul,2014,Alagamentos,1
Balneário Barra do Sul,2015,Inundações,1
Balneário Barra do Sul,2017,Enxurradas,1
Balneário Barra do Sul,2019,Chuvas Intensas,1
Balneário Barra do Sul,2020,Chuvas Intensas,1
Balneário Barra do Sul,2021,Inundações,1
Balneário Barra do Sul,2022,Chuvas Intensas,1
Balneário Barra do Sul,2023,Chuvas Intensas,1
Balneário Barra do Sul,2024,Alagamentos,1
Balneário Barra do Sul,2024,Chuvas Intensas,3
Balneário Camboriú,1991,Enxurradas,1
Balneário Camboriú,1994,Enxurradas,1
Balneário Camboriú,2004,Enxurradas,1
Balneário Camboriú,2007,Enxurradas,1
Balneário Camboriú,2008,Enxurradas,2
Balneário Camboriú,2011,Inundações,1
Balneário Camboriú,2015,Enxurradas,1
Balneário Camboriú,2018,Chuvas Intensas,1
Balneário Camboriú,2019,Movimento de Massa,1
Balneário Camboriú,2020,Chuvas Intensas,3
Balneário Camboriú,2020,Inundações,1
Balneário Camboriú,2021,Chuvas Intensas,5
Balneário Camboriú,2022,Chuvas Intensas,2
Balneário Camboriú,2022,Inundações,1
Balneário Camboriú,2023,Chuvas Intensas,7
Balneário Camboriú,2024,Chuvas Intensas,3
Balneário Gaivota,2001,Inundações,1
Balneário Gaivota,2003,Inundações,1
Balneário Gaivota,2004,Enxurradas,1
Balneário Gaivota,2005,Inundações,1
Balneário Gaivota,2009,Enxurradas,1
Balneário Gaivota,2010,Enxurradas,1
Balneário Gaivota,2011,Enxurradas,1
Balneário Gaivota,2016,Enxurradas,1
Balneário Gaivota,2017,Enxurradas,1
Balneário Gaivota,2021,Enxurradas,1
Balneário Gaivota,2023,Chuvas Intensas,2
Balneário Gaivota,2024,Chuvas Intensas,2
Balneário Piçarras,2008,Enxurradas,2
Balneário Piçarras,2009,Enxurradas,2
Balneário Piçarras,2010,Enxurradas,1
Balneário Piçarras,2011,Alagamentos,1
Balneário Piçarras,2013,Enxurradas,1
Balneário Piçarras,2019,Chuvas Intensas,1
Balneário Piçarras,2021,Alagamentos,3
Balneário Piçarras,2021,Chuvas Intensas,2
Balneário Piçarras,2021,Movimento de Massa,1
Balneário Piçarras,2022,Alagamentos,3
Balneário Piçarras,2022,Chuvas Intensas,1
Balneário Piçarras,2023,Inundações,1
Balneário Piçarras,2024,Alagamentos,1
Balneário Rincão,2014,Alagamentos,1
Balneário Rincão,2015,Alagamentos,2
Balneário Rincão,2016,Alagamentos,1
Balneário Rincão,2019,Enxurradas,1
Balneário Rincão,2023,Alagamentos,1
Barra Velha,2003,Inundações,1
Barra Velha,2008,Enxurradas,1
Barra Velha,2009,Enxurradas,1
Barra Velha,2010,Enxurradas,1
Barra Velha,2011,Enxurradas,1
Barra Velha,2013,Chuvas Intensas,1
Barra Velha,2017,Enxurradas,1
Barra Velha,2018,Alagamentos,2
Barra Velha,2018,Chuvas Intensas,1
Barra Velha,2018,Enxurradas,1
Barra Velha,2019,Alagamentos,1
Barra Velha,2019,Chuvas Intensas,1
Barra Velha,2020,Chuvas Intensas,2
Barra Velha,2020,Enxurradas,1
Barra Velha,2021,Alagamentos,2
Barra Velha,2022,Alagamentos,1
Barra Velha,2022,Chuvas Intensas,1
Barra Velha,2022,Enxurradas,1
Barra Velha,2023,Chuvas Intensas,1
Barra Velha,2023,Enxurradas,1
Barra Velha,2023,Movimento de Massa,1
Barra Velha,2024,Alagamentos,1
Barra Velha,2024,Inundações,1
Biguaçu,1991,Enxurradas,1
Biguaçu,1994,Enxurradas,1
Biguaçu,1995,Enxurradas,2
Biguaçu,1997,Enxurradas,1
Biguaçu,2000,Inundações,1
Biguaçu,2004,Enxurradas,1
Biguaçu,2006,Enxurradas,1
Biguaçu,2008,Enxurradas,2
Biguaçu,2010,Enxurradas,1
Biguaçu,2011,Enxurradas,2
Biguaçu,2011,Inundações,1
Biguaçu,2016,Enxurradas,1
Biguaçu,2018,Alagamentos,1
Biguaçu,2019,Chuvas Intensas,1
Biguaçu,2021,Chuvas Intensas,1
Biguaçu,2021,Inundações,1
Biguaçu,2022,Chuvas Intensas,1
Biguaçu,2022,Enxurradas,5
Biguaçu,2023,Chuvas Intensas,2
Biguaçu,2024,Chuvas Intensas,1
Biguaçu,2024,Movimento de Massa,1
Bombinhas,2000,Enxurradas,1
Bombinhas,2004,Enxurradas,1
Bombinhas,2009,Enxurradas,1
Bombinhas,2011,Enxurradas,1
Bombinhas,2013,Chuvas Intensas,1
Bombinhas,2016,Alagamentos,2
Bombinhas,2016,Enxurradas,1
Bombinhas,2018,Enxurradas,1
Bombinhas,2020,Chuvas Intensas,1
Florianópolis,1991,Enxurradas,1
Florianópolis,1995,Enxurradas,1
Florianópolis,1995,Movimento de Massa,1
Florianópolis,1997,Enxurradas,1
Florianópolis,2000,Enxurradas,1
Florianópolis,2001,Enxurradas,1
Florianópolis,2008,Enxurradas,2
Florianópolis,2010,Enxurradas,2
Florianópolis,2011,Enxurradas,5
Florianópolis,2011,Inundações,1
Florianópolis,2015,Enxurradas,2
Florianópolis,2017,Enxurradas,2
Florianópolis,2018,Chuvas Intensas,1
Florianópolis,2019,Chuvas Intensas,1
Florianópolis,2020,Alagamentos,2
Florianópolis,2020,Chuvas Intensas,1
Florianópolis,2021,Chuvas Intensas,2
Florianópolis,2022,Chuvas Intensas,4
Florianópolis,2023,Chuvas Intensas,3
Florianópolis,2024,Alagamentos,1
Florianópolis,2024,Chuvas Intensas,1
Garopaba,2008,Enxurradas,1
Garopaba,2010,Enxurradas,1
Garopaba,2011,Alagamentos,1
Garopaba,2015,Inundações,1
Garopaba,2017,Inundações,1
Garopaba,2021,Alagamentos,1
Garopaba,2021,Chuvas Intensas,1
Garopaba,2021,Movimento de Massa,1
Garopaba,2022,Chuvas Intensas,1
Garopaba,2022,Movimento de Massa,1
Garopaba,2023,Chuvas Intensas,1
Garopaba,2024,Chuvas Intensas,1
Garuva,1991,Enxurradas,1
Garuva,1995,Enxurradas,1
Garuva,1996,Enxurradas,1
Garuva,1997,Enxurradas,1
Garuva,1998,Enxurradas,1
Garuva,2001,Inundações,1
Garuva,2003,Enxurradas,1
Garuva,2007,Enxurradas,1
Garuva,2008,Enxurradas,1
Garuva,2014,Enxurradas,1
Garuva,2016,Chuvas Intensas,1
Garuva,2017,Chuvas Intensas,1
Garuva,2017,Enxurradas,2
Garuva,2018,Chuvas Intensas,2
Garuva,2019,Enxurradas,1
Garuva,2020,Chuvas Intensas,1
Garuva,2021,Chuvas Intensas,4
Garuva,2022,Chuvas Intensas,2
Garuva,2022,Enxurradas,1
Garuva,2024,Chuvas Intensas,1
Governador Celso Ramos,1995,Enxurradas,1
Governador Celso Ramos,2000,Enxurradas,1
Governador Celso Ramos,2001,Enxurradas,1
Governador Celso Ramos,2002,Alagamentos,1
Governador Celso Ramos,2004,Enxurradas,1
Governador Celso Ramos,2008,Enxurradas,2
