nome_municipio,mes_nome,ano,n_eventos
Araquari,Jan,2003,1
Araquari,Jan,2010,1
Araquari,Jan,2011,1
Araquari,Jan,2024,2
Araquari,Fev,1995,1
Araquari,Fev,2001,1
Araquari,Fev,2019,1
Araquari,Fev,2024,1
Araquari,Mar,1994,1
Araquari,Mar,2011,1
Araquari,Mar,2013,1
Araquari,Mar,2022,1
Araquari,Mar,2023,1
Araquari,Mai,2010,1
Araquari,Mai,2017,1
Araquari,Jun,2014,1
Araquari,Set,2011,1
Araquari,Set,2017,2
Araquari,Out,2006,1
Araquari,Out,2013,1
Araquari,Out,2017,1
Araquari,Out,2023,1
Araquari,Nov,2008,1
Araquari,Nov,2022,3
Araquari,Nov,2023,1
Araquari,Dez,2022,1
Araquari,Dez,2024,1
Araranguá,Jan,2009,1
Araranguá,Jan,2011,1
Araranguá,Jan,2022,1
Araranguá,Fev,2000,1
Araranguá,Fev,2014,2
Araranguá,Mar,2010,1
Araranguá,Abr,2015,1
Araranguá,Mai,1994,1
Araranguá,Mai,2004,1
Araranguá,Mai,2010,1
Araranguá,Mai,2015,1
Araranguá,Mai,2022,1
Araranguá,Mai,2024,2
Araranguá,Ago,2005,1
Araranguá,Ago,2013,1
Araranguá,Ago,2022,2
Araranguá,Set,1996,1
Araranguá,Set,2001,1
Araranguá,Set,2009,1
Araranguá,Out,2023,1
Araranguá,Nov,1993,1
Araranguá,Nov,2008,1
Araranguá,Nov,2021,1
Araranguá,Nov,2022,1
Araranguá,Dez,1995,1
Araranguá,Dez,2021,1
Balneário Arroio do Silva,Jan,2011,1
Balneário Arroio do Silva,Mai,2010,1
Balneário Arroio do Silva,Mai,2022,1
Balneário Arroio do Silva,Ago,2011,1
Balneário Arroio do Silva,Set,2001,1
Balneário Arroio do Silva,Set,2009,1
Balneário Arroio do Silva,Set,2010,1
Balneário Barra do Sul,Jan,2011,1
Balneário Barra do Sul,Jan,2024,3
Balneário Barra do Sul,Fev,2009,1
Balneário Barra do Sul,Fev,2019,1
Balneário Barra do Sul,Fev,2020,1
Balneário Barra do Sul,Fev,2024,1
Balneário Barra do Sul,Mar,1994,1
Balneário Barra do Sul,Mar,2021,1
Balneário Barra do Sul,Mar,2022,1
Balneário Barra do Sul,Mar,2023,1
Balneário Barra do Sul,Abr,2010,1
Balneário Barra do Sul,Mai,2017,1
Balneário Barra do Sul,Jun,2014,1
Balneário Barra do Sul,Jul,2009,1
Balneário Barra do Sul,Set,2011,1
Balneário Barra do Sul,Nov,2008,1
Balneário Barra do Sul,Dez,2015,1
Balneário Camboriú,Jan,2008,1
Balneário Camboriú,Jan,2018,1
Balneário Camboriú,Jan,2022,1
