nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Araquari,Alagamentos,Mar,2013,1
Araquari,Alagamentos,Mai,2017,1
Araquari,Alagamentos,Jun,2014,1
Araquari,Alagamentos,Set,2017,1
Araquari,Alagamentos,Out,2006,1
Araquari,Alagamentos,Out,2013,1
Araquari,Chuvas Intensas,Jan,2024,2
Araquari,Chuvas Intensas,Fev,2019,1
Araquari,Chuvas Intensas,Fev,2024,1
Araquari,Chuvas Intensas,Mar,2022,1
Araquari,Chuvas Intensas,Mar,2023,1
Araquari,Chuvas Intensas,Out,2017,1
Araquari,Chuvas Intensas,Out,2023,1
Araquari,Chuvas Intensas,Nov,2022,3
Araquari,Chuvas Intensas,Nov,2023,1
Araquari,Chuvas Intensas,Dez,2022,1
Araquari,Chuvas Intensas,Dez,2024,1
Araquari,Enxurradas,Jan,2003,1
Araquari,Enxurradas,Jan,2010,1
Araquari,Enxurradas,Jan,2011,1
Araquari,Enxurradas,Fev,1995,1
Araquari,Enxurradas,Fev,2001,1
Araquari,Enxurradas,Mar,1994,1
Araquari,Enxurradas,Mar,2011,1
Araquari,Enxurradas,Mai,2010,1
Araquari,Enxurradas,Nov,2008,1
Araquari,Inundações,Set,2011,1
Araquari,Movimento de Massa,Set,2017,1
Araranguá,Chuvas Intensas,Mai,2022,1
Araranguá,Chuvas Intensas,Mai,2024,2
Araranguá,Chuvas Intensas,Ago,2022,1
Araranguá,Chuvas Intensas,Out,2023,1
Araranguá,Chuvas Intensas,Nov,2021,1
Araranguá,Chuvas Intensas,Nov,2022,1
Araranguá,Chuvas Intensas,Dez,2021,1
Araranguá,Enxurradas,Jan,2009,1
Araranguá,Enxurradas,Jan,2011,1
Araranguá,Enxurradas,Jan,2022,1
Araranguá,Enxurradas,Fev,2000,1
Araranguá,Enxurradas,Fev,2014,2
Araranguá,Enxurradas,Mar,2010,1
Araranguá,Enxurradas,Abr,2015,1
Araranguá,Enxurradas,Mai,1994,1
Araranguá,Enxurradas,Mai,2010,1
Araranguá,Enxurradas,Mai,2015,1
Araranguá,Enxurradas,Ago,2013,1
Araranguá,Enxurradas,Ago,2022,1
Araranguá,Enxurradas,Set,1996,1
Araranguá,Enxurradas,Set,2001,1
Araranguá,Enxurradas,Set,2009,1
Araranguá,Enxurradas,Nov,1993,1
Araranguá,Enxurradas,Nov,2008,1
Araranguá,Enxurradas,Dez,1995,1
Araranguá,Inundações,Mai,2004,1
Araranguá,Inundações,Ago,2005,1
Balneário Arroio do Silva,Chuvas Intensas,Mai,2022,1
Balneário Arroio do Silva,Enxurradas,Jan,2011,1
Balneário Arroio do Silva,Enxurradas,Mai,2010,1
Balneário Arroio do Silva,Enxurradas,Ago,2011,1
Balneário Arroio do Silva,Enxurradas,Set,2009,1
Balneário Arroio do Silva,Enxurradas,Set,2010,1
Balneário Arroio do Silva,Inundações,Set,2001,1
Balneário Barra do Sul,Alagamentos,Jan,2024,1
Balneário Barra do Sul,Alagamentos,Jun,2014,1
Balneário Barra do Sul,Chuvas Intensas,Jan,2024,2
Balneário Barra do Sul,Chuvas Intensas,Fev,2019,1
Balneário Barra do Sul,Chuvas Intensas,Fev,2020,1
Balneário Barra do Sul,Chuvas Intensas,Fev,2024,1
Balneário Barra do Sul,Chuvas Intensas,Mar,2022,1
Balneário Barra do Sul,Chuvas Intensas,Mar,2023,1
Balneário Barra do Sul,Enxurradas,Jan,2011,1
Balneário Barra do Sul,Enxurradas,Fev,2009,1
Balneário Barra do Sul,Enxurradas,Mar,1994,1
Balneário Barra do Sul,Enxurradas,Abr,2010,1
Balneário Barra do Sul,Enxurradas,Mai,2017,1
Balneário Barra do Sul,Enxurradas,Jul,2009,1
Balneário Barra do Sul,Enxurradas,Set,2011,1
Balneário Barra do Sul,Enxurradas,Nov,2008,1
Balneário Barra do Sul,Inundações,Mar,2021,1
Balneário Barra do Sul,Inundações,Dez,2015,1
Balneário Camboriú,Chuvas Intensas,Jan,2018,1
Balneário Camboriú,Chuvas Intensas,Jan,2022,1
Balneário Camboriú,Chuvas Intensas,Jan,2023,2
Balneário Camboriú,Chuvas Intensas,Jan,2024,2
Balneário Camboriú,Chuvas Intensas,Mar,2020,3
Balneário Camboriú,Chuvas Intensas,Abr,2024,1
Balneário Camboriú,Chuvas Intensas,Mai,2021,3
Balneário Camboriú,Chuvas Intensas,Mai,2022,1
Balneário Camboriú,Chuvas Intensas,Jun,2021,1
Balneário Camboriú,Chuvas Intensas,Ago,2021,1
Balneário Camboriú,Chuvas Intensas,Set,2023,2
Balneário Camboriú,Chuvas Intensas,Out,2023,3
Balneário Camboriú,Enxurradas,Jan,2008,1
Balneário Camboriú,Enxurradas,Fev,2015,1
Balneário Camboriú,Enxurradas,Mar,2004,1
Balneário Camboriú,Enxurradas,Mai,1994,1
Balneário Camboriú,Enxurradas,Out,1991,1
Balneário Camboriú,Enxurradas,Nov,2008,1
Balneário Camboriú,Enxurradas,Dez,2007,1
Balneário Camboriú,Inundações,Ago,2020,1
Balneário Camboriú,Inundações,Set,2011,1
Balneário Camboriú,Inundações,Dez,2022,1
Balneário Camboriú,Movimento de Massa,Abr,2019,1
Balneário Gaivota,Chuvas Intensas,Mai,2024,1
Balneário Gaivota,Chuvas Intensas,Jun,2024,1
Balneário Gaivota,Chuvas Intensas,Out,2023,1
Balneário Gaivota,Chuvas Intensas,Nov,2023,1
Balneário Gaivota,Enxurradas,Mai,2004,1
Balneário Gaivota,Enxurradas,Mai,2010,1
Balneário Gaivota,Enxurradas,Jun,2017,1
Balneário Gaivota,Enxurradas,Jun,2021,1
Balneário Gaivota,Enxurradas,Jul,2011,1
