ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Araranguá,0
1991,Chuvas Intensas,Araranguá,0
1991,Enxurradas,Araranguá,0
1991,Inundações,Araranguá,0
1991,Movimento de Massa,Araranguá,0
1992,Alagamentos,Araranguá,0
1992,Chuvas Intensas,Araranguá,0
1992,Enxurradas,Araranguá,0
1992,Inundações,Araranguá,0
1992,Movimento de Massa,Araranguá,0
1993,Alagamentos,Araranguá,0
1993,Chuvas Intensas,Araranguá,0
1993,Enxurradas,Araranguá,1
1993,Inundações,Araranguá,0
1993,Movimento de Massa,Araranguá,0
1994,Alagamentos,Araranguá,0
1994,Chuvas Intensas,Araranguá,0
1994,Enxurradas,Araranguá,1
1994,Inundações,Araranguá,0
1994,Movimento de Massa,Araranguá,0
1995,Alagamentos,Araranguá,0
1995,Chuvas Intensas,Araranguá,0
1995,Enxurradas,Araranguá,1
1995,Inundações,Araranguá,0
1995,Movimento de Massa,Araranguá,0
1996,Alagamentos,Araranguá,0
1996,Chuvas Intensas,Araranguá,0
1996,Enxurradas,Araranguá,1
1996,Inundações,Araranguá,0
1996,Movimento de Massa,Araranguá,0
1997,Alagamentos,Araranguá,0
1997,Chuvas Intensas,Araranguá,0
1997,Enxurradas,Araranguá,0
1997,Inundações,Araranguá,0
1997,Movimento de Massa,Araranguá,0
1998,Alagamentos,Araranguá,0
1998,Chuvas Intensas,Araranguá,0
1998,Enxurradas,Araranguá,0
1998,Inundações,Araranguá,0
1998,Movimento de Massa,Araranguá,0
1999,Alagamentos,Araranguá,0
1999,Chuvas Intensas,Araranguá,0
1999,Enxurradas,Araranguá,0
1999,Inundações,Araranguá,0
1999,Movimento de Massa,Araranguá,0
2000,Alagamentos,Araranguá,0
2000,Chuvas Intensas,Araranguá,0
2000,Enxurradas,Araranguá,1
2000,Inundações,Araranguá,0
2000,Movimento de Massa,Araranguá,0
2001,Alagamentos,Araranguá,0
2001,Chuvas Intensas,Araranguá,0
2001,Enxurradas,Araranguá,1
2001,Inundações,Araranguá,0
2001,Movimento de Massa,Araranguá,0
2002,Alagamentos,Araranguá,0
2002,Chuvas Intensas,Araranguá,0
2002,Enxurradas,Araranguá,0
2002,Inundações,Araranguá,0
2002,Movimento de Massa,Araranguá,0
2003,Alagamentos,Araranguá,0
2003,Chuvas Intensas,Araranguá,0
2003,Enxurradas,Araranguá,0
2003,Inundações,Araranguá,0
2003,Movimento de Massa,Araranguá,0
2004,Alagamentos,Araranguá,0
2004,Chuvas Intensas,Araranguá,0
2004,Enxurradas,Araranguá,0
2004,Inundações,Araranguá,1
2004,Movimento de Massa,Araranguá,0
2005,Alagamentos,Araranguá,0
2005,Chuvas Intensas,Araranguá,0
2005,Enxurradas,Araranguá,0
2005,Inundações,Araranguá,1
2005,Movimento de Massa,Araranguá,0
2006,Alagamentos,Araranguá,0
