ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Barra Velha,0
1991,Chuvas Intensas,Barra Velha,0
1991,Enxurradas,Barra Velha,0
1991,Inundações,Barra Velha,0
1991,Movimento de Massa,Barra Velha,0
1992,Alagamentos,Barra Velha,0
1992,Chuvas Intensas,Barra Velha,0
1992,Enxurradas,Barra Velha,0
1992,Inundações,Barra Velha,0
1992,Movimento de Massa,Barra Velha,0
1993,Alagamentos,Barra Velha,0
1993,Chuvas Intensas,Barra Velha,0
1993,Enxurradas,Barra Velha,0
1993,Inundações,Barra Velha,0
1993,Movimento de Massa,Barra Velha,0
1994,Alagamentos,Barra Velha,0
1994,Chuvas Intensas,Barra Velha,0
1994,Enxurradas,Barra Velha,0
1994,Inundações,Barra Velha,0
1994,Movimento de Massa,Barra Velha,0
1995,Alagamentos,Barra Velha,0
1995,Chuvas Intensas,Barra Velha,0
1995,Enxurradas,Barra Velha,0
1995,Inundações,Barra Velha,0
1995,Movimento de Massa,Barra Velha,0
1996,Alagamentos,Barra Velha,0
1996,Chuvas Intensas,Barra Velha,0
1996,Enxurradas,Barra Velha,0
1996,Inundações,Barra Velha,0
1996,Movimento de Massa,Barra Velha,0
1997,Alagamentos,Barra Velha,0
1997,Chuvas Intensas,Barra Velha,0
1997,Enxurradas,Barra Velha,0
1997,Inundações,Barra Velha,0
1997,Movimento de Massa,Barra Velha,0
1998,Alagamentos,Barra Velha,0
1998,Chuvas Intensas,Barra Velha,0
1998,Enxurradas,Barra Velha,0
1998,Inundações,Barra Velha,0
1998,Movimento de Massa,Barra Velha,0
1999,Alagamentos,Barra Velha,0
1999,Chuvas Intensas,Barra Velha,0
1999,Enxurradas,Barra Velha,0
1999,Inundações,Barra Velha,0
1999,Movimento de Massa,Barra Velha,0
2000,Alagamentos,Barra Velha,0
2000,Chuvas Intensas,Barra Velha,0
2000,Enxurradas,Barra Velha,0
2000,Inundações,Barra Velha,0
2000,Movimento de Massa,Barra Velha,0
2001,Alagamentos,Barra Velha,0
2001,Chuvas Intensas,Barra Velha,0
2001,Enxurradas,Barra Velha,0
2001,Inundações,Barra Velha,0
2001,Movimento de Massa,Barra Velha,0
2002,Alagamentos,Barra Velha,0
2002,Chuvas Intensas,Barra Velha,0
2002,Enxurradas,Barra Velha,0
2002,Inundações,Barra Velha,0
2002,Movimento de Massa,Barra Velha,0
2003,Alagamentos,Barra Velha,0
2003,Chuvas Intensas,Barra Velha,0
