ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Biguaçu,0
1991,Chuvas Intensas,Biguaçu,0
1991,Enxurradas,Biguaçu,1
1991,Inundações,Biguaçu,0
1991,Movimento de Massa,Biguaçu,0
1992,Alagamentos,Biguaçu,0
1992,Chuvas Intensas,Biguaçu,0
1992,Enxurradas,Biguaçu,0
1992,Inundações,Biguaçu,0
1992,Movimento de Massa,Biguaçu,0
1993,Alagamentos,Biguaçu,0
1993,Chuvas Intensas,Biguaçu,0
1993,Enxurradas,Biguaçu,0
1993,Inundações,Biguaçu,0
1993,Movimento de Massa,Biguaçu,0
1994,Alagamentos,Biguaçu,0
1994,Chuvas Intensas,Biguaçu,0
1994,Enxurradas,Biguaçu,1
1994,Inundações,Biguaçu,0
1994,Movimento de Massa,Biguaçu,0
1995,Alagamentos,Biguaçu,0
1995,Chuvas Intensas,Biguaçu,0
1995,Enxurradas,Biguaçu,2
1995,Inundações,Biguaçu,0
1995,Movimento de Massa,Biguaçu,0
1996,Alagamentos,Biguaçu,0
1996,Chuvas Intensas,Biguaçu,0
1996,Enxurradas,Biguaçu,0
1996,Inundações,Biguaçu,0
1996,Movimento de Massa,Biguaçu,0
1997,Alagamentos,Biguaçu,0
1997,Chuvas Intensas,Biguaçu,0
1997,Enxurradas,Biguaçu,1
1997,Inundações,Biguaçu,0
1997,Movimento de Massa,Biguaçu,0
1998,Alagamentos,Biguaçu,0
1998,Chuvas Intensas,Biguaçu,0
1998,Enxurradas,Biguaçu,0
1998,Inundações,Biguaçu,0
1998,Movimento de Massa,Biguaçu,0
1999,Alagamentos,Biguaçu,0
1999,Chuvas Intensas,Biguaçu,0
1999,Enxurradas,Biguaçu,0
1999,Inundações,Biguaçu,0
1999,Movimento de Massa,Biguaçu,0
2000,Alagamentos,Biguaçu,0
2000,Chuvas Intensas,Biguaçu,0
2000,Enxurradas,Biguaçu,0
2000,Inundações,Biguaçu,1
2000,Movimento de Massa,Biguaçu,0
2001,Alagamentos,Biguaçu,0
2001,Chuvas Intensas,Biguaçu,0
2001,Enxurradas,Biguaçu,0
2001,Inundações,Biguaçu,0
2001,Movimento de Massa,Biguaçu,0
2002,Alagamentos,Biguaçu,0
2002,Chuvas Intensas,Biguaçu,0
2002,Enxurradas,Biguaçu,0
2002,Inundações,Biguaçu,0
2002,Movimento de Massa,Biguaçu,0
2003,Alagamentos,Biguaçu,0
2003,Chuvas Intensas,Biguaçu,0
2003,Enxurradas,Biguaçu,0
2003,Inundações,Biguaçu,0
2003,Movimento de Massa,Biguaçu,0
2004,Alagamentos,Biguaçu,0
2004,Chuvas Intensas,Biguaçu,0
2004,Enxurradas,Biguaçu,1
2004,Inundações,Biguaçu,0
2004,Movimento de Massa,Biguaçu,0
2005,Alagamentos,Biguaçu,0
2005,Chuvas Intensas,Biguaçu,0
