ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Bombinhas,0
1991,Chuvas Intensas,Bombinhas,0
1991,Enxurradas,Bombinhas,0
1991,Inundações,Bombinhas,0
1991,Movimento de Massa,Bombinhas,0
1992,Alagamentos,Bombinhas,0
1992,Chuvas Intensas,Bombinhas,0
1992,Enxurradas,Bombinhas,0
1992,Inundações,Bombinhas,0
1992,Movimento de Massa,Bombinhas,0
1993,Alagamentos,Bombinhas,0
1993,Chuvas Intensas,Bombinhas,0
1993,Enxurradas,Bombinhas,0
1993,Inundações,Bombinhas,0
1993,Movimento de Massa,Bombinhas,0
1994,Alagamentos,Bombinhas,0
1994,Chuvas Intensas,Bombinhas,0
1994,Enxurradas,Bombinhas,0
1994,Inundações,Bombinhas,0
1994,Movimento de Massa,Bombinhas,0
1995,Alagamentos,Bombinhas,0
1995,Chuvas Intensas,Bombinhas,0
1995,Enxurradas,Bombinhas,0
1995,Inundações,Bombinhas,0
1995,Movimento de Massa,Bombinhas,0
1996,Alagamentos,Bombinhas,0
1996,Chuvas Intensas,Bombinhas,0
1996,Enxurradas,Bombinhas,0
1996,Inundações,Bombinhas,0
1996,Movimento de Massa,Bombinhas,0
1997,Alagamentos,Bombinhas,0
1997,Chuvas Intensas,Bombinhas,0
1997,Enxurradas,Bombinhas,0
1997,Inundações,Bombinhas,0
1997,Movimento de Massa,Bombinhas,0
1998,Alagamentos,Bombinhas,0
1998,Chuvas Intensas,Bombinhas,0
1998,Enxurradas,Bombinhas,0
1998,Inundações,Bombinhas,0
1998,Movimento de Massa,Bombinhas,0
1999,Alagamentos,Bombinhas,0
1999,Chuvas Intensas,Bombinhas,0
1999,Enxurradas,Bombinhas,0
1999,Inundações,Bombinhas,0
1999,Movimento de Massa,Bombinhas,0
2000,Alagamentos,Bombinhas,0
2000,Chuvas Intensas,Bombinhas,0
2000,Enxurradas,Bombinhas,1
2000,Inundações,Bombinhas,0
2000,Movimento de Massa,Bombinhas,0
2001,Alagamentos,Bombinhas,0
2001,Chuvas Intensas,Bombinhas,0
2001,Enxurradas,Bombinhas,0
2001,Inundações,Bombinhas,0
2001,Movimento de Massa,Bombinhas,0
2002,Alagamentos,Bombinhas,0
2002,Chuvas Intensas,Bombinhas,0
2002,Enxurradas,Bombinhas,0
2002,Inundações,Bombinhas,0
2002,Movimento de Massa,Bombinhas,0
2003,Alagamentos,Bombinhas,0
2003,Chuvas Intensas,Bombinhas,0
2003,Enxurradas,Bombinhas,0
2003,Inundações,Bombinhas,0
2003,Movimento de Massa,Bombinhas,0
2004,Alagamentos,Bombinhas,0
2004,Chuvas Intensas,Bombinhas,0
2004,Enxurradas,Bombinhas,1
2004,Inundações,Bombinhas,0
2004,Movimento de Massa,Bombinhas,0
2005,Alagamentos,Bombinhas,0
2005,Chuvas Intensas,Bombinhas,0
2005,Enxurradas,Bombinhas,0
2005,Inundações,Bombinhas,0
2005,Movimento de Massa,Bombinhas,0
2006,Alagamentos,Bombinhas,0
2006,Chuvas Intensas,Bombinhas,0
2006,Enxurradas,Bombinhas,0
2006,Inundações,Bombinhas,0
2006,Movimento de Massa,Bombinhas,0
2007,Alagamentos,Bombinhas,0
2007,Chuvas Intensas,Bombinhas,0
2007,Enxurradas,Bombinhas,0
2007,Inundações,Bombinhas,0
2007,Movimento de Massa,Bombinhas,0
2008,Alagamentos,Bombinhas,0
2008,Chuvas Intensas,Bombinhas,0
2008,Enxurradas,Bombinhas,0
2008,Inundações,Bombinhas,0
2008,Movimento de Massa,Bombinhas,0
2009,Alagamentos,Bombinhas,0
2009,Chuvas Intensas,Bombinhas,0
2009,Enxurradas,Bombinhas,1
2009,Inundações,Bombinhas,0
2009,Movimento de Massa,Bombinhas,0
2010,Alagamentos,Bombinhas,0
2010,Chuvas Intensas,Bombinhas,0
2010,Enxurradas,Bombinhas,0
2010,Inundações,Bombinhas,0
2010,Movimento de Massa,Bombinhas,0
2011,Alagamentos,Bombinhas,0
2011,Chuvas Intensas,Bombinhas,0
2011,Enxurradas,Bombinhas,1
