ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Florianópolis,0
1991,Chuvas Intensas,Florianópolis,0
1991,Enxurradas,Florianópolis,1
1991,Inundações,Florianópolis,0
1991,Movimento de Massa,Florianópolis,0
1992,Alagamentos,Florianópolis,0
1992,Chuvas Intensas,Florianópolis,0
1992,Enxurradas,Florianópolis,0
1992,Inundações,Florianópolis,0
1992,Movimento de Massa,Florianópolis,0
1993,Alagamentos,Florianópolis,0
1993,Chuvas Intensas,Florianópolis,0
1993,Enxurradas,Florianópolis,0
1993,Inundações,Florianópolis,0
1993,Movimento de Massa,Florianópolis,0
1994,Alagamentos,Florianópolis,0
1994,Chuvas Intensas,Florianópolis,0
1994,Enxurradas,Florianópolis,0
1994,Inundações,Florianópolis,0
1994,Movimento de Massa,Florianópolis,0
1995,Alagamentos,Florianópolis,0
1995,Chuvas Intensas,Florianópolis,0
1995,Enxurradas,Florianópolis,1
1995,Inundações,Florianópolis,0
1995,Movimento de Massa,Florianópolis,1
1996,Alagamentos,Florianópolis,0
1996,Chuvas Intensas,Florianópolis,0
1996,Enxurradas,Florianópolis,0
1996,Inundações,Florianópolis,0
1996,Movimento de Massa,Florianópolis,0
1997,Alagamentos,Florianópolis,0
1997,Chuvas Intensas,Florianópolis,0
1997,Enxurradas,Florianópolis,1
1997,Inundações,Florianópolis,0
1997,Movimento de Massa,Florianópolis,0
1998,Alagamentos,Florianópolis,0
1998,Chuvas Intensas,Florianópolis,0
1998,Enxurradas,Florianópolis,0
1998,Inundações,Florianópolis,0
1998,Movimento de Massa,Florianópolis,0
1999,Alagamentos,Florianópolis,0
1999,Chuvas Intensas,Florianópolis,0
1999,Enxurradas,Florianópolis,0
1999,Inundações,Florianópolis,0
1999,Movimento de Massa,Florianópolis,0
2000,Alagamentos,Florianópolis,0
2000,Chuvas Intensas,Florianópolis,0
2000,Enxurradas,Florianópolis,1
2000,Inundações,Florianópolis,0
2000,Movimento de Massa,Florianópolis,0
2001,Alagamentos,Florianópolis,0
2001,Chuvas Intensas,Florianópolis,0
2001,Enxurradas,Florianópolis,1
2001,Inundações,Florianópolis,0
2001,Movimento de Massa,Florianópolis,0
2002,Alagamentos,Florianópolis,0
2002,Chuvas Intensas,Florianópolis,0
2002,Enxurradas,Florianópolis,0
2002,Inundações,Florianópolis,0
2002,Movimento de Massa,Florianópolis,0
2003,Alagamentos,Florianópolis,0
2003,Chuvas Intensas,Florianópolis,0
2003,Enxurradas,Florianópolis,0
2003,Inundações,Florianópolis,0
2003,Movimento de Massa,Florianópolis,0
2004,Alagamentos,Florianópolis,0
2004,Chuvas Intensas,Florianópolis,0
2004,Enxurradas,Florianópolis,0
2004,Inundações,Florianópolis,0
2004,Movimento de Massa,Florianópolis,0
2005,Alagamentos,Florianópolis,0
2005,Chuvas Intensas,Florianópolis,0
2005,Enxurradas,Florianópolis,0
2005,Inundações,Florianópolis,0
2005,Movimento de Massa,Florianópolis,0
2006,Alagamentos,Florianópolis,0
2006,Chuvas Intensas,Florianópolis,0
2006,Enxurradas,Florianópolis,0
2006,Inundações,Florianópolis,0
2006,Movimento de Massa,Florianópolis,0
2007,Alagamentos,Florianópolis,0
2007,Chuvas Intensas,Florianópolis,0
2007,Enxurradas,Florianópolis,0
2007,Inundações,Florianópolis,0
2007,Movimento de Massa,Florianópolis,0
2008,Alagamentos,Florianópolis,0
2008,Chuvas Intensas,Florianópolis,0
2008,Enxurradas,Florianópolis,2
2008,Inundações,Florianópolis,0
