ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Garopaba,0
1991,Chuvas Intensas,Garopaba,0
1991,Enxurradas,Garopaba,0
1991,Inundações,Garopaba,0
1991,Movimento de Massa,Garopaba,0
1992,Alagamentos,Garopaba,0
1992,Chuvas Intensas,Garopaba,0
1992,Enxurradas,Garopaba,0
1992,Inundações,Garopaba,0
1992,Movimento de Massa,Garopaba,0
1993,Alagamentos,Garopaba,0
1993,Chuvas Intensas,Garopaba,0
1993,Enxurradas,Garopaba,0
1993,Inundações,Garopaba,0
1993,Movimento de Massa,Garopaba,0
1994,Alagamentos,Garopaba,0
1994,Chuvas Intensas,Garopaba,0
1994,Enxurradas,Garopaba,0
1994,Inundações,Garopaba,0
1994,Movimento de Massa,Garopaba,0
1995,Alagamentos,Garopaba,0
1995,Chuvas Intensas,Garopaba,0
1995,Enxurradas,Garopaba,0
1995,Inundações,Garopaba,0
1995,Movimento de Massa,Garopaba,0
1996,Alagamentos,Garopaba,0
1996,Chuvas Intensas,Garopaba,0
1996,Enxurradas,Garopaba,0
1996,Inundações,Garopaba,0
1996,Movimento de Massa,Garopaba,0
1997,Alagamentos,Garopaba,0
1997,Chuvas Intensas,Garopaba,0
1997,Enxurradas,Garopaba,0
1997,Inundações,Garopaba,0
1997,Movimento de Massa,Garopaba,0
1998,Alagamentos,Garopaba,0
1998,Chuvas Intensas,Garopaba,0
1998,Enxurradas,Garopaba,0
1998,Inundações,Garopaba,0
1998,Movimento de Massa,Garopaba,0
1999,Alagamentos,Garopaba,0
1999,Chuvas Intensas,Garopaba,0
1999,Enxurradas,Garopaba,0
1999,Inundações,Garopaba,0
1999,Movimento de Massa,Garopaba,0
2000,Alagamentos,Garopaba,0
2000,Chuvas Intensas,Garopaba,0
2000,Enxurradas,Garopaba,0
2000,Inundações,Garopaba,0
2000,Movimento de Massa,Garopaba,0
2001,Alagamentos,Garopaba,0
2001,Chuvas Intensas,Garopaba,0
2001,Enxurradas,Garopaba,0
2001,Inundações,Garopaba,0
2001,Movimento de Massa,Garopaba,0
2002,Alagamentos,Garopaba,0
2002,Chuvas Intensas,Garopaba,0
2002,Enxurradas,Garopaba,0
2002,Inundações,Garopaba,0
2002,Movimento de Massa,Garopaba,0
2003,Alagamentos,Garopaba,0
2003,Chuvas Intensas,Garopaba,0
2003,Enxurradas,Garopaba,0
2003,Inundações,Garopaba,0
2003,Movimento de Massa,Garopaba,0
2004,Alagamentos,Garopaba,0
2004,Chuvas Intensas,Garopaba,0
2004,Enxurradas,Garopaba,0
2004,Inundações,Garopaba,0
2004,Movimento de Massa,Garopaba,0
2005,Alagamentos,Garopaba,0
2005,Chuvas Intensas,Garopaba,0
2005,Enxurradas,Garopaba,0
2005,Inundações,Garopaba,0
2005,Movimento de Massa,Garopaba,0
2006,Alagamentos,Garopaba,0
2006,Chuvas Intensas,Garopaba,0
2006,Enxurradas,Garopaba,0
2006,Inundações,Garopaba,0
2006,Movimento de Massa,Garopaba,0
2007,Alagamentos,Garopaba,0
2007,Chuvas Intensas,Garopaba,0
2007,Enxurradas,Garopaba,0
2007,Inundações,Garopaba,0
2007,Movimento de Massa,Garopaba,0
2008,Alagamentos,Garopaba,0
2008,Chuvas Intensas,Garopaba,0
2008,Enxurradas,Garopaba,1
2008,Inundações,Garopaba,0
2008,Movimento de Massa,Garopaba,0
2009,Alagamentos,Garopaba,0
2009,Chuvas Intensas,Garopaba,0
2009,Enxurradas,Garopaba,0
2009,Inundações,Garopaba,0
2009,Movimento de Massa,Garopaba,0
2010,Alagamentos,Garopaba,0
2010,Chuvas Intensas,Garopaba,0
2010,Enxurradas,Garopaba,1
2010,Inundações,Garopaba,0
2010,Movimento de Massa,Garopaba,0
2011,Alagamentos,Garopaba,1
2011,Chuvas Intensas,Garopaba,0
2011,Enxurradas,Garopaba,0
2011,Inundações,Garopaba,0
2011,Movimento de Massa,Garopaba,0
2012,Alagamentos,Garopaba,0
2012,Chuvas Intensas,Garopaba,0
2012,Enxurradas,Garopaba,0
2012,Inundações,Garopaba,0
2012,Movimento de Massa,Garopaba,0
2013,Alagamentos,Garopaba,0
2013,Chuvas Intensas,Garopaba,0
2013,Enxurradas,Garopaba,0
2013,Inundações,Garopaba,0
2013,Movimento de Massa,Garopaba,0
2014,Alagamentos,Garopaba,0
2014,Chuvas Intensas,Garopaba,0
2014,Enxurradas,Garopaba,0
2014,Inundações,Garopaba,0
2014,Movimento de Massa,Garopaba,0
2015,Alagamentos,Garopaba,0
2015,Chuvas Intensas,Garopaba,0
2015,Enxurradas,Garopaba,0
2015,Inundações,Garopaba,1
2015,Movimento de Massa,Garopaba,0
2016,Alagamentos,Garopaba,0
2016,Chuvas Intensas,Garopaba,0
