ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Garuva,0
1991,Chuvas Intensas,Garuva,0
1991,Enxurradas,Garuva,1
1991,Inundações,Garuva,0
1991,Movimento de Massa,Garuva,0
1992,Alagamentos,Garuva,0
1992,Chuvas Intensas,Garuva,0
1992,Enxurradas,Garuva,0
1992,Inundações,Garuva,0
1992,Movimento de Massa,Garuva,0
1993,Alagamentos,Garuva,0
1993,Chuvas Intensas,Garuva,0
1993,Enxurradas,Garuva,0
1993,Inundações,Garuva,0
1993,Movimento de Massa,Garuva,0
1994,Alagamentos,Garuva,0
1994,Chuvas Intensas,Garuva,0
1994,Enxurradas,Garuva,0
1994,Inundações,Garuva,0
1994,Movimento de Massa,Garuva,0
1995,Alagamentos,Garuva,0
1995,Chuvas Intensas,Garuva,0
1995,Enxurradas,Garuva,1
1995,Inundações,Garuva,0
1995,Movimento de Massa,Garuva,0
1996,Alagamentos,Garuva,0
1996,Chuvas Intensas,Garuva,0
1996,Enxurradas,Garuva,1
1996,Inundações,Garuva,0
1996,Movimento de Massa,Garuva,0
1997,Alagamentos,Garuva,0
1997,Chuvas Intensas,Garuva,0
1997,Enxurradas,Garuva,1
1997,Inundações,Garuva,0
1997,Movimento de Massa,Garuva,0
1998,Alagamentos,Garuva,0
1998,Chuvas Intensas,Garuva,0
1998,Enxurradas,Garuva,1
1998,Inundações,Garuva,0
1998,Movimento de Massa,Garuva,0
1999,Alagamentos,Garuva,0
1999,Chuvas Intensas,Garuva,0
1999,Enxurradas,Garuva,0
1999,Inundações,Garuva,0
1999,Movimento de Massa,Garuva,0
2000,Alagamentos,Garuva,0
2000,Chuvas Intensas,Garuva,0
2000,Enxurradas,Garuva,0
2000,Inundações,Garuva,0
2000,Movimento de Massa,Garuva,0
2001,Alagamentos,Garuva,0
2001,Chuvas Intensas,Garuva,0
2001,Enxurradas,Garuva,0
2001,Inundações,Garuva,1
2001,Movimento de Massa,Garuva,0
2002,Alagamentos,Garuva,0
2002,Chuvas Intensas,Garuva,0
2002,Enxurradas,Garuva,0
2002,Inundações,Garuva,0
2002,Movimento de Massa,Garuva,0
2003,Alagamentos,Garuva,0
2003,Chuvas Intensas,Garuva,0
2003,Enxurradas,Garuva,1
2003,Inundações,Garuva,0
2003,Movimento de Massa,Garuva,0
2004,Alagamentos,Garuva,0
2004,Chuvas Intensas,Garuva,0
2004,Enxurradas,Garuva,0
2004,Inundações,Garuva,0
2004,Movimento de Massa,Garuva,0
2005,Alagamentos,Garuva,0
2005,Chuvas Intensas,Garuva,0
2005,Enxurradas,Garuva,0
2005,Inundações,Garuva,0
2005,Movimento de Massa,Garuva,0
2006,Alagamentos,Garuva,0
2006,Chuvas Intensas,Garuva,0
2006,Enxurradas,Garuva,0
2006,Inundações,Garuva,0
2006,Movimento de Massa,Garuva,0
2007,Alagamentos,Garuva,0
2007,Chuvas Intensas,Garuva,0
2007,Enxurradas,Garuva,1
2007,Inundações,Garuva,0
2007,Movimento de Massa,Garuva,0
2008,Alagamentos,Garuva,0
2008,Chuvas Intensas,Garuva,0
2008,Enxurradas,Garuva,1
2008,Inundações,Garuva,0
2008,Movimento de Massa,Garuva,0
2009,Alagamentos,Garuva,0
2009,Chuvas Intensas,Garuva,0
2009,Enxurradas,Garuva,0
2009,Inundações,Garuva,0
2009,Movimento de Massa,Garuva,0
2010,Alagamentos,Garuva,0
2010,Chuvas Intensas,Garuva,0
2010,Enxurradas,Garuva,0
2010,Inundações,Garuva,0
2010,Movimento de Massa,Garuva,0
2011,Alagamentos,Garuva,0
2011,Chuvas Intensas,Garuva,0
2011,Enxurradas,Garuva,0
2011,Inundações,Garuva,0
2011,Movimento de Massa,Garuva,0
2012,Alagamentos,Garuva,0
2012,Chuvas Intensas,Garuva,0
2012,Enxurradas,Garuva,0
2012,Inundações,Garuva,0
2012,Movimento de Massa,Garuva,0
2013,Alagamentos,Garuva,0
2013,Chuvas Intensas,Garuva,0
2013,Enxurradas,Garuva,0
2013,Inundações,Garuva,0
2013,Movimento de Massa,Garuva,0
2014,Alagamentos,Garuva,0
2014,Chuvas Intensas,Garuva,0
2014,Enxurradas,Garuva,1
2014,Inundações,Garuva,0
2014,Movimento de Massa,Garuva,0
2015,Alagamentos,Garuva,0
2015,Chuvas Intensas,Garuva,0
2015,Enxurradas,Garuva,0
2015,Inundações,Garuva,0
2015,Movimento de Massa,Garuva,0
2016,Alagamentos,Garuva,0
2016,Chuvas Intensas,Garuva,1
2016,Enxurradas,Garuva,0
2016,Inundações,Garuva,0
2016,Movimento de Massa,Garuva,0
2017,Alagamentos,Garuva,0
2017,Chuvas Intensas,Garuva,1
2017,Enxurradas,Garuva,2
2017,Inundações,Garuva,0
2017,Movimento de Massa,Garuva,0
2018,Alagamentos,Garuva,0
2018,Chuvas Intensas,Garuva,2
2018,Enxurradas,Garuva,0
2018,Inundações,Garuva,0
2018,Movimento de Massa,Garuva,0
2019,Alagamentos,Garuva,0
2019,Chuvas Intensas,Garuva,0
2019,Enxurradas,Garuva,1
2019,Inundações,Garuva,0
2019,Movimento de Massa,Garuva,0
2020,Alagamentos,Garuva,0
2020,Chuvas Intensas,Garuva,1
2020,Enxurradas,Garuva,0
2020,Inundações,Garuva,0
2020,Movimento de Massa,Garuva,0
2021,Alagamentos,Garuva,0
2021,Chuvas Intensas,Garuva,4
2021,Enxurradas,Garuva,0
2021,Inundações,Garuva,0
2021,Movimento de Massa,Garuva,0
2022,Alagamentos,Garuva,0
2022,Chuvas Intensas,Garuva,2
2022,Enxurradas,Garuva,1
2022,Inundações,Garuva,0
2022,Movimento de Massa,Garuva,0
2023,Alagamentos,Garuva,0
2023,Chuvas Intensas,Garuva,0
2023,Enxurradas,Garuva,0
2023,Inundações,Garuva,0
2023,Movimento de Massa,Garuva,0
2024,Alagamentos,Garuva,0
2024,Chuvas Intensas,Garuva,1
2024,Enxurradas,Garuva,0
2024,Inundações,Garuva,0
2024,Movimento de Massa,Garuva,0
