ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Governador Celso Ramos,0
1991,Chuvas Intensas,Governador Celso Ramos,0
1991,Enxurradas,Governador Celso Ramos,0
1991,Inundações,Governador Celso Ramos,0
1991,Movimento de Massa,Governador Celso Ramos,0
1992,Alagamentos,Governador Celso Ramos,0
1992,Chuvas Intensas,Governador Celso Ramos,0
1992,Enxurradas,Governador Celso Ramos,0
1992,Inundações,Governador Celso Ramos,0
1992,Movimento de Massa,Governador Celso Ramos,0
1993,Alagamentos,Governador Celso Ramos,0
1993,Chuvas Intensas,Governador Celso Ramos,0
1993,Enxurradas,Governador Celso Ramos,0
1993,Inundações,Governador Celso Ramos,0
1993,Movimento de Massa,Governador Celso Ramos,0
1994,Alagamentos,Governador Celso Ramos,0
1994,Chuvas Intensas,Governador Celso Ramos,0
1994,Enxurradas,Governador Celso Ramos,0
1994,Inundações,Governador Celso Ramos,0
1994,Movimento de Massa,Governador Celso Ramos,0
1995,Alagamentos,Governador Celso Ramos,0
1995,Chuvas Intensas,Governador Celso Ramos,0
1995,Enxurradas,Governador Celso Ramos,1
1995,Inundações,Governador Celso Ramos,0
1995,Movimento de Massa,Governador Celso Ramos,0
1996,Alagamentos,Governador Celso Ramos,0
1996,Chuvas Intensas,Governador Celso Ramos,0
1996,Enxurradas,Governador Celso Ramos,0
1996,Inundações,Governador Celso Ramos,0
1996,Movimento de Massa,Governador Celso Ramos,0
1997,Alagamentos,Governador Celso Ramos,0
1997,Chuvas Intensas,Governador Celso Ramos,0
1997,Enxurradas,Governador Celso Ramos,0
1997,Inundações,Governador Celso Ramos,0
1997,Movimento de Massa,Governador Celso Ramos,0
1998,Alagamentos,Governador Celso Ramos,0
1998,Chuvas Intensas,Governador Celso Ramos,0
1998,Enxurradas,Governador Celso Ramos,0
1998,Inundações,Governador Celso Ramos,0
1998,Movimento de Massa,Governador Celso Ramos,0
1999,Alagamentos,Governador Celso Ramos,0
1999,Chuvas Intensas,Governador Celso Ramos,0
1999,Enxurradas,Governador Celso Ramos,0
1999,Inundações,Governador Celso Ramos,0
1999,Movimento de Massa,Governador Celso Ramos,0
