ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Imbituba,0
1991,Chuvas Intensas,Imbituba,0
1991,Enxurradas,Imbituba,0
1991,Inundações,Imbituba,0
1991,Movimento de Massa,Imbituba,0
1992,Alagamentos,Imbituba,0
1992,Chuvas Intensas,Imbituba,0
1992,Enxurradas,Imbituba,0
1992,Inundações,Imbituba,0
1992,Movimento de Massa,Imbituba,0
1993,Alagamentos,Imbituba,0
1993,Chuvas Intensas,Imbituba,0
1993,Enxurradas,Imbituba,0
1993,Inundações,Imbituba,0
1993,Movimento de Massa,Imbituba,0
1994,Alagamentos,Imbituba,0
1994,Chuvas Intensas,Imbituba,0
1994,Enxurradas,Imbituba,0
1994,Inundações,Imbituba,0
1994,Movimento de Massa,Imbituba,0
1995,Alagamentos,Imbituba,0
1995,Chuvas Intensas,Imbituba,0
1995,Enxurradas,Imbituba,0
1995,Inundações,Imbituba,0
1995,Movimento de Massa,Imbituba,0
1996,Alagamentos,Imbituba,0
1996,Chuvas Intensas,Imbituba,0
1996,Enxurradas,Imbituba,1
1996,Inundações,Imbituba,0
1996,Movimento de Massa,Imbituba,0
1997,Alagamentos,Imbituba,0
1997,Chuvas Intensas,Imbituba,0
1997,Enxurradas,Imbituba,0
1997,Inundações,Imbituba,0
1997,Movimento de Massa,Imbituba,0
1998,Alagamentos,Imbituba,0
1998,Chuvas Intensas,Imbituba,0
1998,Enxurradas,Imbituba,1
1998,Inundações,Imbituba,0
1998,Movimento de Massa,Imbituba,0
1999,Alagamentos,Imbituba,0
1999,Chuvas Intensas,Imbituba,0
1999,Enxurradas,Imbituba,0
1999,Inundações,Imbituba,0
1999,Movimento de Massa,Imbituba,0
2000,Alagamentos,Imbituba,0
2000,Chuvas Intensas,Imbituba,0
2000,Enxurradas,Imbituba,0
2000,Inundações,Imbituba,0
2000,Movimento de Massa,Imbituba,0
2001,Alagamentos,Imbituba,0
2001,Chuvas Intensas,Imbituba,0
2001,Enxurradas,Imbituba,1
2001,Inundações,Imbituba,0
2001,Movimento de Massa,Imbituba,0
2002,Alagamentos,Imbituba,0
2002,Chuvas Intensas,Imbituba,0
2002,Enxurradas,Imbituba,0
2002,Inundações,Imbituba,0
2002,Movimento de Massa,Imbituba,0
2003,Alagamentos,Imbituba,0
2003,Chuvas Intensas,Imbituba,0
2003,Enxurradas,Imbituba,0
2003,Inundações,Imbituba,0
2003,Movimento de Massa,Imbituba,0
2004,Alagamentos,Imbituba,0
2004,Chuvas Intensas,Imbituba,0
2004,Enxurradas,Imbituba,1
2004,Inundações,Imbituba,0
2004,Movimento de Massa,Imbituba,0
2005,Alagamentos,Imbituba,0
2005,Chuvas Intensas,Imbituba,0
2005,Enxurradas,Imbituba,0
2005,Inundações,Imbituba,0
2005,Movimento de Massa,Imbituba,0
2006,Alagamentos,Imbituba,0
2006,Chuvas Intensas,Imbituba,0
2006,Enxurradas,Imbituba,0
2006,Inundações,Imbituba,0
2006,Movimento de Massa,Imbituba,0
2007,Alagamentos,Imbituba,0
2007,Chuvas Intensas,Imbituba,0
2007,Enxurradas,Imbituba,0
2007,Inundações,Imbituba,0
2007,Movimento de Massa,Imbituba,0
2008,Alagamentos,Imbituba,0
2008,Chuvas Intensas,Imbituba,0
2008,Enxurradas,Imbituba,0
2008,Inundações,Imbituba,0
2008,Movimento de Massa,Imbituba,0
2009,Alagamentos,Imbituba,0
2009,Chuvas Intensas,Imbituba,0
2009,Enxurradas,Imbituba,0
2009,Inundações,Imbituba,0
2009,Movimento de Massa,Imbituba,0
2010,Alagamentos,Imbituba,0
2010,Chuvas Intensas,Imbituba,0
2010,Enxurradas,Imbituba,0
2010,Inundações,Imbituba,0
2010,Movimento de Massa,Imbituba,0
2011,Alagamentos,Imbituba,0
2011,Chuvas Intensas,Imbituba,0
2011,Enxurradas,Imbituba,0
2011,Inundações,Imbituba,0
2011,Movimento de Massa,Imbituba,0
2012,Alagamentos,Imbituba,0
2012,Chuvas Intensas,Imbituba,0
2012,Enxurradas,Imbituba,0
2012,Inundações,Imbituba,0
2012,Movimento de Massa,Imbituba,0
2013,Alagamentos,Imbituba,0
