ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Itapema,0
1991,Chuvas Intensas,Itapema,0
1991,Enxurradas,Itapema,0
1991,Inundações,Itapema,0
1991,Movimento de Massa,Itapema,0
1992,Alagamentos,Itapema,0
1992,Chuvas Intensas,Itapema,0
1992,Enxurradas,Itapema,0
1992,Inundações,Itapema,0
1992,Movimento de Massa,Itapema,0
1993,Alagamentos,Itapema,0
1993,Chuvas Intensas,Itapema,0
1993,Enxurradas,Itapema,0
1993,Inundações,Itapema,0
1993,Movimento de Massa,Itapema,0
1994,Alagamentos,Itapema,0
1994,Chuvas Intensas,Itapema,0
1994,Enxurradas,Itapema,0
1994,Inundações,Itapema,0
1994,Movimento de Massa,Itapema,0
1995,Alagamentos,Itapema,0
1995,Chuvas Intensas,Itapema,0
1995,Enxurradas,Itapema,0
1995,Inundações,Itapema,0
1995,Movimento de Massa,Itapema,0
1996,Alagamentos,Itapema,0
1996,Chuvas Intensas,Itapema,0
1996,Enxurradas,Itapema,0
1996,Inundações,Itapema,0
1996,Movimento de Massa,Itapema,0
1997,Alagamentos,Itapema,0
1997,Chuvas Intensas,Itapema,0
1997,Enxurradas,Itapema,0
1997,Inundações,Itapema,0
1997,Movimento de Massa,Itapema,0
1998,Alagamentos,Itapema,0
1998,Chuvas Intensas,Itapema,0
1998,Enxurradas,Itapema,0
1998,Inundações,Itapema,0
1998,Movimento de Massa,Itapema,0
1999,Alagamentos,Itapema,0
1999,Chuvas Intensas,Itapema,0
1999,Enxurradas,Itapema,0
1999,Inundações,Itapema,0
1999,Movimento de Massa,Itapema,0
2000,Alagamentos,Itapema,0
2000,Chuvas Intensas,Itapema,0
2000,Enxurradas,Itapema,0
2000,Inundações,Itapema,0
2000,Movimento de Massa,Itapema,0
2001,Alagamentos,Itapema,0
2001,Chuvas Intensas,Itapema,0
2001,Enxurradas,Itapema,0
2001,Inundações,Itapema,0
2001,Movimento de Massa,Itapema,0
2002,Alagamentos,Itapema,0
2002,Chuvas Intensas,Itapema,0
2002,Enxurradas,Itapema,0
2002,Inundações,Itapema,0
2002,Movimento de Massa,Itapema,0
2003,Alagamentos,Itapema,0
2003,Chuvas Intensas,Itapema,0
2003,Enxurradas,Itapema,0
2003,Inundações,Itapema,0
2003,Movimento de Massa,Itapema,0
2004,Alagamentos,Itapema,0
2004,Chuvas Intensas,Itapema,0
2004,Enxurradas,Itapema,1
2004,Inundações,Itapema,0
2004,Movimento de Massa,Itapema,0
2005,Alagamentos,Itapema,0
2005,Chuvas Intensas,Itapema,0
2005,Enxurradas,Itapema,0
2005,Inundações,Itapema,0
2005,Movimento de Massa,Itapema,0
2006,Alagamentos,Itapema,0
2006,Chuvas Intensas,Itapema,0
2006,Enxurradas,Itapema,0
2006,Inundações,Itapema,0
2006,Movimento de Massa,Itapema,0
2007,Alagamentos,Itapema,0
2007,Chuvas Intensas,Itapema,0
2007,Enxurradas,Itapema,0
2007,Inundações,Itapema,0
2007,Movimento de Massa,Itapema,0
2008,Alagamentos,Itapema,0
2008,Chuvas Intensas,Itapema,0
2008,Enxurradas,Itapema,2
2008,Inundações,Itapema,0
2008,Movimento de Massa,Itapema,0
2009,Alagamentos,Itapema,0
2009,Chuvas Intensas,Itapema,0
2009,Enxurradas,Itapema,0
2009,Inundações,Itapema,0
2009,Movimento de Massa,Itapema,0
2010,Alagamentos,Itapema,0
2010,Chuvas Intensas,Itapema,0
2010,Enxurradas,Itapema,1
2010,Inundações,Itapema,0
2010,Movimento de Massa,Itapema,0
2011,Alagamentos,Itapema,0
2011,Chuvas Intensas,Itapema,0
2011,Enxurradas,Itapema,0
2011,Inundações,Itapema,1
2011,Movimento de Massa,Itapema,0
2012,Alagamentos,Itapema,0
2012,Chuvas Intensas,Itapema,0
2012,Enxurradas,Itapema,0
2012,Inundações,Itapema,0
2012,Movimento de Massa,Itapema,0
2013,Alagamentos,Itapema,0
2013,Chuvas Intensas,Itapema,0
2013,Enxurradas,Itapema,0
2013,Inundações,Itapema,0
2013,Movimento de Massa,Itapema,0
2014,Alagamentos,Itapema,0
2014,Chuvas Intensas,Itapema,0
