ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Itapoá,0
1991,Chuvas Intensas,Itapoá,0
1991,Enxurradas,Itapoá,0
1991,Inundações,Itapoá,1
1991,Movimento de Massa,Itapoá,0
1992,Alagamentos,Itapoá,0
1992,Chuvas Intensas,Itapoá,0
1992,Enxurradas,Itapoá,0
1992,Inundações,Itapoá,0
1992,Movimento de Massa,Itapoá,0
1993,Alagamentos,Itapoá,0
1993,Chuvas Intensas,Itapoá,0
1993,Enxurradas,Itapoá,0
1993,Inundações,Itapoá,0
1993,Movimento de Massa,Itapoá,0
1994,Alagamentos,Itapoá,0
1994,Chuvas Intensas,Itapoá,0
1994,Enxurradas,Itapoá,1
1994,Inundações,Itapoá,0
1994,Movimento de Massa,Itapoá,0
1995,Alagamentos,Itapoá,0
1995,Chuvas Intensas,Itapoá,0
1995,Enxurradas,Itapoá,0
1995,Inundações,Itapoá,0
1995,Movimento de Massa,Itapoá,0
1996,Alagamentos,Itapoá,0
1996,Chuvas Intensas,Itapoá,0
1996,Enxurradas,Itapoá,0
1996,Inundações,Itapoá,0
1996,Movimento de Massa,Itapoá,0
1997,Alagamentos,Itapoá,0
1997,Chuvas Intensas,Itapoá,0
1997,Enxurradas,Itapoá,0
1997,Inundações,Itapoá,0
1997,Movimento de Massa,Itapoá,0
1998,Alagamentos,Itapoá,1
1998,Chuvas Intensas,Itapoá,0
1998,Enxurradas,Itapoá,0
1998,Inundações,Itapoá,0
1998,Movimento de Massa,Itapoá,0
1999,Alagamentos,Itapoá,0
1999,Chuvas Intensas,Itapoá,0
1999,Enxurradas,Itapoá,0
1999,Inundações,Itapoá,0
1999,Movimento de Massa,Itapoá,0
2000,Alagamentos,Itapoá,0
2000,Chuvas Intensas,Itapoá,0
2000,Enxurradas,Itapoá,0
2000,Inundações,Itapoá,0
2000,Movimento de Massa,Itapoá,0
2001,Alagamentos,Itapoá,0
2001,Chuvas Intensas,Itapoá,0
2001,Enxurradas,Itapoá,0
2001,Inundações,Itapoá,0
2001,Movimento de Massa,Itapoá,0
2002,Alagamentos,Itapoá,0
2002,Chuvas Intensas,Itapoá,0
2002,Enxurradas,Itapoá,0
2002,Inundações,Itapoá,0
2002,Movimento de Massa,Itapoá,0
2003,Alagamentos,Itapoá,0
2003,Chuvas Intensas,Itapoá,0
2003,Enxurradas,Itapoá,1
2003,Inundações,Itapoá,0
2003,Movimento de Massa,Itapoá,0
2004,Alagamentos,Itapoá,0
2004,Chuvas Intensas,Itapoá,0
2004,Enxurradas,Itapoá,0
2004,Inundações,Itapoá,0
2004,Movimento de Massa,Itapoá,0
2005,Alagamentos,Itapoá,0
2005,Chuvas Intensas,Itapoá,0
2005,Enxurradas,Itapoá,0
