ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Jaguaruna,0
1991,Chuvas Intensas,Jaguaruna,0
1991,Enxurradas,Jaguaruna,0
1991,Inundações,Jaguaruna,0
1991,Movimento de Massa,Jaguaruna,0
1992,Alagamentos,Jaguaruna,0
1992,Chuvas Intensas,Jaguaruna,0
1992,Enxurradas,Jaguaruna,0
1992,Inundações,Jaguaruna,0
1992,Movimento de Massa,Jaguaruna,0
1993,Alagamentos,Jaguaruna,0
1993,Chuvas Intensas,Jaguaruna,0
1993,Enxurradas,Jaguaruna,0
1993,Inundações,Jaguaruna,0
1993,Movimento de Massa,Jaguaruna,0
1994,Alagamentos,Jaguaruna,0
1994,Chuvas Intensas,Jaguaruna,0
1994,Enxurradas,Jaguaruna,0
1994,Inundações,Jaguaruna,0
1994,Movimento de Massa,Jaguaruna,0
1995,Alagamentos,Jaguaruna,0
1995,Chuvas Intensas,Jaguaruna,0
1995,Enxurradas,Jaguaruna,0
1995,Inundações,Jaguaruna,0
1995,Movimento de Massa,Jaguaruna,0
1996,Alagamentos,Jaguaruna,0
1996,Chuvas Intensas,Jaguaruna,0
1996,Enxurradas,Jaguaruna,0
1996,Inundações,Jaguaruna,0
1996,Movimento de Massa,Jaguaruna,0
1997,Alagamentos,Jaguaruna,0
1997,Chuvas Intensas,Jaguaruna,0
1997,Enxurradas,Jaguaruna,0
1997,Inundações,Jaguaruna,0
1997,Movimento de Massa,Jaguaruna,0
1998,Alagamentos,Jaguaruna,0
1998,Chuvas Intensas,Jaguaruna,0
1998,Enxurradas,Jaguaruna,0
1998,Inundações,Jaguaruna,0
1998,Movimento de Massa,Jaguaruna,0
1999,Alagamentos,Jaguaruna,0
1999,Chuvas Intensas,Jaguaruna,0
1999,Enxurradas,Jaguaruna,0
1999,Inundações,Jaguaruna,0
1999,Movimento de Massa,Jaguaruna,0
2000,Alagamentos,Jaguaruna,0
2000,Chuvas Intensas,Jaguaruna,0
2000,Enxurradas,Jaguaruna,0
2000,Inundações,Jaguaruna,0
2000,Movimento de Massa,Jaguaruna,0
2001,Alagamentos,Jaguaruna,0
2001,Chuvas Intensas,Jaguaruna,0
2001,Enxurradas,Jaguaruna,0
2001,Inundações,Jaguaruna,0
2001,Movimento de Massa,Jaguaruna,0
2002,Alagamentos,Jaguaruna,0
2002,Chuvas Intensas,Jaguaruna,0
2002,Enxurradas,Jaguaruna,0
2002,Inundações,Jaguaruna,0
2002,Movimento de Massa,Jaguaruna,0
2003,Alagamentos,Jaguaruna,0
2003,Chuvas Intensas,Jaguaruna,0
2003,Enxurradas,Jaguaruna,0
2003,Inundações,Jaguaruna,0
2003,Movimento de Massa,Jaguaruna,0
2004,Alagamentos,Jaguaruna,0
2004,Chuvas Intensas,Jaguaruna,0
2004,Enxurradas,Jaguaruna,1
2004,Inundações,Jaguaruna,0
2004,Movimento de Massa,Jaguaruna,0
2005,Alagamentos,Jaguaruna,0
2005,Chuvas Intensas,Jaguaruna,0
2005,Enxurradas,Jaguaruna,0
2005,Inundações,Jaguaruna,0
2005,Movimento de Massa,Jaguaruna,0
2006,Alagamentos,Jaguaruna,0
2006,Chuvas Intensas,Jaguaruna,0
2006,Enxurradas,Jaguaruna,0
2006,Inundações,Jaguaruna,0
2006,Movimento de Massa,Jaguaruna,0
2007,Alagamentos,Jaguaruna,0
2007,Chuvas Intensas,Jaguaruna,0
2007,Enxurradas,Jaguaruna,0
2007,Inundações,Jaguaruna,0
