ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Joinville,0
1991,Chuvas Intensas,Joinville,0
1991,Enxurradas,Joinville,0
1991,Inundações,Joinville,0
1991,Movimento de Massa,Joinville,0
1992,Alagamentos,Joinville,0
1992,Chuvas Intensas,Joinville,0
1992,Enxurradas,Joinville,0
1992,Inundações,Joinville,0
1992,Movimento de Massa,Joinville,0
1993,Alagamentos,Joinville,0
1993,Chuvas Intensas,Joinville,0
1993,Enxurradas,Joinville,0
1993,Inundações,Joinville,0
1993,Movimento de Massa,Joinville,0
1994,Alagamentos,Joinville,0
1994,Chuvas Intensas,Joinville,0
1994,Enxurradas,Joinville,1
1994,Inundações,Joinville,0
1994,Movimento de Massa,Joinville,0
1995,Alagamentos,Joinville,0
1995,Chuvas Intensas,Joinville,0
1995,Enxurradas,Joinville,2
1995,Inundações,Joinville,0
1995,Movimento de Massa,Joinville,0
1996,Alagamentos,Joinville,0
1996,Chuvas Intensas,Joinville,0
1996,Enxurradas,Joinville,0
1996,Inundações,Joinville,0
1996,Movimento de Massa,Joinville,0
1997,Alagamentos,Joinville,0
1997,Chuvas Intensas,Joinville,0
1997,Enxurradas,Joinville,0
1997,Inundações,Joinville,0
1997,Movimento de Massa,Joinville,0
1998,Alagamentos,Joinville,0
1998,Chuvas Intensas,Joinville,0
1998,Enxurradas,Joinville,1
1998,Inundações,Joinville,0
1998,Movimento de Massa,Joinville,0
1999,Alagamentos,Joinville,0
1999,Chuvas Intensas,Joinville,0
1999,Enxurradas,Joinville,0
1999,Inundações,Joinville,1
1999,Movimento de Massa,Joinville,0
2000,Alagamentos,Joinville,0
2000,Chuvas Intensas,Joinville,0
2000,Enxurradas,Joinville,0
2000,Inundações,Joinville,0
2000,Movimento de Massa,Joinville,0
2001,Alagamentos,Joinville,0
2001,Chuvas Intensas,Joinville,0
2001,Enxurradas,Joinville,1
2001,Inundações,Joinville,0
2001,Movimento de Massa,Joinville,0
2002,Alagamentos,Joinville,0
2002,Chuvas Intensas,Joinville,0
2002,Enxurradas,Joinville,0
2002,Inundações,Joinville,0
2002,Movimento de Massa,Joinville,1
2003,Alagamentos,Joinville,0
2003,Chuvas Intensas,Joinville,0
2003,Enxurradas,Joinville,0
2003,Inundações,Joinville,1
2003,Movimento de Massa,Joinville,0
2004,Alagamentos,Joinville,0
2004,Chuvas Intensas,Joinville,0
2004,Enxurradas,Joinville,0
2004,Inundações,Joinville,0
2004,Movimento de Massa,Joinville,0
2005,Alagamentos,Joinville,0
2005,Chuvas Intensas,Joinville,0
2005,Enxurradas,Joinville,0
2005,Inundações,Joinville,0
2005,Movimento de Massa,Joinville,0
2006,Alagamentos,Joinville,0
2006,Chuvas Intensas,Joinville,0
2006,Enxurradas,Joinville,0
2006,Inundações,Joinville,1
2006,Movimento de Massa,Joinville,0
2007,Alagamentos,Joinville,0
2007,Chuvas Intensas,Joinville,0
2007,Enxurradas,Joinville,1
2007,Inundações,Joinville,0
2007,Movimento de Massa,Joinville,0
2008,Alagamentos,Joinville,0
2008,Chuvas Intensas,Joinville,0
2008,Enxurradas,Joinville,2
2008,Inundações,Joinville,0
2008,Movimento de Massa,Joinville,0
2009,Alagamentos,Joinville,0
2009,Chuvas Intensas,Joinville,0
2009,Enxurradas,Joinville,0
2009,Inundações,Joinville,0
2009,Movimento de Massa,Joinville,0
2010,Alagamentos,Joinville,1
2010,Chuvas Intensas,Joinville,0
2010,Enxurradas,Joinville,1
2010,Inundações,Joinville,0
2010,Movimento de Massa,Joinville,0
2011,Alagamentos,Joinville,1
2011,Chuvas Intensas,Joinville,0
2011,Enxurradas,Joinville,1
2011,Inundações,Joinville,1
2011,Movimento de Massa,Joinville,0
2012,Alagamentos,Joinville,0
2012,Chuvas Intensas,Joinville,0
2012,Enxurradas,Joinville,0
2012,Inundações,Joinville,0
2012,Movimento de Massa,Joinville,0
2013,Alagamentos,Joinville,0
2013,Chuvas Intensas,Joinville,0
2013,Enxurradas,Joinville,0
2013,Inundações,Joinville,1
2013,Movimento de Massa,Joinville,0
2014,Alagamentos,Joinville,0
2014,Chuvas Intensas,Joinville,0
2014,Enxurradas,Joinville,0
2014,Inundações,Joinville,0
2014,Movimento de Massa,Joinville,0
2015,Alagamentos,Joinville,0
2015,Chuvas Intensas,Joinville,1
2015,Enxurradas,Joinville,0
2015,Inundações,Joinville,1
2015,Movimento de Massa,Joinville,0
2016,Alagamentos,Joinville,0
2016,Chuvas Intensas,Joinville,0
2016,Enxurradas,Joinville,1
2016,Inundações,Joinville,1
2016,Movimento de Massa,Joinville,0
2017,Alagamentos,Joinville,1
2017,Chuvas Intensas,Joinville,2
2017,Enxurradas,Joinville,0
2017,Inundações,Joinville,1
2017,Movimento de Massa,Joinville,0
2018,Alagamentos,Joinville,0
2018,Chuvas Intensas,Joinville,1
2018,Enxurradas,Joinville,0
2018,Inundações,Joinville,0
2018,Movimento de Massa,Joinville,0
2019,Alagamentos,Joinville,0
2019,Chuvas Intensas,Joinville,1
2019,Enxurradas,Joinville,0
2019,Inundações,Joinville,0
2019,Movimento de Massa,Joinville,0
2020,Alagamentos,Joinville,0
2020,Chuvas Intensas,Joinville,2
2020,Enxurradas,Joinville,0
2020,Inundações,Joinville,0
2020,Movimento de Massa,Joinville,0
2021,Alagamentos,Joinville,0
2021,Chuvas Intensas,Joinville,1
2021,Enxurradas,Joinville,1
2021,Inundações,Joinville,0
2021,Movimento de Massa,Joinville,0
2022,Alagamentos,Joinville,0
2022,Chuvas Intensas,Joinville,3
2022,Enxurradas,Joinville,0
2022,Inundações,Joinville,0
2022,Movimento de Massa,Joinville,0
2023,Alagamentos,Joinville,0
2023,Chuvas Intensas,Joinville,3
2023,Enxurradas,Joinville,1
2023,Inundações,Joinville,0
2023,Movimento de Massa,Joinville,0
2024,Alagamentos,Joinville,1
2024,Chuvas Intensas,Joinville,4
2024,Enxurradas,Joinville,0
2024,Inundações,Joinville,0
2024,Movimento de Massa,Joinville,0
