ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Laguna,0
1991,Chuvas Intensas,Laguna,0
1991,Enxurradas,Laguna,0
1991,Inundações,Laguna,0
1991,Movimento de Massa,Laguna,0
1992,Alagamentos,Laguna,0
1992,Chuvas Intensas,Laguna,0
1992,Enxurradas,Laguna,0
1992,Inundações,Laguna,0
1992,Movimento de Massa,Laguna,0
1993,Alagamentos,Laguna,0
1993,Chuvas Intensas,Laguna,0
1993,Enxurradas,Laguna,0
1993,Inundações,Laguna,0
1993,Movimento de Massa,Laguna,0
1994,Alagamentos,Laguna,0
1994,Chuvas Intensas,Laguna,0
1994,Enxurradas,Laguna,0
1994,Inundações,Laguna,0
1994,Movimento de Massa,Laguna,0
1995,Alagamentos,Laguna,0
1995,Chuvas Intensas,Laguna,0
1995,Enxurradas,Laguna,0
1995,Inundações,Laguna,0
1995,Movimento de Massa,Laguna,0
1996,Alagamentos,Laguna,0
1996,Chuvas Intensas,Laguna,0
1996,Enxurradas,Laguna,1
1996,Inundações,Laguna,0
1996,Movimento de Massa,Laguna,0
1997,Alagamentos,Laguna,0
1997,Chuvas Intensas,Laguna,0
1997,Enxurradas,Laguna,0
1997,Inundações,Laguna,0
1997,Movimento de Massa,Laguna,0
1998,Alagamentos,Laguna,0
1998,Chuvas Intensas,Laguna,0
1998,Enxurradas,Laguna,0
1998,Inundações,Laguna,0
1998,Movimento de Massa,Laguna,0
1999,Alagamentos,Laguna,0
1999,Chuvas Intensas,Laguna,0
1999,Enxurradas,Laguna,0
1999,Inundações,Laguna,0
1999,Movimento de Massa,Laguna,0
2000,Alagamentos,Laguna,0
2000,Chuvas Intensas,Laguna,0
2000,Enxurradas,Laguna,0
2000,Inundações,Laguna,0
2000,Movimento de Massa,Laguna,0
2001,Alagamentos,Laguna,0
2001,Chuvas Intensas,Laguna,0
2001,Enxurradas,Laguna,0
2001,Inundações,Laguna,1
2001,Movimento de Massa,Laguna,0
2002,Alagamentos,Laguna,0
2002,Chuvas Intensas,Laguna,0
2002,Enxurradas,Laguna,0
2002,Inundações,Laguna,0
2002,Movimento de Massa,Laguna,0
2003,Alagamentos,Laguna,0
2003,Chuvas Intensas,Laguna,0
2003,Enxurradas,Laguna,0
2003,Inundações,Laguna,0
2003,Movimento de Massa,Laguna,0
2004,Alagamentos,Laguna,0
2004,Chuvas Intensas,Laguna,0
2004,Enxurradas,Laguna,2
2004,Inundações,Laguna,0
2004,Movimento de Massa,Laguna,0
2005,Alagamentos,Laguna,0
2005,Chuvas Intensas,Laguna,0
2005,Enxurradas,Laguna,0
2005,Inundações,Laguna,0
2005,Movimento de Massa,Laguna,0
2006,Alagamentos,Laguna,0
2006,Chuvas Intensas,Laguna,0
2006,Enxurradas,Laguna,0
2006,Inundações,Laguna,0
2006,Movimento de Massa,Laguna,0
2007,Alagamentos,Laguna,0
2007,Chuvas Intensas,Laguna,0
2007,Enxurradas,Laguna,0
2007,Inundações,Laguna,0
2007,Movimento de Massa,Laguna,0
2008,Alagamentos,Laguna,0
2008,Chuvas Intensas,Laguna,0
2008,Enxurradas,Laguna,0
2008,Inundações,Laguna,0
2008,Movimento de Massa,Laguna,0
2009,Alagamentos,Laguna,0
2009,Chuvas Intensas,Laguna,0
2009,Enxurradas,Laguna,1
2009,Inundações,Laguna,0
2009,Movimento de Massa,Laguna,0
2010,Alagamentos,Laguna,0
2010,Chuvas Intensas,Laguna,0
2010,Enxurradas,Laguna,0
2010,Inundações,Laguna,0
2010,Movimento de Massa,Laguna,0
2011,Alagamentos,Laguna,0
2011,Chuvas Intensas,Laguna,0
2011,Enxurradas,Laguna,0
2011,Inundações,Laguna,0
2011,Movimento de Massa,Laguna,1
2012,Alagamentos,Laguna,0
2012,Chuvas Intensas,Laguna,0
2012,Enxurradas,Laguna,0
2012,Inundações,Laguna,0
2012,Movimento de Massa,Laguna,0
2013,Alagamentos,Laguna,0
2013,Chuvas Intensas,Laguna,0
2013,Enxurradas,Laguna,0
2013,Inundações,Laguna,0
2013,Movimento de Massa,Laguna,0
2014,Alagamentos,Laguna,0
2014,Chuvas Intensas,Laguna,0
2014,Enxurradas,Laguna,0
2014,Inundações,Laguna,0
2014,Movimento de Massa,Laguna,0
2015,Alagamentos,Laguna,0
2015,Chuvas Intensas,Laguna,0
2015,Enxurradas,Laguna,0
2015,Inundações,Laguna,0
2015,Movimento de Massa,Laguna,0
2016,Alagamentos,Laguna,1
2016,Chuvas Intensas,Laguna,0
2016,Enxurradas,Laguna,0
2016,Inundações,Laguna,0
2016,Movimento de Massa,Laguna,0
2017,Alagamentos,Laguna,0
2017,Chuvas Intensas,Laguna,0
2017,Enxurradas,Laguna,0
2017,Inundações,Laguna,0
2017,Movimento de Massa,Laguna,0
2018,Alagamentos,Laguna,0
2018,Chuvas Intensas,Laguna,0
2018,Enxurradas,Laguna,0
2018,Inundações,Laguna,0
2018,Movimento de Massa,Laguna,0
2019,Alagamentos,Laguna,1
2019,Chuvas Intensas,Laguna,0
2019,Enxurradas,Laguna,0
2019,Inundações,Laguna,0
2019,Movimento de Massa,Laguna,0
2020,Alagamentos,Laguna,0
2020,Chuvas Intensas,Laguna,0
2020,Enxurradas,Laguna,0
2020,Inundações,Laguna,0
2020,Movimento de Massa,Laguna,0
2021,Alagamentos,Laguna,0
2021,Chuvas Intensas,Laguna,1
2021,Enxurradas,Laguna,0
2021,Inundações,Laguna,0
2021,Movimento de Massa,Laguna,0
2022,Alagamentos,Laguna,0
2022,Chuvas Intensas,Laguna,1
2022,Enxurradas,Laguna,0
2022,Inundações,Laguna,0
2022,Movimento de Massa,Laguna,1
2023,Alagamentos,Laguna,0
2023,Chuvas Intensas,Laguna,1
2023,Enxurradas,Laguna,0
2023,Inundações,Laguna,0
2023,Movimento de Massa,Laguna,0
2024,Alagamentos,Laguna,0
2024,Chuvas Intensas,Laguna,0
2024,Enxurradas,Laguna,0
2024,Inundações,Laguna,0
2024,Movimento de Massa,Laguna,0
