ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Navegantes,0
1991,Chuvas Intensas,Navegantes,0
1991,Enxurradas,Navegantes,0
1991,Inundações,Navegantes,0
1991,Movimento de Massa,Navegantes,0
1992,Alagamentos,Navegantes,0
1992,Chuvas Intensas,Navegantes,0
1992,Enxurradas,Navegantes,0
1992,Inundações,Navegantes,1
1992,Movimento de Massa,Navegantes,0
1993,Alagamentos,Navegantes,0
1993,Chuvas Intensas,Navegantes,0
1993,Enxurradas,Navegantes,0
1993,Inundações,Navegantes,0
1993,Movimento de Massa,Navegantes,0
1994,Alagamentos,Navegantes,0
1994,Chuvas Intensas,Navegantes,0
1994,Enxurradas,Navegantes,0
1994,Inundações,Navegantes,0
1994,Movimento de Massa,Navegantes,0
1995,Alagamentos,Navegantes,0
1995,Chuvas Intensas,Navegantes,0
1995,Enxurradas,Navegantes,0
1995,Inundações,Navegantes,0
1995,Movimento de Massa,Navegantes,0
1996,Alagamentos,Navegantes,0
1996,Chuvas Intensas,Navegantes,0
1996,Enxurradas,Navegantes,0
1996,Inundações,Navegantes,0
1996,Movimento de Massa,Navegantes,0
1997,Alagamentos,Navegantes,0
1997,Chuvas Intensas,Navegantes,0
1997,Enxurradas,Navegantes,0
1997,Inundações,Navegantes,0
1997,Movimento de Massa,Navegantes,0
1998,Alagamentos,Navegantes,0
1998,Chuvas Intensas,Navegantes,0
1998,Enxurradas,Navegantes,0
1998,Inundações,Navegantes,0
1998,Movimento de Massa,Navegantes,0
1999,Alagamentos,Navegantes,0
1999,Chuvas Intensas,Navegantes,0
1999,Enxurradas,Navegantes,0
1999,Inundações,Navegantes,0
1999,Movimento de Massa,Navegantes,0
2000,Alagamentos,Navegantes,0
2000,Chuvas Intensas,Navegantes,0
2000,Enxurradas,Navegantes,0
2000,Inundações,Navegantes,0
2000,Movimento de Massa,Navegantes,0
2001,Alagamentos,Navegantes,0
2001,Chuvas Intensas,Navegantes,0
2001,Enxurradas,Navegantes,0
2001,Inundações,Navegantes,1
2001,Movimento de Massa,Navegantes,0
2002,Alagamentos,Navegantes,0
2002,Chuvas Intensas,Navegantes,0
2002,Enxurradas,Navegantes,1
2002,Inundações,Navegantes,0
2002,Movimento de Massa,Navegantes,0
2003,Alagamentos,Navegantes,0
2003,Chuvas Intensas,Navegantes,0
2003,Enxurradas,Navegantes,1
2003,Inundações,Navegantes,0
2003,Movimento de Massa,Navegantes,0
2004,Alagamentos,Navegantes,0
2004,Chuvas Intensas,Navegantes,0
2004,Enxurradas,Navegantes,0
2004,Inundações,Navegantes,0
2004,Movimento de Massa,Navegantes,0
2005,Alagamentos,Navegantes,0
2005,Chuvas Intensas,Navegantes,0
2005,Enxurradas,Navegantes,0
2005,Inundações,Navegantes,0
2005,Movimento de Massa,Navegantes,0
2006,Alagamentos,Navegantes,0
2006,Chuvas Intensas,Navegantes,0
2006,Enxurradas,Navegantes,0
2006,Inundações,Navegantes,0
2006,Movimento de Massa,Navegantes,0
2007,Alagamentos,Navegantes,0
2007,Chuvas Intensas,Navegantes,0
2007,Enxurradas,Navegantes,0
2007,Inundações,Navegantes,0
2007,Movimento de Massa,Navegantes,0
2008,Alagamentos,Navegantes,0
2008,Chuvas Intensas,Navegantes,0
2008,Enxurradas,Navegantes,2
2008,Inundações,Navegantes,0
2008,Movimento de Massa,Navegantes,0
2009,Alagamentos,Navegantes,0
2009,Chuvas Intensas,Navegantes,0
2009,Enxurradas,Navegantes,2
2009,Inundações,Navegantes,0
2009,Movimento de Massa,Navegantes,0
2010,Alagamentos,Navegantes,0
2010,Chuvas Intensas,Navegantes,0
2010,Enxurradas,Navegantes,1
2010,Inundações,Navegantes,0
2010,Movimento de Massa,Navegantes,0
2011,Alagamentos,Navegantes,0
2011,Chuvas Intensas,Navegantes,0
2011,Enxurradas,Navegantes,1
2011,Inundações,Navegantes,0
2011,Movimento de Massa,Navegantes,0
2012,Alagamentos,Navegantes,0
