ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Palhoça,0
1991,Chuvas Intensas,Palhoça,0
1991,Enxurradas,Palhoça,0
1991,Inundações,Palhoça,1
1991,Movimento de Massa,Palhoça,0
1992,Alagamentos,Palhoça,0
1992,Chuvas Intensas,Palhoça,0
1992,Enxurradas,Palhoça,0
1992,Inundações,Palhoça,0
1992,Movimento de Massa,Palhoça,0
1993,Alagamentos,Palhoça,0
1993,Chuvas Intensas,Palhoça,0
1993,Enxurradas,Palhoça,0
1993,Inundações,Palhoça,0
1993,Movimento de Massa,Palhoça,0
1994,Alagamentos,Palhoça,0
1994,Chuvas Intensas,Palhoça,0
1994,Enxurradas,Palhoça,0
1994,Inundações,Palhoça,0
1994,Movimento de Massa,Palhoça,0
1995,Alagamentos,Palhoça,0
1995,Chuvas Intensas,Palhoça,0
1995,Enxurradas,Palhoça,0
1995,Inundações,Palhoça,1
1995,Movimento de Massa,Palhoça,0
1996,Alagamentos,Palhoça,0
1996,Chuvas Intensas,Palhoça,0
1996,Enxurradas,Palhoça,1
1996,Inundações,Palhoça,0
1996,Movimento de Massa,Palhoça,0
1997,Alagamentos,Palhoça,0
1997,Chuvas Intensas,Palhoça,0
1997,Enxurradas,Palhoça,1
1997,Inundações,Palhoça,0
1997,Movimento de Massa,Palhoça,0
1998,Alagamentos,Palhoça,0
1998,Chuvas Intensas,Palhoça,0
1998,Enxurradas,Palhoça,0
1998,Inundações,Palhoça,0
1998,Movimento de Massa,Palhoça,0
1999,Alagamentos,Palhoça,0
1999,Chuvas Intensas,Palhoça,0
1999,Enxurradas,Palhoça,0
1999,Inundações,Palhoça,0
1999,Movimento de Massa,Palhoça,0
2000,Alagamentos,Palhoça,0
2000,Chuvas Intensas,Palhoça,0
2000,Enxurradas,Palhoça,0
2000,Inundações,Palhoça,0
2000,Movimento de Massa,Palhoça,0
2001,Alagamentos,Palhoça,0
2001,Chuvas Intensas,Palhoça,0
2001,Enxurradas,Palhoça,2
2001,Inundações,Palhoça,0
2001,Movimento de Massa,Palhoça,0
2002,Alagamentos,Palhoça,0
2002,Chuvas Intensas,Palhoça,0
2002,Enxurradas,Palhoça,0
2002,Inundações,Palhoça,0
2002,Movimento de Massa,Palhoça,0
2003,Alagamentos,Palhoça,0
2003,Chuvas Intensas,Palhoça,0
2003,Enxurradas,Palhoça,0
2003,Inundações,Palhoça,0
2003,Movimento de Massa,Palhoça,0
2004,Alagamentos,Palhoça,0
2004,Chuvas Intensas,Palhoça,0
2004,Enxurradas,Palhoça,0
2004,Inundações,Palhoça,0
2004,Movimento de Massa,Palhoça,0
2005,Alagamentos,Palhoça,0
2005,Chuvas Intensas,Palhoça,0
2005,Enxurradas,Palhoça,1
2005,Inundações,Palhoça,0
2005,Movimento de Massa,Palhoça,0
2006,Alagamentos,Palhoça,0
2006,Chuvas Intensas,Palhoça,0
