ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Passo de Torres,0
1991,Chuvas Intensas,Passo de Torres,0
1991,Enxurradas,Passo de Torres,0
1991,Inundações,Passo de Torres,0
1991,Movimento de Massa,Passo de Torres,0
1992,Alagamentos,Passo de Torres,0
1992,Chuvas Intensas,Passo de Torres,0
1992,Enxurradas,Passo de Torres,0
1992,Inundações,Passo de Torres,0
1992,Movimento de Massa,Passo de Torres,0
1993,Alagamentos,Passo de Torres,0
1993,Chuvas Intensas,Passo de Torres,0
1993,Enxurradas,Passo de Torres,1
1993,Inundações,Passo de Torres,0
1993,Movimento de Massa,Passo de Torres,0
1994,Alagamentos,Passo de Torres,0
1994,Chuvas Intensas,Passo de Torres,0
1994,Enxurradas,Passo de Torres,0
1994,Inundações,Passo de Torres,0
1994,Movimento de Massa,Passo de Torres,0
1995,Alagamentos,Passo de Torres,0
1995,Chuvas Intensas,Passo de Torres,0
1995,Enxurradas,Passo de Torres,0
1995,Inundações,Passo de Torres,1
1995,Movimento de Massa,Passo de Torres,0
1996,Alagamentos,Passo de Torres,0
1996,Chuvas Intensas,Passo de Torres,0
1996,Enxurradas,Passo de Torres,0
1996,Inundações,Passo de Torres,0
1996,Movimento de Massa,Passo de Torres,0
1997,Alagamentos,Passo de Torres,0
1997,Chuvas Intensas,Passo de Torres,0
1997,Enxurradas,Passo de Torres,0
1997,Inundações,Passo de Torres,0
1997,Movimento de Massa,Passo de Torres,0
1998,Alagamentos,Passo de Torres,0
1998,Chuvas Intensas,Passo de Torres,0
1998,Enxurradas,Passo de Torres,1
1998,Inundações,Passo de Torres,0
1998,Movimento de Massa,Passo de Torres,0
1999,Alagamentos,Passo de Torres,0
1999,Chuvas Intensas,Passo de Torres,0
1999,Enxurradas,Passo de Torres,0
1999,Inundações,Passo de Torres,0
1999,Movimento de Massa,Passo de Torres,0
2000,Alagamentos,Passo de Torres,0
2000,Chuvas Intensas,Passo de Torres,0
2000,Enxurradas,Passo de Torres,0
2000,Inundações,Passo de Torres,0
2000,Movimento de Massa,Passo de Torres,0
2001,Alagamentos,Passo de Torres,0
2001,Chuvas Intensas,Passo de Torres,0
2001,Enxurradas,Passo de Torres,0
2001,Inundações,Passo de Torres,0
2001,Movimento de Massa,Passo de Torres,0
2002,Alagamentos,Passo de Torres,0
2002,Chuvas Intensas,Passo de Torres,0
2002,Enxurradas,Passo de Torres,0
2002,Inundações,Passo de Torres,0
2002,Movimento de Massa,Passo de Torres,0
2003,Alagamentos,Passo de Torres,0
2003,Chuvas Intensas,Passo de Torres,0
2003,Enxurradas,Passo de Torres,0
2003,Inundações,Passo de Torres,0
2003,Movimento de Massa,Passo de Torres,0
2004,Alagamentos,Passo de Torres,0
2004,Chuvas Intensas,Passo de Torres,0
2004,Enxurradas,Passo de Torres,0
2004,Inundações,Passo de Torres,1
2004,Movimento de Massa,Passo de Torres,0
2005,Alagamentos,Passo de Torres,0
2005,Chuvas Intensas,Passo de Torres,0
2005,Enxurradas,Passo de Torres,0
2005,Inundações,Passo de Torres,0
2005,Movimento de Massa,Passo de Torres,0
2006,Alagamentos,Passo de Torres,0
2006,Chuvas Intensas,Passo de Torres,0
2006,Enxurradas,Passo de Torres,0
2006,Inundações,Passo de Torres,0
2006,Movimento de Massa,Passo de Torres,0
2007,Alagamentos,Passo de Torres,0
2007,Chuvas Intensas,Passo de Torres,0
2007,Enxurradas,Passo de Torres,0
2007,Inundações,Passo de Torres,0
2007,Movimento de Massa,Passo de Torres,0
2008,Alagamentos,Passo de Torres,0
2008,Chuvas Intensas,Passo de Torres,0
2008,Enxurradas,Passo de Torres,0
2008,Inundações,Passo de Torres,0
2008,Movimento de Massa,Passo de Torres,0
2009,Alagamentos,Passo de Torres,0
2009,Chuvas Intensas,Passo de Torres,0
2009,Enxurradas,Passo de Torres,1
2009,Inundações,Passo de Torres,0
2009,Movimento de Massa,Passo de Torres,0
2010,Alagamentos,Passo de Torres,0
2010,Chuvas Intensas,Passo de Torres,0
2010,Enxurradas,Passo de Torres,0
2010,Inundações,Passo de Torres,0
2010,Movimento de Massa,Passo de Torres,0
2011,Alagamentos,Passo de Torres,0
2011,Chuvas Intensas,Passo de Torres,0
2011,Enxurradas,Passo de Torres,0
2011,Inundações,Passo de Torres,0
2011,Movimento de Massa,Passo de Torres,0
2012,Alagamentos,Passo de Torres,0
2012,Chuvas Intensas,Passo de Torres,0
2012,Enxurradas,Passo de Torres,0
2012,Inundações,Passo de Torres,0
2012,Movimento de Massa,Passo de Torres,0
2013,Alagamentos,Passo de Torres,0
2013,Chuvas Intensas,Passo de Torres,0
2013,Enxurradas,Passo de Torres,0
2013,Inundações,Passo de Torres,1
2013,Movimento de Massa,Passo de Torres,0
2014,Alagamentos,Passo de Torres,1
2014,Chuvas Intensas,Passo de Torres,0
2014,Enxurradas,Passo de Torres,0
2014,Inundações,Passo de Torres,0
2014,Movimento de Massa,Passo de Torres,0
2015,Alagamentos,Passo de Torres,0
2015,Chuvas Intensas,Passo de Torres,0
2015,Enxurradas,Passo de Torres,0
2015,Inundações,Passo de Torres,0
2015,Movimento de Massa,Passo de Torres,0
2016,Alagamentos,Passo de Torres,0
2016,Chuvas Intensas,Passo de Torres,0
2016,Enxurradas,Passo de Torres,0
2016,Inundações,Passo de Torres,0
2016,Movimento de Massa,Passo de Torres,0
2017,Alagamentos,Passo de Torres,0
2017,Chuvas Intensas,Passo de Torres,0
2017,Enxurradas,Passo de Torres,0
2017,Inundações,Passo de Torres,0
2017,Movimento de Massa,Passo de Torres,0
2018,Alagamentos,Passo de Torres,0
2018,Chuvas Intensas,Passo de Torres,0
2018,Enxurradas,Passo de Torres,0
2018,Inundações,Passo de Torres,0
2018,Movimento de Massa,Passo de Torres,0
2019,Alagamentos,Passo de Torres,0
2019,Chuvas Intensas,Passo de Torres,0
2019,Enxurradas,Passo de Torres,0
2019,Inundações,Passo de Torres,0
2019,Movimento de Massa,Passo de Torres,0
2020,Alagamentos,Passo de Torres,0
2020,Chuvas Intensas,Passo de Torres,0
2020,Enxurradas,Passo de Torres,0
2020,Inundações,Passo de Torres,0
2020,Movimento de Massa,Passo de Torres,0
2021,Alagamentos,Passo de Torres,0
2021,Chuvas Intensas,Passo de Torres,0
2021,Enxurradas,Passo de Torres,0
2021,Inundações,Passo de Torres,0
2021,Movimento de Massa,Passo de Torres,0
2022,Alagamentos,Passo de Torres,0
2022,Chuvas Intensas,Passo de Torres,1
2022,Enxurradas,Passo de Torres,0
2022,Inundações,Passo de Torres,0
2022,Movimento de Massa,Passo de Torres,0
2023,Alagamentos,Passo de Torres,0
2023,Chuvas Intensas,Passo de Torres,1
2023,Enxurradas,Passo de Torres,0
2023,Inundações,Passo de Torres,0
2023,Movimento de Massa,Passo de Torres,0
2024,Alagamentos,Passo de Torres,0
2024,Chuvas Intensas,Passo de Torres,1
2024,Enxurradas,Passo de Torres,0
2024,Inundações,Passo de Torres,0
2024,Movimento de Massa,Passo de Torres,0
