ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Penha,0
1991,Chuvas Intensas,Penha,0
1991,Enxurradas,Penha,0
1991,Inundações,Penha,0
1991,Movimento de Massa,Penha,0
1992,Alagamentos,Penha,0
1992,Chuvas Intensas,Penha,0
1992,Enxurradas,Penha,0
1992,Inundações,Penha,0
1992,Movimento de Massa,Penha,0
1993,Alagamentos,Penha,0
1993,Chuvas Intensas,Penha,0
1993,Enxurradas,Penha,0
1993,Inundações,Penha,0
1993,Movimento de Massa,Penha,0
1994,Alagamentos,Penha,0
1994,Chuvas Intensas,Penha,0
1994,Enxurradas,Penha,0
1994,Inundações,Penha,0
1994,Movimento de Massa,Penha,0
1995,Alagamentos,Penha,0
1995,Chuvas Intensas,Penha,0
1995,Enxurradas,Penha,0
1995,Inundações,Penha,0
1995,Movimento de Massa,Penha,0
1996,Alagamentos,Penha,0
1996,Chuvas Intensas,Penha,0
1996,Enxurradas,Penha,0
1996,Inundações,Penha,0
1996,Movimento de Massa,Penha,0
1997,Alagamentos,Penha,0
1997,Chuvas Intensas,Penha,0
1997,Enxurradas,Penha,0
1997,Inundações,Penha,0
1997,Movimento de Massa,Penha,0
1998,Alagamentos,Penha,0
1998,Chuvas Intensas,Penha,0
1998,Enxurradas,Penha,0
1998,Inundações,Penha,0
1998,Movimento de Massa,Penha,0
1999,Alagamentos,Penha,0
1999,Chuvas Intensas,Penha,0
1999,Enxurradas,Penha,0
1999,Inundações,Penha,0
1999,Movimento de Massa,Penha,0
2000,Alagamentos,Penha,0
2000,Chuvas Intensas,Penha,0
2000,Enxurradas,Penha,0
2000,Inundações,Penha,0
2000,Movimento de Massa,Penha,0
2001,Alagamentos,Penha,0
2001,Chuvas Intensas,Penha,0
2001,Enxurradas,Penha,0
2001,Inundações,Penha,0
2001,Movimento de Massa,Penha,0
2002,Alagamentos,Penha,0
2002,Chuvas Intensas,Penha,0
2002,Enxurradas,Penha,0
2002,Inundações,Penha,0
2002,Movimento de Massa,Penha,0
2003,Alagamentos,Penha,0
2003,Chuvas Intensas,Penha,0
2003,Enxurradas,Penha,0
2003,Inundações,Penha,0
2003,Movimento de Massa,Penha,0
2004,Alagamentos,Penha,0
2004,Chuvas Intensas,Penha,0
2004,Enxurradas,Penha,0
2004,Inundações,Penha,0
2004,Movimento de Massa,Penha,0
2005,Alagamentos,Penha,0
2005,Chuvas Intensas,Penha,0
2005,Enxurradas,Penha,0
2005,Inundações,Penha,0
2005,Movimento de Massa,Penha,0
2006,Alagamentos,Penha,0
2006,Chuvas Intensas,Penha,0
2006,Enxurradas,Penha,0
2006,Inundações,Penha,0
2006,Movimento de Massa,Penha,0
2007,Alagamentos,Penha,0
2007,Chuvas Intensas,Penha,0
2007,Enxurradas,Penha,0
2007,Inundações,Penha,0
2007,Movimento de Massa,Penha,0
2008,Alagamentos,Penha,0
2008,Chuvas Intensas,Penha,0
2008,Enxurradas,Penha,2
2008,Inundações,Penha,0
2008,Movimento de Massa,Penha,0
2009,Alagamentos,Penha,0
2009,Chuvas Intensas,Penha,0
2009,Enxurradas,Penha,0
2009,Inundações,Penha,0
2009,Movimento de Massa,Penha,0
2010,Alagamentos,Penha,0
2010,Chuvas Intensas,Penha,0
2010,Enxurradas,Penha,1
2010,Inundações,Penha,0
2010,Movimento de Massa,Penha,0
2011,Alagamentos,Penha,0
2011,Chuvas Intensas,Penha,0
2011,Enxurradas,Penha,1
2011,Inundações,Penha,2
2011,Movimento de Massa,Penha,0
2012,Alagamentos,Penha,0
2012,Chuvas Intensas,Penha,0
2012,Enxurradas,Penha,0
2012,Inundações,Penha,0
2012,Movimento de Massa,Penha,0
2013,Alagamentos,Penha,0
2013,Chuvas Intensas,Penha,0
2013,Enxurradas,Penha,0
2013,Inundações,Penha,1
2013,Movimento de Massa,Penha,0
2014,Alagamentos,Penha,0
2014,Chuvas Intensas,Penha,0
2014,Enxurradas,Penha,0
2014,Inundações,Penha,0
2014,Movimento de Massa,Penha,0
2015,Alagamentos,Penha,0
2015,Chuvas Intensas,Penha,0
2015,Enxurradas,Penha,0
2015,Inundações,Penha,0
2015,Movimento de Massa,Penha,0
2016,Alagamentos,Penha,0
2016,Chuvas Intensas,Penha,0
2016,Enxurradas,Penha,1
2016,Inundações,Penha,0
2016,Movimento de Massa,Penha,0
2017,Alagamentos,Penha,1
2017,Chuvas Intensas,Penha,2
2017,Enxurradas,Penha,0
2017,Inundações,Penha,0
2017,Movimento de Massa,Penha,1
2018,Alagamentos,Penha,1
2018,Chuvas Intensas,Penha,2
