ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Pescaria Brava,0
1991,Chuvas Intensas,Pescaria Brava,0
1991,Enxurradas,Pescaria Brava,0
1991,Inundações,Pescaria Brava,0
1991,Movimento de Massa,Pescaria Brava,0
1992,Alagamentos,Pescaria Brava,0
1992,Chuvas Intensas,Pescaria Brava,0
1992,Enxurradas,Pescaria Brava,0
1992,Inundações,Pescaria Brava,0
1992,Movimento de Massa,Pescaria Brava,0
1993,Alagamentos,Pescaria Brava,0
1993,Chuvas Intensas,Pescaria Brava,0
1993,Enxurradas,Pescaria Brava,0
1993,Inundações,Pescaria Brava,0
1993,Movimento de Massa,Pescaria Brava,0
1994,Alagamentos,Pescaria Brava,0
1994,Chuvas Intensas,Pescaria Brava,0
1994,Enxurradas,Pescaria Brava,0
1994,Inundações,Pescaria Brava,0
1994,Movimento de Massa,Pescaria Brava,0
1995,Alagamentos,Pescaria Brava,0
1995,Chuvas Intensas,Pescaria Brava,0
1995,Enxurradas,Pescaria Brava,0
1995,Inundações,Pescaria Brava,0
1995,Movimento de Massa,Pescaria Brava,0
1996,Alagamentos,Pescaria Brava,0
1996,Chuvas Intensas,Pescaria Brava,0
1996,Enxurradas,Pescaria Brava,0
1996,Inundações,Pescaria Brava,0
1996,Movimento de Massa,Pescaria Brava,0
1997,Alagamentos,Pescaria Brava,0
1997,Chuvas Intensas,Pescaria Brava,0
1997,Enxurradas,Pescaria Brava,0
1997,Inundações,Pescaria Brava,0
1997,Movimento de Massa,Pescaria Brava,0
1998,Alagamentos,Pescaria Brava,0
1998,Chuvas Intensas,Pescaria Brava,0
1998,Enxurradas,Pescaria Brava,0
1998,Inundações,Pescaria Brava,0
1998,Movimento de Massa,Pescaria Brava,0
1999,Alagamentos,Pescaria Brava,0
1999,Chuvas Intensas,Pescaria Brava,0
1999,Enxurradas,Pescaria Brava,0
1999,Inundações,Pescaria Brava,0
1999,Movimento de Massa,Pescaria Brava,0
2000,Alagamentos,Pescaria Brava,0
2000,Chuvas Intensas,Pescaria Brava,0
2000,Enxurradas,Pescaria Brava,0
2000,Inundações,Pescaria Brava,0
2000,Movimento de Massa,Pescaria Brava,0
2001,Alagamentos,Pescaria Brava,0
2001,Chuvas Intensas,Pescaria Brava,0
2001,Enxurradas,Pescaria Brava,0
2001,Inundações,Pescaria Brava,0
2001,Movimento de Massa,Pescaria Brava,0
2002,Alagamentos,Pescaria Brava,0
2002,Chuvas Intensas,Pescaria Brava,0
2002,Enxurradas,Pescaria Brava,0
2002,Inundações,Pescaria Brava,0
2002,Movimento de Massa,Pescaria Brava,0
2003,Alagamentos,Pescaria Brava,0
2003,Chuvas Intensas,Pescaria Brava,0
2003,Enxurradas,Pescaria Brava,0
2003,Inundações,Pescaria Brava,0
2003,Movimento de Massa,Pescaria Brava,0
2004,Alagamentos,Pescaria Brava,0
2004,Chuvas Intensas,Pescaria Brava,0
2004,Enxurradas,Pescaria Brava,0
2004,Inundações,Pescaria Brava,0
2004,Movimento de Massa,Pescaria Brava,0
2005,Alagamentos,Pescaria Brava,0
2005,Chuvas Intensas,Pescaria Brava,0
2005,Enxurradas,Pescaria Brava,0
2005,Inundações,Pescaria Brava,0
2005,Movimento de Massa,Pescaria Brava,0
2006,Alagamentos,Pescaria Brava,0
2006,Chuvas Intensas,Pescaria Brava,0
2006,Enxurradas,Pescaria Brava,0
2006,Inundações,Pescaria Brava,0
2006,Movimento de Massa,Pescaria Brava,0
2007,Alagamentos,Pescaria Brava,0
2007,Chuvas Intensas,Pescaria Brava,0
2007,Enxurradas,Pescaria Brava,0
2007,Inundações,Pescaria Brava,0
2007,Movimento de Massa,Pescaria Brava,0
2008,Alagamentos,Pescaria Brava,0
2008,Chuvas Intensas,Pescaria Brava,0
2008,Enxurradas,Pescaria Brava,0
2008,Inundações,Pescaria Brava,0
2008,Movimento de Massa,Pescaria Brava,0
2009,Alagamentos,Pescaria Brava,0
2009,Chuvas Intensas,Pescaria Brava,0
2009,Enxurradas,Pescaria Brava,0
2009,Inundações,Pescaria Brava,0
2009,Movimento de Massa,Pescaria Brava,0
2010,Alagamentos,Pescaria Brava,0
2010,Chuvas Intensas,Pescaria Brava,0
2010,Enxurradas,Pescaria Brava,0
2010,Inundações,Pescaria Brava,0
2010,Movimento de Massa,Pescaria Brava,0
2011,Alagamentos,Pescaria Brava,0
2011,Chuvas Intensas,Pescaria Brava,0
2011,Enxurradas,Pescaria Brava,0
2011,Inundações,Pescaria Brava,0
2011,Movimento de Massa,Pescaria Brava,0
2012,Alagamentos,Pescaria Brava,0
2012,Chuvas Intensas,Pescaria Brava,0
2012,Enxurradas,Pescaria Brava,0
2012,Inundações,Pescaria Brava,0
2012,Movimento de Massa,Pescaria Brava,0
2013,Alagamentos,Pescaria Brava,0
2013,Chuvas Intensas,Pescaria Brava,0
2013,Enxurradas,Pescaria Brava,1
2013,Inundações,Pescaria Brava,0
2013,Movimento de Massa,Pescaria Brava,0
2014,Alagamentos,Pescaria Brava,0
2014,Chuvas Intensas,Pescaria Brava,0
2014,Enxurradas,Pescaria Brava,0
2014,Inundações,Pescaria Brava,0
2014,Movimento de Massa,Pescaria Brava,0
2015,Alagamentos,Pescaria Brava,0
2015,Chuvas Intensas,Pescaria Brava,0
2015,Enxurradas,Pescaria Brava,1
2015,Inundações,Pescaria Brava,0
2015,Movimento de Massa,Pescaria Brava,0
2016,Alagamentos,Pescaria Brava,0
2016,Chuvas Intensas,Pescaria Brava,0
