ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Porto Belo,0
1991,Chuvas Intensas,Porto Belo,0
1991,Enxurradas,Porto Belo,0
1991,Inundações,Porto Belo,0
1991,Movimento de Massa,Porto Belo,0
1992,Alagamentos,Porto Belo,0
1992,Chuvas Intensas,Porto Belo,0
1992,Enxurradas,Porto Belo,0
1992,Inundações,Porto Belo,0
1992,Movimento de Massa,Porto Belo,0
1993,Alagamentos,Porto Belo,0
1993,Chuvas Intensas,Porto Belo,0
1993,Enxurradas,Porto Belo,0
1993,Inundações,Porto Belo,0
1993,Movimento de Massa,Porto Belo,0
1994,Alagamentos,Porto Belo,0
1994,Chuvas Intensas,Porto Belo,0
1994,Enxurradas,Porto Belo,0
1994,Inundações,Porto Belo,0
1994,Movimento de Massa,Porto Belo,0
1995,Alagamentos,Porto Belo,0
1995,Chuvas Intensas,Porto Belo,0
1995,Enxurradas,Porto Belo,0
1995,Inundações,Porto Belo,0
1995,Movimento de Massa,Porto Belo,0
1996,Alagamentos,Porto Belo,0
1996,Chuvas Intensas,Porto Belo,0
1996,Enxurradas,Porto Belo,0
1996,Inundações,Porto Belo,0
1996,Movimento de Massa,Porto Belo,0
1997,Alagamentos,Porto Belo,0
1997,Chuvas Intensas,Porto Belo,0
1997,Enxurradas,Porto Belo,0
1997,Inundações,Porto Belo,0
1997,Movimento de Massa,Porto Belo,0
1998,Alagamentos,Porto Belo,0
1998,Chuvas Intensas,Porto Belo,0
1998,Enxurradas,Porto Belo,0
1998,Inundações,Porto Belo,0
1998,Movimento de Massa,Porto Belo,0
1999,Alagamentos,Porto Belo,0
1999,Chuvas Intensas,Porto Belo,0
1999,Enxurradas,Porto Belo,0
1999,Inundações,Porto Belo,0
1999,Movimento de Massa,Porto Belo,0
2000,Alagamentos,Porto Belo,0
2000,Chuvas Intensas,Porto Belo,0
2000,Enxurradas,Porto Belo,1
2000,Inundações,Porto Belo,0
2000,Movimento de Massa,Porto Belo,0
2001,Alagamentos,Porto Belo,0
2001,Chuvas Intensas,Porto Belo,0
2001,Enxurradas,Porto Belo,0
2001,Inundações,Porto Belo,0
2001,Movimento de Massa,Porto Belo,0
2002,Alagamentos,Porto Belo,0
2002,Chuvas Intensas,Porto Belo,0
2002,Enxurradas,Porto Belo,0
2002,Inundações,Porto Belo,0
2002,Movimento de Massa,Porto Belo,0
2003,Alagamentos,Porto Belo,0
2003,Chuvas Intensas,Porto Belo,0
2003,Enxurradas,Porto Belo,0
2003,Inundações,Porto Belo,0
2003,Movimento de Massa,Porto Belo,0
2004,Alagamentos,Porto Belo,0
2004,Chuvas Intensas,Porto Belo,0
2004,Enxurradas,Porto Belo,2
2004,Inundações,Porto Belo,0
2004,Movimento de Massa,Porto Belo,0
2005,Alagamentos,Porto Belo,0
2005,Chuvas Intensas,Porto Belo,0
2005,Enxurradas,Porto Belo,0
2005,Inundações,Porto Belo,0
2005,Movimento de Massa,Porto Belo,0
2006,Alagamentos,Porto Belo,0
2006,Chuvas Intensas,Porto Belo,0
2006,Enxurradas,Porto Belo,0
2006,Inundações,Porto Belo,0
2006,Movimento de Massa,Porto Belo,0
2007,Alagamentos,Porto Belo,0
2007,Chuvas Intensas,Porto Belo,0
2007,Enxurradas,Porto Belo,0
2007,Inundações,Porto Belo,0
2007,Movimento de Massa,Porto Belo,0
2008,Alagamentos,Porto Belo,0
2008,Chuvas Intensas,Porto Belo,0
2008,Enxurradas,Porto Belo,1
2008,Inundações,Porto Belo,0
2008,Movimento de Massa,Porto Belo,0
2009,Alagamentos,Porto Belo,0
2009,Chuvas Intensas,Porto Belo,0
2009,Enxurradas,Porto Belo,0
2009,Inundações,Porto Belo,0
2009,Movimento de Massa,Porto Belo,0
2010,Alagamentos,Porto Belo,0
2010,Chuvas Intensas,Porto Belo,0
2010,Enxurradas,Porto Belo,0
