ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Santa Rosa do Sul,0
1991,Chuvas Intensas,Santa Rosa do Sul,0
1991,Enxurradas,Santa Rosa do Sul,0
1991,Inundações,Santa Rosa do Sul,0
1991,Movimento de Massa,Santa Rosa do Sul,0
1992,Alagamentos,Santa Rosa do Sul,0
1992,Chuvas Intensas,Santa Rosa do Sul,0
1992,Enxurradas,Santa Rosa do Sul,0
1992,Inundações,Santa Rosa do Sul,0
1992,Movimento de Massa,Santa Rosa do Sul,0
1993,Alagamentos,Santa Rosa do Sul,0
1993,Chuvas Intensas,Santa Rosa do Sul,0
1993,Enxurradas,Santa Rosa do Sul,0
1993,Inundações,Santa Rosa do Sul,0
1993,Movimento de Massa,Santa Rosa do Sul,0
1994,Alagamentos,Santa Rosa do Sul,0
1994,Chuvas Intensas,Santa Rosa do Sul,0
1994,Enxurradas,Santa Rosa do Sul,0
1994,Inundações,Santa Rosa do Sul,0
1994,Movimento de Massa,Santa Rosa do Sul,0
1995,Alagamentos,Santa Rosa do Sul,0
1995,Chuvas Intensas,Santa Rosa do Sul,0
1995,Enxurradas,Santa Rosa do Sul,0
1995,Inundações,Santa Rosa do Sul,0
1995,Movimento de Massa,Santa Rosa do Sul,0
1996,Alagamentos,Santa Rosa do Sul,0
1996,Chuvas Intensas,Santa Rosa do Sul,0
1996,Enxurradas,Santa Rosa do Sul,0
1996,Inundações,Santa Rosa do Sul,0
1996,Movimento de Massa,Santa Rosa do Sul,0
1997,Alagamentos,Santa Rosa do Sul,0
1997,Chuvas Intensas,Santa Rosa do Sul,0
1997,Enxurradas,Santa Rosa do Sul,0
1997,Inundações,Santa Rosa do Sul,0
1997,Movimento de Massa,Santa Rosa do Sul,0
1998,Alagamentos,Santa Rosa do Sul,0
1998,Chuvas Intensas,Santa Rosa do Sul,0
1998,Enxurradas,Santa Rosa do Sul,0
1998,Inundações,Santa Rosa do Sul,0
1998,Movimento de Massa,Santa Rosa do Sul,0
1999,Alagamentos,Santa Rosa do Sul,0
1999,Chuvas Intensas,Santa Rosa do Sul,0
1999,Enxurradas,Santa Rosa do Sul,0
1999,Inundações,Santa Rosa do Sul,0
1999,Movimento de Massa,Santa Rosa do Sul,0
2000,Alagamentos,Santa Rosa do Sul,0
2000,Chuvas Intensas,Santa Rosa do Sul,0
2000,Enxurradas,Santa Rosa do Sul,0
2000,Inundações,Santa Rosa do Sul,0
2000,Movimento de Massa,Santa Rosa do Sul,0
2001,Alagamentos,Santa Rosa do Sul,0
2001,Chuvas Intensas,Santa Rosa do Sul,0
2001,Enxurradas,Santa Rosa do Sul,1
2001,Inundações,Santa Rosa do Sul,1
2001,Movimento de Massa,Santa Rosa do Sul,0
2002,Alagamentos,Santa Rosa do Sul,0
2002,Chuvas Intensas,Santa Rosa do Sul,0
2002,Enxurradas,Santa Rosa do Sul,1
2002,Inundações,Santa Rosa do Sul,0
2002,Movimento de Massa,Santa Rosa do Sul,0
2003,Alagamentos,Santa Rosa do Sul,0
2003,Chuvas Intensas,Santa Rosa do Sul,0
2003,Enxurradas,Santa Rosa do Sul,0
2003,Inundações,Santa Rosa do Sul,0
2003,Movimento de Massa,Santa Rosa do Sul,0
2004,Alagamentos,Santa Rosa do Sul,0
2004,Chuvas Intensas,Santa Rosa do Sul,0
2004,Enxurradas,Santa Rosa do Sul,0
2004,Inundações,Santa Rosa do Sul,1
2004,Movimento de Massa,Santa Rosa do Sul,0
2005,Alagamentos,Santa Rosa do Sul,0
2005,Chuvas Intensas,Santa Rosa do Sul,0
2005,Enxurradas,Santa Rosa do Sul,0
2005,Inundações,Santa Rosa do Sul,0
