ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,São José,0
1991,Chuvas Intensas,São José,0
1991,Enxurradas,São José,1
1991,Inundações,São José,0
1991,Movimento de Massa,São José,0
1992,Alagamentos,São José,0
1992,Chuvas Intensas,São José,0
1992,Enxurradas,São José,0
1992,Inundações,São José,0
1992,Movimento de Massa,São José,0
1993,Alagamentos,São José,0
1993,Chuvas Intensas,São José,0
1993,Enxurradas,São José,0
1993,Inundações,São José,0
1993,Movimento de Massa,São José,0
1994,Alagamentos,São José,0
1994,Chuvas Intensas,São José,0
1994,Enxurradas,São José,0
1994,Inundações,São José,0
1994,Movimento de Massa,São José,0
1995,Alagamentos,São José,0
1995,Chuvas Intensas,São José,0
1995,Enxurradas,São José,0
1995,Inundações,São José,0
1995,Movimento de Massa,São José,0
1996,Alagamentos,São José,0
1996,Chuvas Intensas,São José,0
1996,Enxurradas,São José,0
1996,Inundações,São José,0
1996,Movimento de Massa,São José,0
1997,Alagamentos,São José,0
1997,Chuvas Intensas,São José,0
1997,Enxurradas,São José,1
1997,Inundações,São José,0
1997,Movimento de Massa,São José,0
1998,Alagamentos,São José,0
1998,Chuvas Intensas,São José,0
1998,Enxurradas,São José,0
1998,Inundações,São José,0
1998,Movimento de Massa,São José,0
1999,Alagamentos,São José,0
1999,Chuvas Intensas,São José,0
1999,Enxurradas,São José,0
1999,Inundações,São José,0
1999,Movimento de Massa,São José,0
2000,Alagamentos,São José,0
2000,Chuvas Intensas,São José,0
2000,Enxurradas,São José,1
2000,Inundações,São José,0
2000,Movimento de Massa,São José,0
2001,Alagamentos,São José,0
2001,Chuvas Intensas,São José,0
2001,Enxurradas,São José,2
2001,Inundações,São José,0
2001,Movimento de Massa,São José,0
2002,Alagamentos,São José,0
2002,Chuvas Intensas,São José,0
2002,Enxurradas,São José,0
2002,Inundações,São José,0
2002,Movimento de Massa,São José,0
2003,Alagamentos,São José,0
2003,Chuvas Intensas,São José,0
2003,Enxurradas,São José,0
2003,Inundações,São José,0
2003,Movimento de Massa,São José,0
2004,Alagamentos,São José,0
2004,Chuvas Intensas,São José,0
2004,Enxurradas,São José,1
2004,Inundações,São José,0
2004,Movimento de Massa,São José,0
2005,Alagamentos,São José,0
2005,Chuvas Intensas,São José,0
2005,Enxurradas,São José,0
2005,Inundações,São José,0
2005,Movimento de Massa,São José,0
2006,Alagamentos,São José,0
2006,Chuvas Intensas,São José,0
2006,Enxurradas,São José,0
2006,Inundações,São José,0
2006,Movimento de Massa,São José,0
2007,Alagamentos,São José,0
2007,Chuvas Intensas,São José,0
2007,Enxurradas,São José,0
2007,Inundações,São José,0
2007,Movimento de Massa,São José,0
2008,Alagamentos,São José,0
2008,Chuvas Intensas,São José,0
2008,Enxurradas,São José,2
2008,Inundações,São José,0
2008,Movimento de Massa,São José,0
2009,Alagamentos,São José,0
2009,Chuvas Intensas,São José,0
2009,Enxurradas,São José,0
2009,Inundações,São José,0
2009,Movimento de Massa,São José,0
2010,Alagamentos,São José,0
2010,Chuvas Intensas,São José,0
2010,Enxurradas,São José,2
2010,Inundações,São José,0
2010,Movimento de Massa,São José,0
2011,Alagamentos,São José,0
2011,Chuvas Intensas,São José,0
2011,Enxurradas,São José,2
2011,Inundações,São José,2
2011,Movimento de Massa,São José,0
2012,Alagamentos,São José,0
2012,Chuvas Intensas,São José,0
2012,Enxurradas,São José,0
2012,Inundações,São José,0
2012,Movimento de Massa,São José,0
2013,Alagamentos,São José,0
2013,Chuvas Intensas,São José,0
2013,Enxurradas,São José,0
2013,Inundações,São José,0
2013,Movimento de Massa,São José,0
2014,Alagamentos,São José,0
2014,Chuvas Intensas,São José,0
2014,Enxurradas,São José,0
2014,Inundações,São José,0
2014,Movimento de Massa,São José,0
2015,Alagamentos,São José,0
2015,Chuvas Intensas,São José,0
2015,Enxurradas,São José,0
2015,Inundações,São José,0
2015,Movimento de Massa,São José,0
2016,Alagamentos,São José,0
2016,Chuvas Intensas,São José,1
2016,Enxurradas,São José,0
2016,Inundações,São José,0
2016,Movimento de Massa,São José,0
2017,Alagamentos,São José,0
2017,Chuvas Intensas,São José,0
2017,Enxurradas,São José,0
2017,Inundações,São José,0
2017,Movimento de Massa,São José,0
2018,Alagamentos,São José,0
2018,Chuvas Intensas,São José,0
2018,Enxurradas,São José,0
2018,Inundações,São José,0
2018,Movimento de Massa,São José,0
2019,Alagamentos,São José,0
2019,Chuvas Intensas,São José,0
2019,Enxurradas,São José,1
2019,Inundações,São José,0
2019,Movimento de Massa,São José,0
2020,Alagamentos,São José,0
2020,Chuvas Intensas,São José,0
2020,Enxurradas,São José,0
2020,Inundações,São José,0
2020,Movimento de Massa,São José,0
2021,Alagamentos,São José,0
2021,Chuvas Intensas,São José,0
2021,Enxurradas,São José,0
2021,Inundações,São José,0
2021,Movimento de Massa,São José,0
2022,Alagamentos,São José,0
2022,Chuvas Intensas,São José,1
2022,Enxurradas,São José,0
2022,Inundações,São José,0
2022,Movimento de Massa,São José,0
2023,Alagamentos,São José,0
2023,Chuvas Intensas,São José,0
2023,Enxurradas,São José,0
2023,Inundações,São José,0
2023,Movimento de Massa,São José,0
2024,Alagamentos,São José,0
2024,Chuvas Intensas,São José,0
2024,Enxurradas,São José,0
2024,Inundações,São José,0
2024,Movimento de Massa,São José,0
