ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Sombrio,0
1991,Chuvas Intensas,Sombrio,0
1991,Enxurradas,Sombrio,0
1991,Inundações,Sombrio,0
1991,Movimento de Massa,Sombrio,0
1992,Alagamentos,Sombrio,0
1992,Chuvas Intensas,Sombrio,0
1992,Enxurradas,Sombrio,0
1992,Inundações,Sombrio,0
1992,Movimento de Massa,Sombrio,0
1993,Alagamentos,Sombrio,0
1993,Chuvas Intensas,Sombrio,0
1993,Enxurradas,Sombrio,0
1993,Inundações,Sombrio,0
1993,Movimento de Massa,Sombrio,0
1994,Alagamentos,Sombrio,0
1994,Chuvas Intensas,Sombrio,0
1994,Enxurradas,Sombrio,0
1994,Inundações,Sombrio,0
1994,Movimento de Massa,Sombrio,0
1995,Alagamentos,Sombrio,0
1995,Chuvas Intensas,Sombrio,0
1995,Enxurradas,Sombrio,0
1995,Inundações,Sombrio,1
1995,Movimento de Massa,Sombrio,0
1996,Alagamentos,Sombrio,0
1996,Chuvas Intensas,Sombrio,0
1996,Enxurradas,Sombrio,0
1996,Inundações,Sombrio,0
1996,Movimento de Massa,Sombrio,0
1997,Alagamentos,Sombrio,0
1997,Chuvas Intensas,Sombrio,0
1997,Enxurradas,Sombrio,0
1997,Inundações,Sombrio,0
1997,Movimento de Massa,Sombrio,0
1998,Alagamentos,Sombrio,0
1998,Chuvas Intensas,Sombrio,0
1998,Enxurradas,Sombrio,0
1998,Inundações,Sombrio,0
1998,Movimento de Massa,Sombrio,0
1999,Alagamentos,Sombrio,0
1999,Chuvas Intensas,Sombrio,0
1999,Enxurradas,Sombrio,0
1999,Inundações,Sombrio,0
1999,Movimento de Massa,Sombrio,0
2000,Alagamentos,Sombrio,0
2000,Chuvas Intensas,Sombrio,0
2000,Enxurradas,Sombrio,0
2000,Inundações,Sombrio,0
2000,Movimento de Massa,Sombrio,0
2001,Alagamentos,Sombrio,0
2001,Chuvas Intensas,Sombrio,0
2001,Enxurradas,Sombrio,0
2001,Inundações,Sombrio,1
2001,Movimento de Massa,Sombrio,0
2002,Alagamentos,Sombrio,0
2002,Chuvas Intensas,Sombrio,0
2002,Enxurradas,Sombrio,0
2002,Inundações,Sombrio,0
2002,Movimento de Massa,Sombrio,0
2003,Alagamentos,Sombrio,0
2003,Chuvas Intensas,Sombrio,0
2003,Enxurradas,Sombrio,1
2003,Inundações,Sombrio,0
2003,Movimento de Massa,Sombrio,0
2004,Alagamentos,Sombrio,0
2004,Chuvas Intensas,Sombrio,0
2004,Enxurradas,Sombrio,0
2004,Inundações,Sombrio,1
2004,Movimento de Massa,Sombrio,0
2005,Alagamentos,Sombrio,0
2005,Chuvas Intensas,Sombrio,0
2005,Enxurradas,Sombrio,0
2005,Inundações,Sombrio,0
2005,Movimento de Massa,Sombrio,0
2006,Alagamentos,Sombrio,0
2006,Chuvas Intensas,Sombrio,0
2006,Enxurradas,Sombrio,0
2006,Inundações,Sombrio,0
2006,Movimento de Massa,Sombrio,0
2007,Alagamentos,Sombrio,0
2007,Chuvas Intensas,Sombrio,0
2007,Enxurradas,Sombrio,0
2007,Inundações,Sombrio,0
2007,Movimento de Massa,Sombrio,0
2008,Alagamentos,Sombrio,0
2008,Chuvas Intensas,Sombrio,0
2008,Enxurradas,Sombrio,0
2008,Inundações,Sombrio,0
2008,Movimento de Massa,Sombrio,0
2009,Alagamentos,Sombrio,0
2009,Chuvas Intensas,Sombrio,0
2009,Enxurradas,Sombrio,1
2009,Inundações,Sombrio,0
2009,Movimento de Massa,Sombrio,0
2010,Alagamentos,Sombrio,0
2010,Chuvas Intensas,Sombrio,0
2010,Enxurradas,Sombrio,0
2010,Inundações,Sombrio,0
2010,Movimento de Massa,Sombrio,0
2011,Alagamentos,Sombrio,0
2011,Chuvas Intensas,Sombrio,0
2011,Enxurradas,Sombrio,0
2011,Inundações,Sombrio,0
2011,Movimento de Massa,Sombrio,0
2012,Alagamentos,Sombrio,0
2012,Chuvas Intensas,Sombrio,0
2012,Enxurradas,Sombrio,0
2012,Inundações,Sombrio,0
2012,Movimento de Massa,Sombrio,0
2013,Alagamentos,Sombrio,0
2013,Chuvas Intensas,Sombrio,0
2013,Enxurradas,Sombrio,0
2013,Inundações,Sombrio,1
2013,Movimento de Massa,Sombrio,0
2014,Alagamentos,Sombrio,1
2014,Chuvas Intensas,Sombrio,0
2014,Enxurradas,Sombrio,0
2014,Inundações,Sombrio,0
