ano,categoria_evento,nome_municipio,n_eventos
1991,Alagamentos,Tijucas,0
1991,Chuvas Intensas,Tijucas,0
1991,Enxurradas,Tijucas,0
1991,Inundações,Tijucas,0
1991,Movimento de Massa,Tijucas,0
1992,Alagamentos,Tijucas,0
1992,Chuvas Intensas,Tijucas,0
1992,Enxurradas,Tijucas,0
1992,Inundações,Tijucas,0
1992,Movimento de Massa,Tijucas,0
1993,Alagamentos,Tijucas,0
1993,Chuvas Intensas,Tijucas,0
1993,Enxurradas,Tijucas,0
1993,Inundações,Tijucas,0
1993,Movimento de Massa,Tijucas,0
1994,Alagamentos,Tijucas,0
1994,Chuvas Intensas,Tijucas,0
1994,Enxurradas,Tijucas,0
1994,Inundações,Tijucas,0
1994,Movimento de Massa,Tijucas,0
1995,Alagamentos,Tijucas,0
1995,Chuvas Intensas,Tijucas,0
1995,Enxurradas,Tijucas,0
1995,Inundações,Tijucas,0
1995,Movimento de Massa,Tijucas,0
1996,Alagamentos,Tijucas,0
1996,Chuvas Intensas,Tijucas,0
1996,Enxurradas,Tijucas,0
1996,Inundações,Tijucas,0
1996,Movimento de Massa,Tijucas,0
1997,Alagamentos,Tijucas,0
1997,Chuvas Intensas,Tijucas,0
1997,Enxurradas,Tijucas,0
1997,Inundações,Tijucas,0
1997,Movimento de Massa,Tijucas,0
1998,Alagamentos,Tijucas,0
1998,Chuvas Intensas,Tijucas,0
1998,Enxurradas,Tijucas,0
1998,Inundações,Tijucas,0
1998,Movimento de Massa,Tijucas,0
1999,Alagamentos,Tijucas,0
1999,Chuvas Intensas,Tijucas,0
1999,Enxurradas,Tijucas,0
1999,Inundações,Tijucas,0
1999,Movimento de Massa,Tijucas,0
2000,Alagamentos,Tijucas,0
2000,Chuvas Intensas,Tijucas,0
2000,Enxurradas,Tijucas,0
2000,Inundações,Tijucas,0
2000,Movimento de Massa,Tijucas,0
2001,Alagamentos,Tijucas,0
2001,Chuvas Intensas,Tijucas,0
2001,Enxurradas,Tijucas,0
2001,Inundações,Tijucas,1
2001,Movimento de Massa,Tijucas,0
2002,Alagamentos,Tijucas,0
2002,Chuvas Intensas,Tijucas,0
2002,Enxurradas,Tijucas,0
2002,Inundações,Tijucas,0
2002,Movimento de Massa,Tijucas,0
2003,Alagamentos,Tijucas,0
2003,Chuvas Intensas,Tijucas,0
2003,Enxurradas,Tijucas,0
2003,Inundações,Tijucas,0
2003,Movimento de Massa,Tijucas,0
2004,Alagamentos,Tijucas,0
2004,Chuvas Intensas,Tijucas,0
2004,Enxurradas,Tijucas,0
2004,Inundações,Tijucas,0
2004,Movimento de Massa,Tijucas,0
2005,Alagamentos,Tijucas,0
2005,Chuvas Intensas,Tijucas,0
2005,Enxurradas,Tijucas,0
2005,Inundações,Tijucas,0
2005,Movimento de Massa,Tijucas,0
2006,Alagamentos,Tijucas,0
2006,Chuvas Intensas,Tijucas,0
2006,Enxurradas,Tijucas,0
2006,Inundações,Tijucas,0
2006,Movimento de Massa,Tijucas,0
2007,Alagamentos,Tijucas,0
2007,Chuvas Intensas,Tijucas,0
2007,Enxurradas,Tijucas,0
2007,Inundações,Tijucas,0
2007,Movimento de Massa,Tijucas,0
2008,Alagamentos,Tijucas,0
2008,Chuvas Intensas,Tijucas,0
