ano,mes_nome,nome_municipio,n_eventos
1991,Abr,Florianópolis,0
1991,Ago,Florianópolis,0
1991,Dez,Florianópolis,0
1991,Fev,Florianópolis,0
1991,Jan,Florianópolis,0
1991,Jul,Florianópolis,0
1991,Jun,Florianópolis,0
1991,Mai,Florianópolis,0
1991,Mar,Florianópolis,0
1991,Nov,Florianópolis,1
1991,Out,Florianópolis,0
1991,Set,Florianópolis,0
1992,Abr,Florianópolis,0
1992,Ago,Florianópolis,0
1992,Dez,Florianópolis,0
1992,Fev,Florianópolis,0
1992,Jan,Florianópolis,0
1992,Jul,Florianópolis,0
1992,Jun,Florianópolis,0
1992,Mai,Florianópolis,0
1992,Mar,Florianópolis,0
1992,Nov,Florianópolis,0
1992,Out,Florianópolis,0
1992,Set,Florianópolis,0
1993,Abr,Florianópolis,0
1993,Ago,Florianópolis,0
1993,Dez,Florianópolis,0
1993,Fev,Florianópolis,0
1993,Jan,Florianópolis,0
1993,Jul,Florianópolis,0
1993,Jun,Florianópolis,0
1993,Mai,Florianópolis,0
1993,Mar,Florianópolis,0
1993,Nov,Florianópolis,0
1993,Out,Florianópolis,0
1993,Set,Florianópolis,0
1994,Abr,Florianópolis,0
1994,Ago,Florianópolis,0
1994,Dez,Florianópolis,0
1994,Fev,Florianópolis,0
1994,Jan,Florianópolis,0
1994,Jul,Florianópolis,0
1994,Jun,Florianópolis,0
1994,Mai,Florianópolis,0
1994,Mar,Florianópolis,0
1994,Nov,Florianópolis,0
1994,Out,Florianópolis,0
1994,Set,Florianópolis,0
1995,Abr,Florianópolis,0
1995,Ago,Florianópolis,0
1995,Dez,Florianópolis,1
1995,Fev,Florianópolis,0
1995,Jan,Florianópolis,1
1995,Jul,Florianópolis,0
1995,Jun,Florianópolis,0
1995,Mai,Florianópolis,0
1995,Mar,Florianópolis,0
1995,Nov,Florianópolis,0
1995,Out,Florianópolis,0
1995,Set,Florianópolis,0
1996,Abr,Florianópolis,0
1996,Ago,Florianópolis,0
1996,Dez,Florianópolis,0
1996,Fev,Florianópolis,0
1996,Jan,Florianópolis,0
1996,Jul,Florianópolis,0
1996,Jun,Florianópolis,0
1996,Mai,Florianópolis,0
1996,Mar,Florianópolis,0
1996,Nov,Florianópolis,0
1996,Out,Florianópolis,0
1996,Set,Florianópolis,0
1997,Abr,Florianópolis,0
1997,Ago,Florianópolis,0
1997,Dez,Florianópolis,0
1997,Fev,Florianópolis,0
1997,Jan,Florianópolis,1
1997,Jul,Florianópolis,0
1997,Jun,Florianópolis,0
1997,Mai,Florianópolis,0
1997,Mar,Florianópolis,0
1997,Nov,Florianópolis,0
1997,Out,Florianópolis,0
1997,Set,Florianópolis,0
1998,Abr,Florianópolis,0
1998,Ago,Florianópolis,0
1998,Dez,Florianópolis,0
1998,Fev,Florianópolis,0
1998,Jan,Florianópolis,0
1998,Jul,Florianópolis,0
1998,Jun,Florianópolis,0
1998,Mai,Florianópolis,0
1998,Mar,Florianópolis,0
1998,Nov,Florianópolis,0
1998,Out,Florianópolis,0
1998,Set,Florianópolis,0
1999,Abr,Florianópolis,0
1999,Ago,Florianópolis,0
1999,Dez,Florianópolis,0
1999,Fev,Florianópolis,0
1999,Jan,Florianópolis,0
1999,Jul,Florianópolis,0
1999,Jun,Florianópolis,0
1999,Mai,Florianópolis,0
1999,Mar,Florianópolis,0
1999,Nov,Florianópolis,0
1999,Out,Florianópolis,0
1999,Set,Florianópolis,0
2000,Abr,Florianópolis,0
2000,Ago,Florianópolis,0
2000,Dez,Florianópolis,0
2000,Fev,Florianópolis,1
2000,Jan,Florianópolis,0
2000,Jul,Florianópolis,0
2000,Jun,Florianópolis,0
2000,Mai,Florianópolis,0
2000,Mar,Florianópolis,0
2000,Nov,Florianópolis,0
2000,Out,Florianópolis,0
2000,Set,Florianópolis,0
2001,Abr,Florianópolis,0
2001,Ago,Florianópolis,0
2001,Dez,Florianópolis,0
2001,Fev,Florianópolis,1
2001,Jan,Florianópolis,0
2001,Jul,Florianópolis,0
2001,Jun,Florianópolis,0
2001,Mai,Florianópolis,0
2001,Mar,Florianópolis,0
2001,Nov,Florianópolis,0
2001,Out,Florianópolis,0
2001,Set,Florianópolis,0
2002,Abr,Florianópolis,0
2002,Ago,Florianópolis,0
2002,Dez,Florianópolis,0
2002,Fev,Florianópolis,0
2002,Jan,Florianópolis,0
2002,Jul,Florianópolis,0
2002,Jun,Florianópolis,0
2002,Mai,Florianópolis,0
2002,Mar,Florianópolis,0
2002,Nov,Florianópolis,0
2002,Out,Florianópolis,0
2002,Set,Florianópolis,0
2003,Abr,Florianópolis,0
2003,Ago,Florianópolis,0
2003,Dez,Florianópolis,0
2003,Fev,Florianópolis,0
2003,Jan,Florianópolis,0
2003,Jul,Florianópolis,0
2003,Jun,Florianópolis,0
2003,Mai,Florianópolis,0
2003,Mar,Florianópolis,0
2003,Nov,Florianópolis,0
2003,Out,Florianópolis,0
2003,Set,Florianópolis,0
2004,Abr,Florianópolis,0
2004,Ago,Florianópolis,0
2004,Dez,Florianópolis,0
2004,Fev,Florianópolis,0
2004,Jan,Florianópolis,0
2004,Jul,Florianópolis,0
2004,Jun,Florianópolis,0
2004,Mai,Florianópolis,0
2004,Mar,Florianópolis,0
2004,Nov,Florianópolis,0
2004,Out,Florianópolis,0
2004,Set,Florianópolis,0
2005,Abr,Florianópolis,0
2005,Ago,Florianópolis,0
2005,Dez,Florianópolis,0
2005,Fev,Florianópolis,0
2005,Jan,Florianópolis,0
2005,Jul,Florianópolis,0
2005,Jun,Florianópolis,0
2005,Mai,Florianópolis,0
2005,Mar,Florianópolis,0
2005,Nov,Florianópolis,0
2005,Out,Florianópolis,0
2005,Set,Florianópolis,0
2006,Abr,Florianópolis,0
2006,Ago,Florianópolis,0
2006,Dez,Florianópolis,0
2006,Fev,Florianópolis,0
2006,Jan,Florianópolis,0
2006,Jul,Florianópolis,0
2006,Jun,Florianópolis,0
2006,Mai,Florianópolis,0
2006,Mar,Florianópolis,0
2006,Nov,Florianópolis,0
2006,Out,Florianópolis,0
2006,Set,Florianópolis,0
2007,Abr,Florianópolis,0
2007,Ago,Florianópolis,0
2007,Dez,Florianópolis,0
2007,Fev,Florianópolis,0
2007,Jan,Florianópolis,0
2007,Jul,Florianópolis,0
2007,Jun,Florianópolis,0
2007,Mai,Florianópolis,0
2007,Mar,Florianópolis,0
2007,Nov,Florianópolis,0
2007,Out,Florianópolis,0
2007,Set,Florianópolis,0
2008,Abr,Florianópolis,0
2008,Ago,Florianópolis,0
2008,Dez,Florianópolis,0
2008,Fev,Florianópolis,0
2008,Jan,Florianópolis,1
2008,Jul,Florianópolis,0
2008,Jun,Florianópolis,0
2008,Mai,Florianópolis,0
2008,Mar,Florianópolis,0
2008,Nov,Florianópolis,1
2008,Out,Florianópolis,0
2008,Set,Florianópolis,0
2009,Abr,Florianópolis,0
2009,Ago,Florianópolis,0
2009,Dez,Florianópolis,0
2009,Fev,Florianópolis,0
2009,Jan,Florianópolis,0
2009,Jul,Florianópolis,0
2009,Jun,Florianópolis,0
2009,Mai,Florianópolis,0
2009,Mar,Florianópolis,0
2009,Nov,Florianópolis,0
2009,Out,Florianópolis,0
2009,Set,Florianópolis,0
2010,Abr,Florianópolis,0
2010,Ago,Florianópolis,0
2010,Dez,Florianópolis,0
2010,Fev,Florianópolis,0
2010,Jan,Florianópolis,0
2010,Jul,Florianópolis,0
2010,Jun,Florianópolis,0
2010,Mai,Florianópolis,1
2010,Mar,Florianópolis,1
2010,Nov,Florianópolis,0
2010,Out,Florianópolis,0
2010,Set,Florianópolis,0
2011,Abr,Florianópolis,0
2011,Ago,Florianópolis,0
2011,Dez,Florianópolis,1
2011,Fev,Florianópolis,1
2011,Jan,Florianópolis,1
2011,Jul,Florianópolis,0
2011,Jun,Florianópolis,0
2011,Mai,Florianópolis,0
2011,Mar,Florianópolis,1
2011,Nov,Florianópolis,0
2011,Out,Florianópolis,0
2011,Set,Florianópolis,2
2012,Abr,Florianópolis,0
2012,Ago,Florianópolis,0
2012,Dez,Florianópolis,0
2012,Fev,Florianópolis,0
2012,Jan,Florianópolis,0
2012,Jul,Florianópolis,0
2012,Jun,Florianópolis,0
2012,Mai,Florianópolis,0
2012,Mar,Florianópolis,0
2012,Nov,Florianópolis,0
2012,Out,Florianópolis,0
2012,Set,Florianópolis,0
2013,Abr,Florianópolis,0
2013,Ago,Florianópolis,0
2013,Dez,Florianópolis,0
2013,Fev,Florianópolis,0
2013,Jan,Florianópolis,0
2013,Jul,Florianópolis,0
2013,Jun,Florianópolis,0
2013,Mai,Florianópolis,0
2013,Mar,Florianópolis,0
2013,Nov,Florianópolis,0
2013,Out,Florianópolis,0
2013,Set,Florianópolis,0
2014,Abr,Florianópolis,0
2014,Ago,Florianópolis,0
2014,Dez,Florianópolis,0
2014,Fev,Florianópolis,0
2014,Jan,Florianópolis,0
2014,Jul,Florianópolis,0
2014,Jun,Florianópolis,0
2014,Mai,Florianópolis,0
2014,Mar,Florianópolis,0
2014,Nov,Florianópolis,0
2014,Out,Florianópolis,0
2014,Set,Florianópolis,0
2015,Abr,Florianópolis,0
2015,Ago,Florianópolis,0
2015,Dez,Florianópolis,0
