ano,mes_nome,nome_municipio,n_eventos
1991,Abr,Joinville,0
1991,Ago,Joinville,0
1991,Dez,Joinville,0
1991,Fev,Joinville,0
1991,Jan,Joinville,0
1991,Jul,Joinville,0
1991,Jun,Joinville,0
1991,Mai,Joinville,0
1991,Mar,Joinville,0
1991,Nov,Joinville,0
1991,Out,Joinville,0
1991,Set,Joinville,0
1992,Abr,Joinville,0
1992,Ago,Joinville,0
1992,Dez,Joinville,0
1992,Fev,Joinville,0
1992,Jan,Joinville,0
1992,Jul,Joinville,0
1992,Jun,Joinville,0
1992,Mai,Joinville,0
1992,Mar,Joinville,0
1992,Nov,Joinville,0
1992,Out,Joinville,0
1992,Set,Joinville,0
1993,Abr,Joinville,0
1993,Ago,Joinville,0
1993,Dez,Joinville,0
1993,Fev,Joinville,0
1993,Jan,Joinville,0
1993,Jul,Joinville,0
1993,Jun,Joinville,0
1993,Mai,Joinville,0
1993,Mar,Joinville,0
1993,Nov,Joinville,0
1993,Out,Joinville,0
1993,Set,Joinville,0
1994,Abr,Joinville,0
1994,Ago,Joinville,0
1994,Dez,Joinville,0
1994,Fev,Joinville,0
1994,Jan,Joinville,0
1994,Jul,Joinville,0
1994,Jun,Joinville,0
1994,Mai,Joinville,0
1994,Mar,Joinville,1
1994,Nov,Joinville,0
1994,Out,Joinville,0
1994,Set,Joinville,0
1995,Abr,Joinville,0
1995,Ago,Joinville,0
1995,Dez,Joinville,0
1995,Fev,Joinville,1
1995,Jan,Joinville,0
1995,Jul,Joinville,1
1995,Jun,Joinville,0
1995,Mai,Joinville,0
1995,Mar,Joinville,0
1995,Nov,Joinville,0
1995,Out,Joinville,0
1995,Set,Joinville,0
1996,Abr,Joinville,0
1996,Ago,Joinville,0
1996,Dez,Joinville,0
1996,Fev,Joinville,0
1996,Jan,Joinville,0
1996,Jul,Joinville,0
1996,Jun,Joinville,0
1996,Mai,Joinville,0
1996,Mar,Joinville,0
1996,Nov,Joinville,0
1996,Out,Joinville,0
1996,Set,Joinville,0
1997,Abr,Joinville,0
1997,Ago,Joinville,0
1997,Dez,Joinville,0
1997,Fev,Joinville,0
1997,Jan,Joinville,0
1997,Jul,Joinville,0
1997,Jun,Joinville,0
1997,Mai,Joinville,0
1997,Mar,Joinville,0
1997,Nov,Joinville,0
1997,Out,Joinville,0
1997,Set,Joinville,0
1998,Abr,Joinville,0
1998,Ago,Joinville,1
1998,Dez,Joinville,0
1998,Fev,Joinville,0
1998,Jan,Joinville,0
1998,Jul,Joinville,0
1998,Jun,Joinville,0
1998,Mai,Joinville,0
1998,Mar,Joinville,0
1998,Nov,Joinville,0
1998,Out,Joinville,0
1998,Set,Joinville,0
1999,Abr,Joinville,0
1999,Ago,Joinville,0
1999,Dez,Joinville,0
1999,Fev,Joinville,0
1999,Jan,Joinville,1
1999,Jul,Joinville,0
1999,Jun,Joinville,0
1999,Mai,Joinville,0
1999,Mar,Joinville,0
1999,Nov,Joinville,0
1999,Out,Joinville,0
1999,Set,Joinville,0
2000,Abr,Joinville,0
2000,Ago,Joinville,0
2000,Dez,Joinville,0
2000,Fev,Joinville,0
2000,Jan,Joinville,0
2000,Jul,Joinville,0
2000,Jun,Joinville,0
2000,Mai,Joinville,0
2000,Mar,Joinville,0
2000,Nov,Joinville,0
2000,Out,Joinville,0
2000,Set,Joinville,0
2001,Abr,Joinville,0
2001,Ago,Joinville,0
2001,Dez,Joinville,0
2001,Fev,Joinville,1
2001,Jan,Joinville,0
2001,Jul,Joinville,0
2001,Jun,Joinville,0
2001,Mai,Joinville,0
2001,Mar,Joinville,0
2001,Nov,Joinville,0
2001,Out,Joinville,0
2001,Set,Joinville,0
2002,Abr,Joinville,0
2002,Ago,Joinville,0
2002,Dez,Joinville,0
2002,Fev,Joinville,0
2002,Jan,Joinville,1
2002,Jul,Joinville,0
2002,Jun,Joinville,0
2002,Mai,Joinville,0
2002,Mar,Joinville,0
2002,Nov,Joinville,0
2002,Out,Joinville,0
2002,Set,Joinville,0
2003,Abr,Joinville,0
2003,Ago,Joinville,0
2003,Dez,Joinville,0
2003,Fev,Joinville,0
2003,Jan,Joinville,1
2003,Jul,Joinville,0
2003,Jun,Joinville,0
2003,Mai,Joinville,0
2003,Mar,Joinville,0
2003,Nov,Joinville,0
2003,Out,Joinville,0
2003,Set,Joinville,0
2004,Abr,Joinville,0
2004,Ago,Joinville,0
2004,Dez,Joinville,0
2004,Fev,Joinville,0
2004,Jan,Joinville,0
2004,Jul,Joinville,0
2004,Jun,Joinville,0
2004,Mai,Joinville,0
2004,Mar,Joinville,0
2004,Nov,Joinville,0
2004,Out,Joinville,0
2004,Set,Joinville,0
2005,Abr,Joinville,0
2005,Ago,Joinville,0
2005,Dez,Joinville,0
2005,Fev,Joinville,0
2005,Jan,Joinville,0
2005,Jul,Joinville,0
2005,Jun,Joinville,0
2005,Mai,Joinville,0
2005,Mar,Joinville,0
2005,Nov,Joinville,0
2005,Out,Joinville,0
2005,Set,Joinville,0
2006,Abr,Joinville,0
2006,Ago,Joinville,0
2006,Dez,Joinville,0
2006,Fev,Joinville,0
2006,Jan,Joinville,0
2006,Jul,Joinville,0
2006,Jun,Joinville,0
2006,Mai,Joinville,0
2006,Mar,Joinville,0
2006,Nov,Joinville,1
2006,Out,Joinville,0
2006,Set,Joinville,0
2007,Abr,Joinville,0
2007,Ago,Joinville,0
2007,Dez,Joinville,0
2007,Fev,Joinville,1
2007,Jan,Joinville,0
2007,Jul,Joinville,0
2007,Jun,Joinville,0
2007,Mai,Joinville,0
2007,Mar,Joinville,0
2007,Nov,Joinville,0
2007,Out,Joinville,0
2007,Set,Joinville,0
2008,Abr,Joinville,0
2008,Ago,Joinville,0
2008,Dez,Joinville,0
2008,Fev,Joinville,1
2008,Jan,Joinville,0
2008,Jul,Joinville,0
2008,Jun,Joinville,0
2008,Mai,Joinville,0
2008,Mar,Joinville,0
2008,Nov,Joinville,1
2008,Out,Joinville,0
2008,Set,Joinville,0
2009,Abr,Joinville,0
2009,Ago,Joinville,0
2009,Dez,Joinville,0
2009,Fev,Joinville,0
2009,Jan,Joinville,0
2009,Jul,Joinville,0
2009,Jun,Joinville,0
2009,Mai,Joinville,0
2009,Mar,Joinville,0
2009,Nov,Joinville,0
2009,Out,Joinville,0
2009,Set,Joinville,0
2010,Abr,Joinville,0
2010,Ago,Joinville,0
2010,Dez,Joinville,0
2010,Fev,Joinville,0
2010,Jan,Joinville,1
2010,Jul,Joinville,0
2010,Jun,Joinville,0
2010,Mai,Joinville,0
2010,Mar,Joinville,1
2010,Nov,Joinville,0
2010,Out,Joinville,0
2010,Set,Joinville,0
2011,Abr,Joinville,0
2011,Ago,Joinville,0
2011,Dez,Joinville,0
2011,Fev,Joinville,0
2011,Jan,Joinville,1
2011,Jul,Joinville,0
2011,Jun,Joinville,0
2011,Mai,Joinville,0
2011,Mar,Joinville,1
2011,Nov,Joinville,0
2011,Out,Joinville,0
2011,Set,Joinville,1
2012,Abr,Joinville,0
2012,Ago,Joinville,0
2012,Dez,Joinville,0
2012,Fev,Joinville,0
2012,Jan,Joinville,0
2012,Jul,Joinville,0
2012,Jun,Joinville,0
2012,Mai,Joinville,0
2012,Mar,Joinville,0
2012,Nov,Joinville,0
2012,Out,Joinville,0
2012,Set,Joinville,0
2013,Abr,Joinville,0
2013,Ago,Joinville,0
2013,Dez,Joinville,0
2013,Fev,Joinville,0
2013,Jan,Joinville,0
2013,Jul,Joinville,0
2013,Jun,Joinville,0
2013,Mai,Joinville,0
2013,Mar,Joinville,0
2013,Nov,Joinville,0
2013,Out,Joinville,0
2013,Set,Joinville,1
2014,Abr,Joinville,0
2014,Ago,Joinville,0
2014,Dez,Joinville,0
2014,Fev,Joinville,0
2014,Jan,Joinville,0
2014,Jul,Joinville,0
2014,Jun,Joinville,0
2014,Mai,Joinville,0
2014,Mar,Joinville,0
2014,Nov,Joinville,0
2014,Out,Joinville,0
2014,Set,Joinville,0
2015,Abr,Joinville,0
2015,Ago,Joinville,0
2015,Dez,Joinville,0
2015,Fev,Joinville,0
2015,Jan,Joinville,0
2015,Jul,Joinville,0
2015,Jun,Joinville,0
2015,Mai,Joinville,0
2015,Mar,Joinville,1
2015,Nov,Joinville,1
2015,Out,Joinville,0
2015,Set,Joinville,0
2016,Abr,Joinville,0
2016,Ago,Joinville,0
2016,Dez,Joinville,0
2016,Fev,Joinville,0
2016,Jan,Joinville,1
2016,Jul,Joinville,0
2016,Jun,Joinville,0
2016,Mai,Joinville,0
2016,Mar,Joinville,0
2016,Nov,Joinville,1
2016,Out,Joinville,0
2016,Set,Joinville,0
2017,Abr,Joinville,0
2017,Ago,Joinville,0
2017,Dez,Joinville,0
2017,Fev,Joinville,0
2017,Jan,Joinville,2
2017,Jul,Joinville,0
2017,Jun,Joinville,0
2017,Mai,Joinville,1
2017,Mar,Joinville,0
2017,Nov,Joinville,0
2017,Out,Joinville,0
2017,Set,Joinville,1
2018,Abr,Joinville,0
2018,Ago,Joinville,0
2018,Dez,Joinville,0
2018,Fev,Joinville,0
2018,Jan,Joinville,1
2018,Jul,Joinville,0
2018,Jun,Joinville,0
2018,Mai,Joinville,0
2018,Mar,Joinville,0
2018,Nov,Joinville,0
2018,Out,Joinville,0
2018,Set,Joinville,0
2019,Abr,Joinville,0
2019,Ago,Joinville,0
2019,Dez,Joinville,0
2019,Fev,Joinville,0
2019,Jan,Joinville,0
2019,Jul,Joinville,0
2019,Jun,Joinville,0
2019,Mai,Joinville,0
2019,Mar,Joinville,1
2019,Nov,Joinville,0
2019,Out,Joinville,0
2019,Set,Joinville,0
2020,Abr,Joinville,0
2020,Ago,Joinville,0
2020,Dez,Joinville,1
2020,Fev,Joinville,1
2020,Jan,Joinville,0
2020,Jul,Joinville,0
2020,Jun,Joinville,0
2020,Mai,Joinville,0
2020,Mar,Joinville,0
2020,Nov,Joinville,0
2020,Out,Joinville,0
2020,Set,Joinville,0
2021,Abr,Joinville,0
2021,Ago,Joinville,0
2021,Dez,Joinville,1
2021,Fev,Joinville,0
2021,Jan,Joinville,1
2021,Jul,Joinville,0
2021,Jun,Joinville,0
2021,Mai,Joinville,0
2021,Mar,Joinville,0
