ano,mes_nome,nome_municipio,n_eventos
1991,Abr,Laguna,0
1991,Ago,Laguna,0
1991,Dez,Laguna,0
1991,Fev,Laguna,0
1991,Jan,Laguna,0
1991,Jul,Laguna,0
1991,Jun,Laguna,0
1991,Mai,Laguna,0
1991,Mar,Laguna,0
1991,Nov,Laguna,0
1991,Out,Laguna,0
1991,Set,Laguna,0
1992,Abr,Laguna,0
1992,Ago,Laguna,0
1992,Dez,Laguna,0
1992,Fev,Laguna,0
1992,Jan,Laguna,0
1992,Jul,Laguna,0
1992,Jun,Laguna,0
1992,Mai,Laguna,0
1992,Mar,Laguna,0
1992,Nov,Laguna,0
1992,Out,Laguna,0
1992,Set,Laguna,0
1993,Abr,Laguna,0
1993,Ago,Laguna,0
1993,Dez,Laguna,0
1993,Fev,Laguna,0
1993,Jan,Laguna,0
1993,Jul,Laguna,0
1993,Jun,Laguna,0
1993,Mai,Laguna,0
1993,Mar,Laguna,0
1993,Nov,Laguna,0
1993,Out,Laguna,0
1993,Set,Laguna,0
1994,Abr,Laguna,0
1994,Ago,Laguna,0
1994,Dez,Laguna,0
1994,Fev,Laguna,0
1994,Jan,Laguna,0
1994,Jul,Laguna,0
1994,Jun,Laguna,0
1994,Mai,Laguna,0
1994,Mar,Laguna,0
1994,Nov,Laguna,0
1994,Out,Laguna,0
1994,Set,Laguna,0
1995,Abr,Laguna,0
1995,Ago,Laguna,0
1995,Dez,Laguna,0
1995,Fev,Laguna,0
1995,Jan,Laguna,0
1995,Jul,Laguna,0
1995,Jun,Laguna,0
1995,Mai,Laguna,0
1995,Mar,Laguna,0
1995,Nov,Laguna,0
1995,Out,Laguna,0
1995,Set,Laguna,0
1996,Abr,Laguna,0
1996,Ago,Laguna,0
1996,Dez,Laguna,0
1996,Fev,Laguna,0
1996,Jan,Laguna,0
1996,Jul,Laguna,0
1996,Jun,Laguna,0
1996,Mai,Laguna,0
1996,Mar,Laguna,1
1996,Nov,Laguna,0
1996,Out,Laguna,0
1996,Set,Laguna,0
1997,Abr,Laguna,0
1997,Ago,Laguna,0
1997,Dez,Laguna,0
1997,Fev,Laguna,0
1997,Jan,Laguna,0
1997,Jul,Laguna,0
1997,Jun,Laguna,0
1997,Mai,Laguna,0
1997,Mar,Laguna,0
1997,Nov,Laguna,0
1997,Out,Laguna,0
1997,Set,Laguna,0
1998,Abr,Laguna,0
1998,Ago,Laguna,0
1998,Dez,Laguna,0
1998,Fev,Laguna,0
1998,Jan,Laguna,0
1998,Jul,Laguna,0
1998,Jun,Laguna,0
1998,Mai,Laguna,0
1998,Mar,Laguna,0
1998,Nov,Laguna,0
1998,Out,Laguna,0
1998,Set,Laguna,0
1999,Abr,Laguna,0
1999,Ago,Laguna,0
1999,Dez,Laguna,0
1999,Fev,Laguna,0
1999,Jan,Laguna,0
1999,Jul,Laguna,0
