ano,mes_nome,nome_municipio,n_eventos
1991,Abr,Penha,0
1991,Ago,Penha,0
1991,Dez,Penha,0
1991,Fev,Penha,0
1991,Jan,Penha,0
1991,Jul,Penha,0
1991,Jun,Penha,0
1991,Mai,Penha,0
1991,Mar,Penha,0
1991,Nov,Penha,0
1991,Out,Penha,0
1991,Set,Penha,0
1992,Abr,Penha,0
1992,Ago,Penha,0
1992,Dez,Penha,0
1992,Fev,Penha,0
1992,Jan,Penha,0
1992,Jul,Penha,0
1992,Jun,Penha,0
1992,Mai,Penha,0
1992,Mar,Penha,0
1992,Nov,Penha,0
1992,Out,Penha,0
1992,Set,Penha,0
1993,Abr,Penha,0
1993,Ago,Penha,0
1993,Dez,Penha,0
1993,Fev,Penha,0
1993,Jan,Penha,0
1993,Jul,Penha,0
1993,Jun,Penha,0
1993,Mai,Penha,0
1993,Mar,Penha,0
1993,Nov,Penha,0
1993,Out,Penha,0
1993,Set,Penha,0
1994,Abr,Penha,0
1994,Ago,Penha,0
1994,Dez,Penha,0
1994,Fev,Penha,0
1994,Jan,Penha,0
1994,Jul,Penha,0
1994,Jun,Penha,0
1994,Mai,Penha,0
1994,Mar,Penha,0
1994,Nov,Penha,0
1994,Out,Penha,0
1994,Set,Penha,0
1995,Abr,Penha,0
1995,Ago,Penha,0
1995,Dez,Penha,0
1995,Fev,Penha,0
1995,Jan,Penha,0
1995,Jul,Penha,0
1995,Jun,Penha,0
1995,Mai,Penha,0
1995,Mar,Penha,0
1995,Nov,Penha,0
1995,Out,Penha,0
1995,Set,Penha,0
1996,Abr,Penha,0
1996,Ago,Penha,0
1996,Dez,Penha,0
1996,Fev,Penha,0
1996,Jan,Penha,0
1996,Jul,Penha,0
1996,Jun,Penha,0
1996,Mai,Penha,0
1996,Mar,Penha,0
1996,Nov,Penha,0
1996,Out,Penha,0
1996,Set,Penha,0
1997,Abr,Penha,0
1997,Ago,Penha,0
1997,Dez,Penha,0
1997,Fev,Penha,0
1997,Jan,Penha,0
1997,Jul,Penha,0
1997,Jun,Penha,0
1997,Mai,Penha,0
1997,Mar,Penha,0
1997,Nov,Penha,0
1997,Out,Penha,0
1997,Set,Penha,0
1998,Abr,Penha,0
1998,Ago,Penha,0
1998,Dez,Penha,0
1998,Fev,Penha,0
1998,Jan,Penha,0
1998,Jul,Penha,0
1998,Jun,Penha,0
1998,Mai,Penha,0
1998,Mar,Penha,0
1998,Nov,Penha,0
1998,Out,Penha,0
1998,Set,Penha,0
1999,Abr,Penha,0
1999,Ago,Penha,0
1999,Dez,Penha,0
1999,Fev,Penha,0
1999,Jan,Penha,0
1999,Jul,Penha,0
1999,Jun,Penha,0
1999,Mai,Penha,0
1999,Mar,Penha,0
1999,Nov,Penha,0
1999,Out,Penha,0
1999,Set,Penha,0
2000,Abr,Penha,0
2000,Ago,Penha,0
2000,Dez,Penha,0
2000,Fev,Penha,0
2000,Jan,Penha,0
2000,Jul,Penha,0
2000,Jun,Penha,0
2000,Mai,Penha,0
2000,Mar,Penha,0
2000,Nov,Penha,0
2000,Out,Penha,0
2000,Set,Penha,0
2001,Abr,Penha,0
2001,Ago,Penha,0
2001,Dez,Penha,0
2001,Fev,Penha,0
2001,Jan,Penha,0
2001,Jul,Penha,0
2001,Jun,Penha,0
2001,Mai,Penha,0
2001,Mar,Penha,0
2001,Nov,Penha,0
2001,Out,Penha,0
2001,Set,Penha,0
2002,Abr,Penha,0
2002,Ago,Penha,0
2002,Dez,Penha,0
2002,Fev,Penha,0
2002,Jan,Penha,0
2002,Jul,Penha,0
2002,Jun,Penha,0
2002,Mai,Penha,0
2002,Mar,Penha,0
2002,Nov,Penha,0
2002,Out,Penha,0
2002,Set,Penha,0
2003,Abr,Penha,0
2003,Ago,Penha,0
2003,Dez,Penha,0
2003,Fev,Penha,0
2003,Jan,Penha,0
2003,Jul,Penha,0
2003,Jun,Penha,0
2003,Mai,Penha,0
2003,Mar,Penha,0
2003,Nov,Penha,0
2003,Out,Penha,0
2003,Set,Penha,0
2004,Abr,Penha,0
2004,Ago,Penha,0
2004,Dez,Penha,0
2004,Fev,Penha,0
2004,Jan,Penha,0
2004,Jul,Penha,0
2004,Jun,Penha,0
2004,Mai,Penha,0
2004,Mar,Penha,0
2004,Nov,Penha,0
2004,Out,Penha,0
2004,Set,Penha,0
2005,Abr,Penha,0
2005,Ago,Penha,0
2005,Dez,Penha,0
2005,Fev,Penha,0
2005,Jan,Penha,0
2005,Jul,Penha,0
2005,Jun,Penha,0
2005,Mai,Penha,0
2005,Mar,Penha,0
2005,Nov,Penha,0
2005,Out,Penha,0
2005,Set,Penha,0
2006,Abr,Penha,0
2006,Ago,Penha,0
2006,Dez,Penha,0
2006,Fev,Penha,0
2006,Jan,Penha,0
2006,Jul,Penha,0
2006,Jun,Penha,0
2006,Mai,Penha,0
2006,Mar,Penha,0
2006,Nov,Penha,0
2006,Out,Penha,0
2006,Set,Penha,0
2007,Abr,Penha,0
2007,Ago,Penha,0
2007,Dez,Penha,0
2007,Fev,Penha,0
2007,Jan,Penha,0
2007,Jul,Penha,0
2007,Jun,Penha,0
2007,Mai,Penha,0
2007,Mar,Penha,0
2007,Nov,Penha,0
2007,Out,Penha,0
2007,Set,Penha,0
2008,Abr,Penha,0
2008,Ago,Penha,0
2008,Dez,Penha,0
2008,Fev,Penha,0
2008,Jan,Penha,1
2008,Jul,Penha,0
2008,Jun,Penha,0
2008,Mai,Penha,0
2008,Mar,Penha,0
2008,Nov,Penha,1
2008,Out,Penha,0
2008,Set,Penha,0
2009,Abr,Penha,0
2009,Ago,Penha,0
2009,Dez,Penha,0
2009,Fev,Penha,0
2009,Jan,Penha,0
2009,Jul,Penha,0
2009,Jun,Penha,0
2009,Mai,Penha,0
2009,Mar,Penha,0
2009,Nov,Penha,0
2009,Out,Penha,0
2009,Set,Penha,0
2010,Abr,Penha,1
2010,Ago,Penha,0
2010,Dez,Penha,0
2010,Fev,Penha,0
2010,Jan,Penha,0
2010,Jul,Penha,0
2010,Jun,Penha,0
2010,Mai,Penha,0
2010,Mar,Penha,0
2010,Nov,Penha,0
2010,Out,Penha,0
2010,Set,Penha,0
2011,Abr,Penha,0
2011,Ago,Penha,0
2011,Dez,Penha,0
2011,Fev,Penha,1
2011,Jan,Penha,0
2011,Jul,Penha,0
2011,Jun,Penha,0
2011,Mai,Penha,0
2011,Mar,Penha,0
2011,Nov,Penha,0
2011,Out,Penha,0
2011,Set,Penha,2
2012,Abr,Penha,0
2012,Ago,Penha,0
2012,Dez,Penha,0
2012,Fev,Penha,0
2012,Jan,Penha,0
2012,Jul,Penha,0
2012,Jun,Penha,0
2012,Mai,Penha,0
2012,Mar,Penha,0
2012,Nov,Penha,0
2012,Out,Penha,0
2012,Set,Penha,0
2013,Abr,Penha,0
2013,Ago,Penha,0
2013,Dez,Penha,0
2013,Fev,Penha,0
2013,Jan,Penha,1
2013,Jul,Penha,0
2013,Jun,Penha,0
2013,Mai,Penha,0
2013,Mar,Penha,0
2013,Nov,Penha,0
2013,Out,Penha,0
2013,Set,Penha,0
2014,Abr,Penha,0
2014,Ago,Penha,0
2014,Dez,Penha,0
2014,Fev,Penha,0
2014,Jan,Penha,0
2014,Jul,Penha,0
2014,Jun,Penha,0
2014,Mai,Penha,0
2014,Mar,Penha,0
2014,Nov,Penha,0
2014,Out,Penha,0
2014,Set,Penha,0
2015,Abr,Penha,0
2015,Ago,Penha,0
2015,Dez,Penha,0
2015,Fev,Penha,0
2015,Jan,Penha,0
2015,Jul,Penha,0
2015,Jun,Penha,0
2015,Mai,Penha,0
2015,Mar,Penha,0
2015,Nov,Penha,0
2015,Out,Penha,0
2015,Set,Penha,0
2016,Abr,Penha,1
2016,Ago,Penha,0
2016,Dez,Penha,0
2016,Fev,Penha,0
2016,Jan,Penha,0
2016,Jul,Penha,0
2016,Jun,Penha,0
2016,Mai,Penha,0
2016,Mar,Penha,0
2016,Nov,Penha,0
2016,Out,Penha,0
2016,Set,Penha,0
2017,Abr,Penha,0
2017,Ago,Penha,0
2017,Dez,Penha,0
2017,Fev,Penha,0
2017,Jan,Penha,2
2017,Jul,Penha,0
2017,Jun,Penha,0
2017,Mai,Penha,2
2017,Mar,Penha,0
2017,Nov,Penha,0
2017,Out,Penha,0
2017,Set,Penha,0
2018,Abr,Penha,0
2018,Ago,Penha,0
2018,Dez,Penha,0
2018,Fev,Penha,0
2018,Jan,Penha,1
2018,Jul,Penha,0
2018,Jun,Penha,0
2018,Mai,Penha,0
2018,Mar,Penha,0
2018,Nov,Penha,2
2018,Out,Penha,0
2018,Set,Penha,0
2019,Abr,Penha,0
2019,Ago,Penha,0
2019,Dez,Penha,0
2019,Fev,Penha,1
2019,Jan,Penha,1
2019,Jul,Penha,0
2019,Jun,Penha,0
2019,Mai,Penha,0
2019,Mar,Penha,0
2019,Nov,Penha,0
2019,Out,Penha,0
2019,Set,Penha,0
2020,Abr,Penha,0
2020,Ago,Penha,0
2020,Dez,Penha,0
2020,Fev,Penha,1
2020,Jan,Penha,0
2020,Jul,Penha,0
2020,Jun,Penha,0
2020,Mai,Penha,0
2020,Mar,Penha,0
2020,Nov,Penha,0
2020,Out,Penha,0
2020,Set,Penha,0
2021,Abr,Penha,0
2021,Ago,Penha,0
2021,Dez,Penha,0
2021,Fev,Penha,0
2021,Jan,Penha,0
2021,Jul,Penha,0
2021,Jun,Penha,0
2021,Mai,Penha,0
2021,Mar,Penha,0
2021,Nov,Penha,0
2021,Out,Penha,0
2021,Set,Penha,0
2022,Abr,Penha,0
2022,Ago,Penha,0
2022,Dez,Penha,1
2022,Fev,Penha,0
2022,Jan,Penha,1
2022,Jul,Penha,0
2022,Jun,Penha,0
2022,Mai,Penha,0
2022,Mar,Penha,0
2022,Nov,Penha,0
2022,Out,Penha,0
2022,Set,Penha,0
2023,Abr,Penha,0
2023,Ago,Penha,0
2023,Dez,Penha,0
2023,Fev,Penha,0
2023,Jan,Penha,0
2023,Jul,Penha,0
2023,Jun,Penha,0
2023,Mai,Penha,0
2023,Mar,Penha,0
2023,Nov,Penha,0
2023,Out,Penha,0
2023,Set,Penha,0
2024,Abr,Penha,0
2024,Ago,Penha,0
2024,Dez,Penha,0
2024,Fev,Penha,0
2024,Jan,Penha,0
2024,Jul,Penha,0
2024,Jun,Penha,0
2024,Mai,Penha,0
2024,Mar,Penha,0
2024,Nov,Penha,0
2024,Out,Penha,0
2024,Set,Penha,0
