ano,mes_nome,nome_municipio,n_eventos
1991,Abr,Sombrio,0
1991,Ago,Sombrio,0
1991,Dez,Sombrio,0
1991,Fev,Sombrio,0
1991,Jan,Sombrio,0
1991,Jul,Sombrio,0
1991,Jun,Sombrio,0
1991,Mai,Sombrio,0
1991,Mar,Sombrio,0
1991,Nov,Sombrio,0
1991,Out,Sombrio,0
1991,Set,Sombrio,0
1992,Abr,Sombrio,0
1992,Ago,Sombrio,0
1992,Dez,Sombrio,0
1992,Fev,Sombrio,0
1992,Jan,Sombrio,0
1992,Jul,Sombrio,0
1992,Jun,Sombrio,0
1992,Mai,Sombrio,0
1992,Mar,Sombrio,0
1992,Nov,Sombrio,0
1992,Out,Sombrio,0
1992,Set,Sombrio,0
1993,Abr,Sombrio,0
1993,Ago,Sombrio,0
1993,Dez,Sombrio,0
1993,Fev,Sombrio,0
1993,Jan,Sombrio,0
1993,Jul,Sombrio,0
1993,Jun,Sombrio,0
1993,Mai,Sombrio,0
1993,Mar,Sombrio,0
1993,Nov,Sombrio,0
1993,Out,Sombrio,0
1993,Set,Sombrio,0
1994,Abr,Sombrio,0
1994,Ago,Sombrio,0
1994,Dez,Sombrio,0
1994,Fev,Sombrio,0
1994,Jan,Sombrio,0
1994,Jul,Sombrio,0
1994,Jun,Sombrio,0
1994,Mai,Sombrio,0
1994,Mar,Sombrio,0
1994,Nov,Sombrio,0
1994,Out,Sombrio,0
1994,Set,Sombrio,0
1995,Abr,Sombrio,0
1995,Ago,Sombrio,0
1995,Dez,Sombrio,1
1995,Fev,Sombrio,0
1995,Jan,Sombrio,0
1995,Jul,Sombrio,0
1995,Jun,Sombrio,0
1995,Mai,Sombrio,0
1995,Mar,Sombrio,0
1995,Nov,Sombrio,0
1995,Out,Sombrio,0
1995,Set,Sombrio,0
1996,Abr,Sombrio,0
1996,Ago,Sombrio,0
1996,Dez,Sombrio,0
1996,Fev,Sombrio,0
1996,Jan,Sombrio,0
1996,Jul,Sombrio,0
1996,Jun,Sombrio,0
1996,Mai,Sombrio,0
1996,Mar,Sombrio,0
1996,Nov,Sombrio,0
1996,Out,Sombrio,0
1996,Set,Sombrio,0
1997,Abr,Sombrio,0
1997,Ago,Sombrio,0
1997,Dez,Sombrio,0
1997,Fev,Sombrio,0
1997,Jan,Sombrio,0
1997,Jul,Sombrio,0
1997,Jun,Sombrio,0
1997,Mai,Sombrio,0
1997,Mar,Sombrio,0
1997,Nov,Sombrio,0
1997,Out,Sombrio,0
1997,Set,Sombrio,0
1998,Abr,Sombrio,0
1998,Ago,Sombrio,0
1998,Dez,Sombrio,0
1998,Fev,Sombrio,0
1998,Jan,Sombrio,0
1998,Jul,Sombrio,0
1998,Jun,Sombrio,0
1998,Mai,Sombrio,0
1998,Mar,Sombrio,0
1998,Nov,Sombrio,0
1998,Out,Sombrio,0
1998,Set,Sombrio,0
1999,Abr,Sombrio,0
1999,Ago,Sombrio,0
1999,Dez,Sombrio,0
1999,Fev,Sombrio,0
1999,Jan,Sombrio,0
1999,Jul,Sombrio,0
1999,Jun,Sombrio,0
1999,Mai,Sombrio,0
1999,Mar,Sombrio,0
1999,Nov,Sombrio,0
1999,Out,Sombrio,0
1999,Set,Sombrio,0
2000,Abr,Sombrio,0
2000,Ago,Sombrio,0
2000,Dez,Sombrio,0
2000,Fev,Sombrio,0
2000,Jan,Sombrio,0
2000,Jul,Sombrio,0
2000,Jun,Sombrio,0
2000,Mai,Sombrio,0
2000,Mar,Sombrio,0
2000,Nov,Sombrio,0
2000,Out,Sombrio,0
2000,Set,Sombrio,0
2001,Abr,Sombrio,0
2001,Ago,Sombrio,0
2001,Dez,Sombrio,0
2001,Fev,Sombrio,0
2001,Jan,Sombrio,0
2001,Jul,Sombrio,0
2001,Jun,Sombrio,0
2001,Mai,Sombrio,0
2001,Mar,Sombrio,0
2001,Nov,Sombrio,0
2001,Out,Sombrio,0
2001,Set,Sombrio,1
2002,Abr,Sombrio,0
2002,Ago,Sombrio,0
2002,Dez,Sombrio,0
2002,Fev,Sombrio,0
2002,Jan,Sombrio,0
2002,Jul,Sombrio,0
2002,Jun,Sombrio,0
2002,Mai,Sombrio,0
2002,Mar,Sombrio,0
2002,Nov,Sombrio,0
2002,Out,Sombrio,0
2002,Set,Sombrio,0
2003,Abr,Sombrio,0
2003,Ago,Sombrio,0
2003,Dez,Sombrio,0
2003,Fev,Sombrio,1
2003,Jan,Sombrio,0
2003,Jul,Sombrio,0
2003,Jun,Sombrio,0
2003,Mai,Sombrio,0
2003,Mar,Sombrio,0
2003,Nov,Sombrio,0
2003,Out,Sombrio,0
2003,Set,Sombrio,0
2004,Abr,Sombrio,0
2004,Ago,Sombrio,0
2004,Dez,Sombrio,0
2004,Fev,Sombrio,0
2004,Jan,Sombrio,0
2004,Jul,Sombrio,0
2004,Jun,Sombrio,0
2004,Mai,Sombrio,1
2004,Mar,Sombrio,0
2004,Nov,Sombrio,0
2004,Out,Sombrio,0
2004,Set,Sombrio,0
2005,Abr,Sombrio,0
2005,Ago,Sombrio,0
2005,Dez,Sombrio,0
2005,Fev,Sombrio,0
2005,Jan,Sombrio,0
2005,Jul,Sombrio,0
2005,Jun,Sombrio,0
2005,Mai,Sombrio,0
2005,Mar,Sombrio,0
2005,Nov,Sombrio,0
2005,Out,Sombrio,0
2005,Set,Sombrio,0
2006,Abr,Sombrio,0
2006,Ago,Sombrio,0
2006,Dez,Sombrio,0
2006,Fev,Sombrio,0
2006,Jan,Sombrio,0
2006,Jul,Sombrio,0
2006,Jun,Sombrio,0
2006,Mai,Sombrio,0
2006,Mar,Sombrio,0
2006,Nov,Sombrio,0
2006,Out,Sombrio,0
2006,Set,Sombrio,0
2007,Abr,Sombrio,0
2007,Ago,Sombrio,0
2007,Dez,Sombrio,0
2007,Fev,Sombrio,0
2007,Jan,Sombrio,0
2007,Jul,Sombrio,0
2007,Jun,Sombrio,0
2007,Mai,Sombrio,0
2007,Mar,Sombrio,0
2007,Nov,Sombrio,0
2007,Out,Sombrio,0
2007,Set,Sombrio,0
2008,Abr,Sombrio,0
2008,Ago,Sombrio,0
2008,Dez,Sombrio,0
2008,Fev,Sombrio,0
2008,Jan,Sombrio,0
2008,Jul,Sombrio,0
2008,Jun,Sombrio,0
2008,Mai,Sombrio,0
2008,Mar,Sombrio,0
2008,Nov,Sombrio,0
2008,Out,Sombrio,0
2008,Set,Sombrio,0
2009,Abr,Sombrio,0
2009,Ago,Sombrio,0
2009,Dez,Sombrio,0
2009,Fev,Sombrio,0
2009,Jan,Sombrio,0
2009,Jul,Sombrio,0
2009,Jun,Sombrio,0
2009,Mai,Sombrio,0
2009,Mar,Sombrio,0
2009,Nov,Sombrio,0
2009,Out,Sombrio,0
2009,Set,Sombrio,1
2010,Abr,Sombrio,0
2010,Ago,Sombrio,0
2010,Dez,Sombrio,0
2010,Fev,Sombrio,0
2010,Jan,Sombrio,0
2010,Jul,Sombrio,0
