ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Araquari,Enxurradas,0
1991,Ago,Araquari,Enxurradas,0
1991,Dez,Araquari,Enxurradas,0
1991,Fev,Araquari,Enxurradas,0
1991,Jan,Araquari,Enxurradas,0
1991,Jul,Araquari,Enxurradas,0
1991,Jun,Araquari,Enxurradas,0
1991,Mai,Araquari,Enxurradas,0
1991,Mar,Araquari,Enxurradas,0
1991,Nov,Araquari,Enxurradas,0
1991,Out,Araquari,Enxurradas,0
1991,Set,Araquari,Enxurradas,0
1992,Abr,Araquari,Enxurradas,0
1992,Ago,Araquari,Enxurradas,0
1992,Dez,Araquari,Enxurradas,0
1992,Fev,Araquari,Enxurradas,0
1992,Jan,Araquari,Enxurradas,0
1992,Jul,Araquari,Enxurradas,0
1992,Jun,Araquari,Enxurradas,0
1992,Mai,Araquari,Enxurradas,0
1992,Mar,Araquari,Enxurradas,0
1992,Nov,Araquari,Enxurradas,0
1992,Out,Araquari,Enxurradas,0
1992,Set,Araquari,Enxurradas,0
1993,Abr,Araquari,Enxurradas,0
1993,Ago,Araquari,Enxurradas,0
1993,Dez,Araquari,Enxurradas,0
1993,Fev,Araquari,Enxurradas,0
1993,Jan,Araquari,Enxurradas,0
1993,Jul,Araquari,Enxurradas,0
1993,Jun,Araquari,Enxurradas,0
1993,Mai,Araquari,Enxurradas,0
1993,Mar,Araquari,Enxurradas,0
1993,Nov,Araquari,Enxurradas,0
1993,Out,Araquari,Enxurradas,0
1993,Set,Araquari,Enxurradas,0
1994,Abr,Araquari,Enxurradas,0
1994,Ago,Araquari,Enxurradas,0
1994,Dez,Araquari,Enxurradas,0
1994,Fev,Araquari,Enxurradas,0
1994,Jan,Araquari,Enxurradas,0
1994,Jul,Araquari,Enxurradas,0
1994,Jun,Araquari,Enxurradas,0
1994,Mai,Araquari,Enxurradas,0
1994,Mar,Araquari,Enxurradas,1
1994,Nov,Araquari,Enxurradas,0
1994,Out,Araquari,Enxurradas,0
1994,Set,Araquari,Enxurradas,0
1995,Abr,Araquari,Enxurradas,0
1995,Ago,Araquari,Enxurradas,0
1995,Dez,Araquari,Enxurradas,0
1995,Fev,Araquari,Enxurradas,1
1995,Jan,Araquari,Enxurradas,0
1995,Jul,Araquari,Enxurradas,0
1995,Jun,Araquari,Enxurradas,0
1995,Mai,Araquari,Enxurradas,0
1995,Mar,Araquari,Enxurradas,0
1995,Nov,Araquari,Enxurradas,0
1995,Out,Araquari,Enxurradas,0
1995,Set,Araquari,Enxurradas,0
1996,Abr,Araquari,Enxurradas,0
1996,Ago,Araquari,Enxurradas,0
1996,Dez,Araquari,Enxurradas,0
1996,Fev,Araquari,Enxurradas,0
1996,Jan,Araquari,Enxurradas,0
1996,Jul,Araquari,Enxurradas,0
1996,Jun,Araquari,Enxurradas,0
1996,Mai,Araquari,Enxurradas,0
1996,Mar,Araquari,Enxurradas,0
1996,Nov,Araquari,Enxurradas,0
1996,Out,Araquari,Enxurradas,0
1996,Set,Araquari,Enxurradas,0
1997,Abr,Araquari,Enxurradas,0
1997,Ago,Araquari,Enxurradas,0
1997,Dez,Araquari,Enxurradas,0
1997,Fev,Araquari,Enxurradas,0
1997,Jan,Araquari,Enxurradas,0
1997,Jul,Araquari,Enxurradas,0
1997,Jun,Araquari,Enxurradas,0
1997,Mai,Araquari,Enxurradas,0
