nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Araquari,Alagamentos,Mar,2013,1
Araquari,Alagamentos,Mai,2017,1
Araquari,Alagamentos,Jun,2014,1
Araquari,Alagamentos,Set,2017,1
Araquari,Alagamentos,Out,2006,1
Araquari,Alagamentos,Out,2013,1
Araquari,Chuvas Intensas,Jan,2024,2
Araquari,Chuvas Intensas,Fev,2019,1
Araquari,Chuvas Intensas,Fev,2024,1
Araquari,Chuvas Intensas,Mar,2022,1
Araquari,Chuvas Intensas,Mar,2023,1
Araquari,Chuvas Intensas,Out,2017,1
Araquari,Chuvas Intensas,Out,2023,1
Araquari,Chuvas Intensas,Nov,2022,3
Araquari,Chuvas Intensas,Nov,2023,1
Araquari,Chuvas Intensas,Dez,2022,1
Araquari,Chuvas Intensas,Dez,2024,1
Araquari,Enxurradas,Jan,2003,1
Araquari,Enxurradas,Jan,2010,1
Araquari,Enxurradas,Jan,2011,1
Araquari,Enxurradas,Fev,1995,1
Araquari,Enxurradas,Fev,2001,1
Araquari,Enxurradas,Mar,1994,1
Araquari,Enxurradas,Mar,2011,1
Araquari,Enxurradas,Mai,2010,1
Araquari,Enxurradas,Nov,2008,1
Araquari,Inundações,Set,2011,1
Araquari,Movimento de Massa,Set,2017,1
