ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Araquari,Inundações,0
1991,Ago,Araquari,Inundações,0
1991,Dez,Araquari,Inundações,0
1991,Fev,Araquari,Inundações,0
1991,Jan,Araquari,Inundações,0
1991,Jul,Araquari,Inundações,0
1991,Jun,Araquari,Inundações,0
1991,Mai,Araquari,Inundações,0
1991,Mar,Araquari,Inundações,0
1991,Nov,Araquari,Inundações,0
1991,Out,Araquari,Inundações,0
1991,Set,Araquari,Inundações,0
1992,Abr,Araquari,Inundações,0
1992,Ago,Araquari,Inundações,0
1992,Dez,Araquari,Inundações,0
1992,Fev,Araquari,Inundações,0
1992,Jan,Araquari,Inundações,0
1992,Jul,Araquari,Inundações,0
1992,Jun,Araquari,Inundações,0
1992,Mai,Araquari,Inundações,0
1992,Mar,Araquari,Inundações,0
1992,Nov,Araquari,Inundações,0
1992,Out,Araquari,Inundações,0
1992,Set,Araquari,Inundações,0
1993,Abr,Araquari,Inundações,0
1993,Ago,Araquari,Inundações,0
1993,Dez,Araquari,Inundações,0
1993,Fev,Araquari,Inundações,0
1993,Jan,Araquari,Inundações,0
1993,Jul,Araquari,Inundações,0
1993,Jun,Araquari,Inundações,0
1993,Mai,Araquari,Inundações,0
1993,Mar,Araquari,Inundações,0
1993,Nov,Araquari,Inundações,0
1993,Out,Araquari,Inundações,0
1993,Set,Araquari,Inundações,0
1994,Abr,Araquari,Inundações,0
1994,Ago,Araquari,Inundações,0
1994,Dez,Araquari,Inundações,0
1994,Fev,Araquari,Inundações,0
1994,Jan,Araquari,Inundações,0
1994,Jul,Araquari,Inundações,0
1994,Jun,Araquari,Inundações,0
1994,Mai,Araquari,Inundações,0
1994,Mar,Araquari,Inundações,0
1994,Nov,Araquari,Inundações,0
1994,Out,Araquari,Inundações,0
1994,Set,Araquari,Inundações,0
1995,Abr,Araquari,Inundações,0
1995,Ago,Araquari,Inundações,0
1995,Dez,Araquari,Inundações,0
1995,Fev,Araquari,Inundações,0
1995,Jan,Araquari,Inundações,0
1995,Jul,Araquari,Inundações,0
1995,Jun,Araquari,Inundações,0
1995,Mai,Araquari,Inundações,0
1995,Mar,Araquari,Inundações,0
1995,Nov,Araquari,Inundações,0
1995,Out,Araquari,Inundações,0
1995,Set,Araquari,Inundações,0
1996,Abr,Araquari,Inundações,0
1996,Ago,Araquari,Inundações,0
1996,Dez,Araquari,Inundações,0
1996,Fev,Araquari,Inundações,0
1996,Jan,Araquari,Inundações,0
1996,Jul,Araquari,Inundações,0
1996,Jun,Araquari,Inundações,0
1996,Mai,Araquari,Inundações,0
1996,Mar,Araquari,Inundações,0
1996,Nov,Araquari,Inundações,0
1996,Out,Araquari,Inundações,0
1996,Set,Araquari,Inundações,0
1997,Abr,Araquari,Inundações,0
1997,Ago,Araquari,Inundações,0
1997,Dez,Araquari,Inundações,0
1997,Fev,Araquari,Inundações,0
1997,Jan,Araquari,Inundações,0
1997,Jul,Araquari,Inundações,0
1997,Jun,Araquari,Inundações,0
1997,Mai,Araquari,Inundações,0
1997,Mar,Araquari,Inundações,0
1997,Nov,Araquari,Inundações,0
1997,Out,Araquari,Inundações,0
1997,Set,Araquari,Inundações,0
1998,Abr,Araquari,Inundações,0
1998,Ago,Araquari,Inundações,0
1998,Dez,Araquari,Inundações,0
1998,Fev,Araquari,Inundações,0
1998,Jan,Araquari,Inundações,0
1998,Jul,Araquari,Inundações,0
1998,Jun,Araquari,Inundações,0
1998,Mai,Araquari,Inundações,0
1998,Mar,Araquari,Inundações,0
1998,Nov,Araquari,Inundações,0
1998,Out,Araquari,Inundações,0
1998,Set,Araquari,Inundações,0
1999,Abr,Araquari,Inundações,0
1999,Ago,Araquari,Inundações,0
1999,Dez,Araquari,Inundações,0
1999,Fev,Araquari,Inundações,0
1999,Jan,Araquari,Inundações,0
1999,Jul,Araquari,Inundações,0
1999,Jun,Araquari,Inundações,0
1999,Mai,Araquari,Inundações,0
1999,Mar,Araquari,Inundações,0
1999,Nov,Araquari,Inundações,0
1999,Out,Araquari,Inundações,0
1999,Set,Araquari,Inundações,0
2000,Abr,Araquari,Inundações,0
2000,Ago,Araquari,Inundações,0
2000,Dez,Araquari,Inundações,0
2000,Fev,Araquari,Inundações,0
2000,Jan,Araquari,Inundações,0
2000,Jul,Araquari,Inundações,0
2000,Jun,Araquari,Inundações,0
2000,Mai,Araquari,Inundações,0
2000,Mar,Araquari,Inundações,0
2000,Nov,Araquari,Inundações,0
2000,Out,Araquari,Inundações,0
2000,Set,Araquari,Inundações,0
2001,Abr,Araquari,Inundações,0
2001,Ago,Araquari,Inundações,0
2001,Dez,Araquari,Inundações,0
2001,Fev,Araquari,Inundações,0
2001,Jan,Araquari,Inundações,0
2001,Jul,Araquari,Inundações,0
2001,Jun,Araquari,Inundações,0
2001,Mai,Araquari,Inundações,0
2001,Mar,Araquari,Inundações,0
2001,Nov,Araquari,Inundações,0
2001,Out,Araquari,Inundações,0
2001,Set,Araquari,Inundações,0
2002,Abr,Araquari,Inundações,0
2002,Ago,Araquari,Inundações,0
2002,Dez,Araquari,Inundações,0
2002,Fev,Araquari,Inundações,0
2002,Jan,Araquari,Inundações,0
2002,Jul,Araquari,Inundações,0
2002,Jun,Araquari,Inundações,0
2002,Mai,Araquari,Inundações,0
2002,Mar,Araquari,Inundações,0
2002,Nov,Araquari,Inundações,0
2002,Out,Araquari,Inundações,0
2002,Set,Araquari,Inundações,0
2003,Abr,Araquari,Inundações,0
2003,Ago,Araquari,Inundações,0
2003,Dez,Araquari,Inundações,0
2003,Fev,Araquari,Inundações,0
2003,Jan,Araquari,Inundações,0
2003,Jul,Araquari,Inundações,0
2003,Jun,Araquari,Inundações,0
2003,Mai,Araquari,Inundações,0
2003,Mar,Araquari,Inundações,0
2003,Nov,Araquari,Inundações,0
2003,Out,Araquari,Inundações,0
2003,Set,Araquari,Inundações,0
2004,Abr,Araquari,Inundações,0
2004,Ago,Araquari,Inundações,0
2004,Dez,Araquari,Inundações,0
2004,Fev,Araquari,Inundações,0
2004,Jan,Araquari,Inundações,0
2004,Jul,Araquari,Inundações,0
2004,Jun,Araquari,Inundações,0
2004,Mai,Araquari,Inundações,0
2004,Mar,Araquari,Inundações,0
2004,Nov,Araquari,Inundações,0
2004,Out,Araquari,Inundações,0
2004,Set,Araquari,Inundações,0
2005,Abr,Araquari,Inundações,0
2005,Ago,Araquari,Inundações,0
2005,Dez,Araquari,Inundações,0
2005,Fev,Araquari,Inundações,0
2005,Jan,Araquari,Inundações,0
2005,Jul,Araquari,Inundações,0
2005,Jun,Araquari,Inundações,0
2005,Mai,Araquari,Inundações,0
2005,Mar,Araquari,Inundações,0
2005,Nov,Araquari,Inundações,0
2005,Out,Araquari,Inundações,0
2005,Set,Araquari,Inundações,0
2006,Abr,Araquari,Inundações,0
2006,Ago,Araquari,Inundações,0
2006,Dez,Araquari,Inundações,0
2006,Fev,Araquari,Inundações,0
2006,Jan,Araquari,Inundações,0
2006,Jul,Araquari,Inundações,0
2006,Jun,Araquari,Inundações,0
2006,Mai,Araquari,Inundações,0
2006,Mar,Araquari,Inundações,0
2006,Nov,Araquari,Inundações,0
2006,Out,Araquari,Inundações,0
2006,Set,Araquari,Inundações,0
2007,Abr,Araquari,Inundações,0
2007,Ago,Araquari,Inundações,0
2007,Dez,Araquari,Inundações,0
2007,Fev,Araquari,Inundações,0
2007,Jan,Araquari,Inundações,0
2007,Jul,Araquari,Inundações,0
2007,Jun,Araquari,Inundações,0
2007,Mai,Araquari,Inundações,0
2007,Mar,Araquari,Inundações,0
2007,Nov,Araquari,Inundações,0
2007,Out,Araquari,Inundações,0
2007,Set,Araquari,Inundações,0
2008,Abr,Araquari,Inundações,0
2008,Ago,Araquari,Inundações,0
2008,Dez,Araquari,Inundações,0
2008,Fev,Araquari,Inundações,0
2008,Jan,Araquari,Inundações,0
2008,Jul,Araquari,Inundações,0
2008,Jun,Araquari,Inundações,0
2008,Mai,Araquari,Inundações,0
2008,Mar,Araquari,Inundações,0
2008,Nov,Araquari,Inundações,0
2008,Out,Araquari,Inundações,0
2008,Set,Araquari,Inundações,0
