ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Araranguá,Chuvas Intensas,0
1991,Ago,Araranguá,Chuvas Intensas,0
1991,Dez,Araranguá,Chuvas Intensas,0
1991,Fev,Araranguá,Chuvas Intensas,0
1991,Jan,Araranguá,Chuvas Intensas,0
1991,Jul,Araranguá,Chuvas Intensas,0
1991,Jun,Araranguá,Chuvas Intensas,0
1991,Mai,Araranguá,Chuvas Intensas,0
1991,Mar,Araranguá,Chuvas Intensas,0
1991,Nov,Araranguá,Chuvas Intensas,0
1991,Out,Araranguá,Chuvas Intensas,0
1991,Set,Araranguá,Chuvas Intensas,0
1992,Abr,Araranguá,Chuvas Intensas,0
1992,Ago,Araranguá,Chuvas Intensas,0
1992,Dez,Araranguá,Chuvas Intensas,0
1992,Fev,Araranguá,Chuvas Intensas,0
1992,Jan,Araranguá,Chuvas Intensas,0
1992,Jul,Araranguá,Chuvas Intensas,0
1992,Jun,Araranguá,Chuvas Intensas,0
1992,Mai,Araranguá,Chuvas Intensas,0
1992,Mar,Araranguá,Chuvas Intensas,0
1992,Nov,Araranguá,Chuvas Intensas,0
1992,Out,Araranguá,Chuvas Intensas,0
1992,Set,Araranguá,Chuvas Intensas,0
1993,Abr,Araranguá,Chuvas Intensas,0
1993,Ago,Araranguá,Chuvas Intensas,0
1993,Dez,Araranguá,Chuvas Intensas,0
1993,Fev,Araranguá,Chuvas Intensas,0
1993,Jan,Araranguá,Chuvas Intensas,0
1993,Jul,Araranguá,Chuvas Intensas,0
1993,Jun,Araranguá,Chuvas Intensas,0
1993,Mai,Araranguá,Chuvas Intensas,0
1993,Mar,Araranguá,Chuvas Intensas,0
1993,Nov,Araranguá,Chuvas Intensas,0
1993,Out,Araranguá,Chuvas Intensas,0
1993,Set,Araranguá,Chuvas Intensas,0
1994,Abr,Araranguá,Chuvas Intensas,0
1994,Ago,Araranguá,Chuvas Intensas,0
1994,Dez,Araranguá,Chuvas Intensas,0
1994,Fev,Araranguá,Chuvas Intensas,0
1994,Jan,Araranguá,Chuvas Intensas,0
1994,Jul,Araranguá,Chuvas Intensas,0
1994,Jun,Araranguá,Chuvas Intensas,0
1994,Mai,Araranguá,Chuvas Intensas,0
1994,Mar,Araranguá,Chuvas Intensas,0
1994,Nov,Araranguá,Chuvas Intensas,0
1994,Out,Araranguá,Chuvas Intensas,0
1994,Set,Araranguá,Chuvas Intensas,0
1995,Abr,Araranguá,Chuvas Intensas,0
1995,Ago,Araranguá,Chuvas Intensas,0
1995,Dez,Araranguá,Chuvas Intensas,0
1995,Fev,Araranguá,Chuvas Intensas,0
1995,Jan,Araranguá,Chuvas Intensas,0
1995,Jul,Araranguá,Chuvas Intensas,0
1995,Jun,Araranguá,Chuvas Intensas,0
1995,Mai,Araranguá,Chuvas Intensas,0
1995,Mar,Araranguá,Chuvas Intensas,0
1995,Nov,Araranguá,Chuvas Intensas,0
1995,Out,Araranguá,Chuvas Intensas,0
1995,Set,Araranguá,Chuvas Intensas,0
1996,Abr,Araranguá,Chuvas Intensas,0
1996,Ago,Araranguá,Chuvas Intensas,0
1996,Dez,Araranguá,Chuvas Intensas,0
1996,Fev,Araranguá,Chuvas Intensas,0
1996,Jan,Araranguá,Chuvas Intensas,0
1996,Jul,Araranguá,Chuvas Intensas,0
1996,Jun,Araranguá,Chuvas Intensas,0
1996,Mai,Araranguá,Chuvas Intensas,0
1996,Mar,Araranguá,Chuvas Intensas,0
1996,Nov,Araranguá,Chuvas Intensas,0
1996,Out,Araranguá,Chuvas Intensas,0
1996,Set,Araranguá,Chuvas Intensas,0
1997,Abr,Araranguá,Chuvas Intensas,0
1997,Ago,Araranguá,Chuvas Intensas,0
1997,Dez,Araranguá,Chuvas Intensas,0
1997,Fev,Araranguá,Chuvas Intensas,0
1997,Jan,Araranguá,Chuvas Intensas,0
1997,Jul,Araranguá,Chuvas Intensas,0
1997,Jun,Araranguá,Chuvas Intensas,0
1997,Mai,Araranguá,Chuvas Intensas,0
1997,Mar,Araranguá,Chuvas Intensas,0
1997,Nov,Araranguá,Chuvas Intensas,0
1997,Out,Araranguá,Chuvas Intensas,0
1997,Set,Araranguá,Chuvas Intensas,0
1998,Abr,Araranguá,Chuvas Intensas,0
1998,Ago,Araranguá,Chuvas Intensas,0
1998,Dez,Araranguá,Chuvas Intensas,0
1998,Fev,Araranguá,Chuvas Intensas,0
1998,Jan,Araranguá,Chuvas Intensas,0
1998,Jul,Araranguá,Chuvas Intensas,0
1998,Jun,Araranguá,Chuvas Intensas,0
1998,Mai,Araranguá,Chuvas Intensas,0
1998,Mar,Araranguá,Chuvas Intensas,0
1998,Nov,Araranguá,Chuvas Intensas,0
1998,Out,Araranguá,Chuvas Intensas,0
1998,Set,Araranguá,Chuvas Intensas,0
1999,Abr,Araranguá,Chuvas Intensas,0
1999,Ago,Araranguá,Chuvas Intensas,0
1999,Dez,Araranguá,Chuvas Intensas,0
1999,Fev,Araranguá,Chuvas Intensas,0
1999,Jan,Araranguá,Chuvas Intensas,0
1999,Jul,Araranguá,Chuvas Intensas,0
1999,Jun,Araranguá,Chuvas Intensas,0
1999,Mai,Araranguá,Chuvas Intensas,0
1999,Mar,Araranguá,Chuvas Intensas,0
1999,Nov,Araranguá,Chuvas Intensas,0
1999,Out,Araranguá,Chuvas Intensas,0
1999,Set,Araranguá,Chuvas Intensas,0
2000,Abr,Araranguá,Chuvas Intensas,0
2000,Ago,Araranguá,Chuvas Intensas,0
2000,Dez,Araranguá,Chuvas Intensas,0
2000,Fev,Araranguá,Chuvas Intensas,0
2000,Jan,Araranguá,Chuvas Intensas,0
2000,Jul,Araranguá,Chuvas Intensas,0
2000,Jun,Araranguá,Chuvas Intensas,0
2000,Mai,Araranguá,Chuvas Intensas,0
2000,Mar,Araranguá,Chuvas Intensas,0
2000,Nov,Araranguá,Chuvas Intensas,0
2000,Out,Araranguá,Chuvas Intensas,0
2000,Set,Araranguá,Chuvas Intensas,0
2001,Abr,Araranguá,Chuvas Intensas,0
2001,Ago,Araranguá,Chuvas Intensas,0
2001,Dez,Araranguá,Chuvas Intensas,0
2001,Fev,Araranguá,Chuvas Intensas,0
2001,Jan,Araranguá,Chuvas Intensas,0
2001,Jul,Araranguá,Chuvas Intensas,0
2001,Jun,Araranguá,Chuvas Intensas,0
2001,Mai,Araranguá,Chuvas Intensas,0
2001,Mar,Araranguá,Chuvas Intensas,0
2001,Nov,Araranguá,Chuvas Intensas,0
2001,Out,Araranguá,Chuvas Intensas,0
2001,Set,Araranguá,Chuvas Intensas,0
2002,Abr,Araranguá,Chuvas Intensas,0
2002,Ago,Araranguá,Chuvas Intensas,0
2002,Dez,Araranguá,Chuvas Intensas,0
2002,Fev,Araranguá,Chuvas Intensas,0
2002,Jan,Araranguá,Chuvas Intensas,0
2002,Jul,Araranguá,Chuvas Intensas,0
2002,Jun,Araranguá,Chuvas Intensas,0
2002,Mai,Araranguá,Chuvas Intensas,0
2002,Mar,Araranguá,Chuvas Intensas,0
2002,Nov,Araranguá,Chuvas Intensas,0
2002,Out,Araranguá,Chuvas Intensas,0
2002,Set,Araranguá,Chuvas Intensas,0
2003,Abr,Araranguá,Chuvas Intensas,0
2003,Ago,Araranguá,Chuvas Intensas,0
2003,Dez,Araranguá,Chuvas Intensas,0
2003,Fev,Araranguá,Chuvas Intensas,0
2003,Jan,Araranguá,Chuvas Intensas,0
2003,Jul,Araranguá,Chuvas Intensas,0
2003,Jun,Araranguá,Chuvas Intensas,0
2003,Mai,Araranguá,Chuvas Intensas,0
2003,Mar,Araranguá,Chuvas Intensas,0
2003,Nov,Araranguá,Chuvas Intensas,0
2003,Out,Araranguá,Chuvas Intensas,0
2003,Set,Araranguá,Chuvas Intensas,0
2004,Abr,Araranguá,Chuvas Intensas,0
2004,Ago,Araranguá,Chuvas Intensas,0
2004,Dez,Araranguá,Chuvas Intensas,0
2004,Fev,Araranguá,Chuvas Intensas,0
2004,Jan,Araranguá,Chuvas Intensas,0
2004,Jul,Araranguá,Chuvas Intensas,0
2004,Jun,Araranguá,Chuvas Intensas,0
2004,Mai,Araranguá,Chuvas Intensas,0
2004,Mar,Araranguá,Chuvas Intensas,0
2004,Nov,Araranguá,Chuvas Intensas,0
2004,Out,Araranguá,Chuvas Intensas,0
2004,Set,Araranguá,Chuvas Intensas,0
2005,Abr,Araranguá,Chuvas Intensas,0
2005,Ago,Araranguá,Chuvas Intensas,0
2005,Dez,Araranguá,Chuvas Intensas,0
2005,Fev,Araranguá,Chuvas Intensas,0
2005,Jan,Araranguá,Chuvas Intensas,0
2005,Jul,Araranguá,Chuvas Intensas,0
2005,Jun,Araranguá,Chuvas Intensas,0
2005,Mai,Araranguá,Chuvas Intensas,0
2005,Mar,Araranguá,Chuvas Intensas,0
2005,Nov,Araranguá,Chuvas Intensas,0
2005,Out,Araranguá,Chuvas Intensas,0
2005,Set,Araranguá,Chuvas Intensas,0
2006,Abr,Araranguá,Chuvas Intensas,0
2006,Ago,Araranguá,Chuvas Intensas,0
2006,Dez,Araranguá,Chuvas Intensas,0
2006,Fev,Araranguá,Chuvas Intensas,0
2006,Jan,Araranguá,Chuvas Intensas,0
2006,Jul,Araranguá,Chuvas Intensas,0
2006,Jun,Araranguá,Chuvas Intensas,0
2006,Mai,Araranguá,Chuvas Intensas,0
2006,Mar,Araranguá,Chuvas Intensas,0
2006,Nov,Araranguá,Chuvas Intensas,0
2006,Out,Araranguá,Chuvas Intensas,0
2006,Set,Araranguá,Chuvas Intensas,0
2007,Abr,Araranguá,Chuvas Intensas,0
2007,Ago,Araranguá,Chuvas Intensas,0
2007,Dez,Araranguá,Chuvas Intensas,0
2007,Fev,Araranguá,Chuvas Intensas,0
2007,Jan,Araranguá,Chuvas Intensas,0
2007,Jul,Araranguá,Chuvas Intensas,0
2007,Jun,Araranguá,Chuvas Intensas,0
2007,Mai,Araranguá,Chuvas Intensas,0
2007,Mar,Araranguá,Chuvas Intensas,0
2007,Nov,Araranguá,Chuvas Intensas,0
2007,Out,Araranguá,Chuvas Intensas,0
2007,Set,Araranguá,Chuvas Intensas,0
2008,Abr,Araranguá,Chuvas Intensas,0
2008,Ago,Araranguá,Chuvas Intensas,0
2008,Dez,Araranguá,Chuvas Intensas,0
2008,Fev,Araranguá,Chuvas Intensas,0
2008,Jan,Araranguá,Chuvas Intensas,0
2008,Jul,Araranguá,Chuvas Intensas,0
2008,Jun,Araranguá,Chuvas Intensas,0
2008,Mai,Araranguá,Chuvas Intensas,0
2008,Mar,Araranguá,Chuvas Intensas,0
2008,Nov,Araranguá,Chuvas Intensas,0
2008,Out,Araranguá,Chuvas Intensas,0
2008,Set,Araranguá,Chuvas Intensas,0
2009,Abr,Araranguá,Chuvas Intensas,0
2009,Ago,Araranguá,Chuvas Intensas,0
2009,Dez,Araranguá,Chuvas Intensas,0
2009,Fev,Araranguá,Chuvas Intensas,0
2009,Jan,Araranguá,Chuvas Intensas,0
2009,Jul,Araranguá,Chuvas Intensas,0
2009,Jun,Araranguá,Chuvas Intensas,0
2009,Mai,Araranguá,Chuvas Intensas,0
2009,Mar,Araranguá,Chuvas Intensas,0
2009,Nov,Araranguá,Chuvas Intensas,0
2009,Out,Araranguá,Chuvas Intensas,0
2009,Set,Araranguá,Chuvas Intensas,0
2010,Abr,Araranguá,Chuvas Intensas,0
2010,Ago,Araranguá,Chuvas Intensas,0
2010,Dez,Araranguá,Chuvas Intensas,0
2010,Fev,Araranguá,Chuvas Intensas,0
2010,Jan,Araranguá,Chuvas Intensas,0
2010,Jul,Araranguá,Chuvas Intensas,0
2010,Jun,Araranguá,Chuvas Intensas,0
2010,Mai,Araranguá,Chuvas Intensas,0
2010,Mar,Araranguá,Chuvas Intensas,0
2010,Nov,Araranguá,Chuvas Intensas,0
2010,Out,Araranguá,Chuvas Intensas,0
2010,Set,Araranguá,Chuvas Intensas,0
2011,Abr,Araranguá,Chuvas Intensas,0
2011,Ago,Araranguá,Chuvas Intensas,0
2011,Dez,Araranguá,Chuvas Intensas,0
2011,Fev,Araranguá,Chuvas Intensas,0
2011,Jan,Araranguá,Chuvas Intensas,0
2011,Jul,Araranguá,Chuvas Intensas,0
2011,Jun,Araranguá,Chuvas Intensas,0
2011,Mai,Araranguá,Chuvas Intensas,0
2011,Mar,Araranguá,Chuvas Intensas,0
2011,Nov,Araranguá,Chuvas Intensas,0
2011,Out,Araranguá,Chuvas Intensas,0
2011,Set,Araranguá,Chuvas Intensas,0
2012,Abr,Araranguá,Chuvas Intensas,0
2012,Ago,Araranguá,Chuvas Intensas,0
2012,Dez,Araranguá,Chuvas Intensas,0
2012,Fev,Araranguá,Chuvas Intensas,0
2012,Jan,Araranguá,Chuvas Intensas,0
2012,Jul,Araranguá,Chuvas Intensas,0
2012,Jun,Araranguá,Chuvas Intensas,0
2012,Mai,Araranguá,Chuvas Intensas,0
2012,Mar,Araranguá,Chuvas Intensas,0
2012,Nov,Araranguá,Chuvas Intensas,0
2012,Out,Araranguá,Chuvas Intensas,0
2012,Set,Araranguá,Chuvas Intensas,0
2013,Abr,Araranguá,Chuvas Intensas,0
2013,Ago,Araranguá,Chuvas Intensas,0
2013,Dez,Araranguá,Chuvas Intensas,0
2013,Fev,Araranguá,Chuvas Intensas,0
2013,Jan,Araranguá,Chuvas Intensas,0
2013,Jul,Araranguá,Chuvas Intensas,0
2013,Jun,Araranguá,Chuvas Intensas,0
2013,Mai,Araranguá,Chuvas Intensas,0
2013,Mar,Araranguá,Chuvas Intensas,0
2013,Nov,Araranguá,Chuvas Intensas,0
2013,Out,Araranguá,Chuvas Intensas,0
2013,Set,Araranguá,Chuvas Intensas,0
2014,Abr,Araranguá,Chuvas Intensas,0
2014,Ago,Araranguá,Chuvas Intensas,0
2014,Dez,Araranguá,Chuvas Intensas,0
2014,Fev,Araranguá,Chuvas Intensas,0
2014,Jan,Araranguá,Chuvas Intensas,0
2014,Jul,Araranguá,Chuvas Intensas,0
2014,Jun,Araranguá,Chuvas Intensas,0
2014,Mai,Araranguá,Chuvas Intensas,0
2014,Mar,Araranguá,Chuvas Intensas,0
2014,Nov,Araranguá,Chuvas Intensas,0
2014,Out,Araranguá,Chuvas Intensas,0
2014,Set,Araranguá,Chuvas Intensas,0
2015,Abr,Araranguá,Chuvas Intensas,0
2015,Ago,Araranguá,Chuvas Intensas,0
2015,Dez,Araranguá,Chuvas Intensas,0
2015,Fev,Araranguá,Chuvas Intensas,0
2015,Jan,Araranguá,Chuvas Intensas,0
2015,Jul,Araranguá,Chuvas Intensas,0
2015,Jun,Araranguá,Chuvas Intensas,0
2015,Mai,Araranguá,Chuvas Intensas,0
2015,Mar,Araranguá,Chuvas Intensas,0
2015,Nov,Araranguá,Chuvas Intensas,0
2015,Out,Araranguá,Chuvas Intensas,0
2015,Set,Araranguá,Chuvas Intensas,0
2016,Abr,Araranguá,Chuvas Intensas,0
2016,Ago,Araranguá,Chuvas Intensas,0
2016,Dez,Araranguá,Chuvas Intensas,0
2016,Fev,Araranguá,Chuvas Intensas,0
2016,Jan,Araranguá,Chuvas Intensas,0
2016,Jul,Araranguá,Chuvas Intensas,0
2016,Jun,Araranguá,Chuvas Intensas,0
2016,Mai,Araranguá,Chuvas Intensas,0
2016,Mar,Araranguá,Chuvas Intensas,0
2016,Nov,Araranguá,Chuvas Intensas,0
2016,Out,Araranguá,Chuvas Intensas,0
2016,Set,Araranguá,Chuvas Intensas,0
2017,Abr,Araranguá,Chuvas Intensas,0
2017,Ago,Araranguá,Chuvas Intensas,0
2017,Dez,Araranguá,Chuvas Intensas,0
2017,Fev,Araranguá,Chuvas Intensas,0
2017,Jan,Araranguá,Chuvas Intensas,0
2017,Jul,Araranguá,Chuvas Intensas,0
2017,Jun,Araranguá,Chuvas Intensas,0
2017,Mai,Araranguá,Chuvas Intensas,0
2017,Mar,Araranguá,Chuvas Intensas,0
2017,Nov,Araranguá,Chuvas Intensas,0
2017,Out,Araranguá,Chuvas Intensas,0
2017,Set,Araranguá,Chuvas Intensas,0
2018,Abr,Araranguá,Chuvas Intensas,0
2018,Ago,Araranguá,Chuvas Intensas,0
2018,Dez,Araranguá,Chuvas Intensas,0
2018,Fev,Araranguá,Chuvas Intensas,0
2018,Jan,Araranguá,Chuvas Intensas,0
2018,Jul,Araranguá,Chuvas Intensas,0
2018,Jun,Araranguá,Chuvas Intensas,0
2018,Mai,Araranguá,Chuvas Intensas,0
2018,Mar,Araranguá,Chuvas Intensas,0
2018,Nov,Araranguá,Chuvas Intensas,0
2018,Out,Araranguá,Chuvas Intensas,0
2018,Set,Araranguá,Chuvas Intensas,0
2019,Abr,Araranguá,Chuvas Intensas,0
2019,Ago,Araranguá,Chuvas Intensas,0
2019,Dez,Araranguá,Chuvas Intensas,0
2019,Fev,Araranguá,Chuvas Intensas,0
2019,Jan,Araranguá,Chuvas Intensas,0
2019,Jul,Araranguá,Chuvas Intensas,0
2019,Jun,Araranguá,Chuvas Intensas,0
2019,Mai,Araranguá,Chuvas Intensas,0
2019,Mar,Araranguá,Chuvas Intensas,0
2019,Nov,Araranguá,Chuvas Intensas,0
2019,Out,Araranguá,Chuvas Intensas,0
2019,Set,Araranguá,Chuvas Intensas,0
2020,Abr,Araranguá,Chuvas Intensas,0
2020,Ago,Araranguá,Chuvas Intensas,0
2020,Dez,Araranguá,Chuvas Intensas,0
