nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Araranguá,Chuvas Intensas,Mai,2022,1
Araranguá,Chuvas Intensas,Mai,2024,2
Araranguá,Chuvas Intensas,Ago,2022,1
Araranguá,Chuvas Intensas,Out,2023,1
Araranguá,Chuvas Intensas,Nov,2021,1
Araranguá,Chuvas Intensas,Nov,2022,1
Araranguá,Chuvas Intensas,Dez,2021,1
Araranguá,Enxurradas,Jan,2009,1
Araranguá,Enxurradas,Jan,2011,1
Araranguá,Enxurradas,Jan,2022,1
Araranguá,Enxurradas,Fev,2000,1
Araranguá,Enxurradas,Fev,2014,2
Araranguá,Enxurradas,Mar,2010,1
Araranguá,Enxurradas,Abr,2015,1
Araranguá,Enxurradas,Mai,1994,1
Araranguá,Enxurradas,Mai,2010,1
Araranguá,Enxurradas,Mai,2015,1
Araranguá,Enxurradas,Ago,2013,1
Araranguá,Enxurradas,Ago,2022,1
Araranguá,Enxurradas,Set,1996,1
Araranguá,Enxurradas,Set,2001,1
Araranguá,Enxurradas,Set,2009,1
Araranguá,Enxurradas,Nov,1993,1
Araranguá,Enxurradas,Nov,2008,1
Araranguá,Enxurradas,Dez,1995,1
Araranguá,Inundações,Mai,2004,1
Araranguá,Inundações,Ago,2005,1
