ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Araranguá,Movimento de Massa,0
1991,Ago,Araranguá,Movimento de Massa,0
1991,Dez,Araranguá,Movimento de Massa,0
1991,Fev,Araranguá,Movimento de Massa,0
1991,Jan,Araranguá,Movimento de Massa,0
1991,Jul,Araranguá,Movimento de Massa,0
1991,Jun,Araranguá,Movimento de Massa,0
1991,Mai,Araranguá,Movimento de Massa,0
1991,Mar,Araranguá,Movimento de Massa,0
1991,Nov,Araranguá,Movimento de Massa,0
1991,Out,Araranguá,Movimento de Massa,0
1991,Set,Araranguá,Movimento de Massa,0
1992,Abr,Araranguá,Movimento de Massa,0
1992,Ago,Araranguá,Movimento de Massa,0
1992,Dez,Araranguá,Movimento de Massa,0
1992,Fev,Araranguá,Movimento de Massa,0
1992,Jan,Araranguá,Movimento de Massa,0
1992,Jul,Araranguá,Movimento de Massa,0
1992,Jun,Araranguá,Movimento de Massa,0
1992,Mai,Araranguá,Movimento de Massa,0
1992,Mar,Araranguá,Movimento de Massa,0
1992,Nov,Araranguá,Movimento de Massa,0
1992,Out,Araranguá,Movimento de Massa,0
1992,Set,Araranguá,Movimento de Massa,0
1993,Abr,Araranguá,Movimento de Massa,0
1993,Ago,Araranguá,Movimento de Massa,0
1993,Dez,Araranguá,Movimento de Massa,0
1993,Fev,Araranguá,Movimento de Massa,0
1993,Jan,Araranguá,Movimento de Massa,0
1993,Jul,Araranguá,Movimento de Massa,0
1993,Jun,Araranguá,Movimento de Massa,0
1993,Mai,Araranguá,Movimento de Massa,0
1993,Mar,Araranguá,Movimento de Massa,0
1993,Nov,Araranguá,Movimento de Massa,0
1993,Out,Araranguá,Movimento de Massa,0
1993,Set,Araranguá,Movimento de Massa,0
1994,Abr,Araranguá,Movimento de Massa,0
1994,Ago,Araranguá,Movimento de Massa,0
1994,Dez,Araranguá,Movimento de Massa,0
1994,Fev,Araranguá,Movimento de Massa,0
1994,Jan,Araranguá,Movimento de Massa,0
1994,Jul,Araranguá,Movimento de Massa,0
1994,Jun,Araranguá,Movimento de Massa,0
1994,Mai,Araranguá,Movimento de Massa,0
1994,Mar,Araranguá,Movimento de Massa,0
1994,Nov,Araranguá,Movimento de Massa,0
1994,Out,Araranguá,Movimento de Massa,0
1994,Set,Araranguá,Movimento de Massa,0
1995,Abr,Araranguá,Movimento de Massa,0
1995,Ago,Araranguá,Movimento de Massa,0
1995,Dez,Araranguá,Movimento de Massa,0
1995,Fev,Araranguá,Movimento de Massa,0
