nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Balneário Barra do Sul,Alagamentos,Jan,2024,1
Balneário Barra do Sul,Alagamentos,Jun,2014,1
Balneário Barra do Sul,Chuvas Intensas,Jan,2024,2
Balneário Barra do Sul,Chuvas Intensas,Fev,2019,1
Balneário Barra do Sul,Chuvas Intensas,Fev,2020,1
Balneário Barra do Sul,Chuvas Intensas,Fev,2024,1
Balneário Barra do Sul,Chuvas Intensas,Mar,2022,1
Balneário Barra do Sul,Chuvas Intensas,Mar,2023,1
Balneário Barra do Sul,Enxurradas,Jan,2011,1
Balneário Barra do Sul,Enxurradas,Fev,2009,1
Balneário Barra do Sul,Enxurradas,Mar,1994,1
Balneário Barra do Sul,Enxurradas,Abr,2010,1
Balneário Barra do Sul,Enxurradas,Mai,2017,1
Balneário Barra do Sul,Enxurradas,Jul,2009,1
Balneário Barra do Sul,Enxurradas,Set,2011,1
Balneário Barra do Sul,Enxurradas,Nov,2008,1
Balneário Barra do Sul,Inundações,Mar,2021,1
Balneário Barra do Sul,Inundações,Dez,2015,1
