ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Balneário Camboriú,Alagamentos,0
1991,Ago,Balneário Camboriú,Alagamentos,0
1991,Dez,Balneário Camboriú,Alagamentos,0
1991,Fev,Balneário Camboriú,Alagamentos,0
1991,Jan,Balneário Camboriú,Alagamentos,0
1991,Jul,Balneário Camboriú,Alagamentos,0
1991,Jun,Balneário Camboriú,Alagamentos,0
1991,Mai,Balneário Camboriú,Alagamentos,0
1991,Mar,Balneário Camboriú,Alagamentos,0
1991,Nov,Balneário Camboriú,Alagamentos,0
1991,Out,Balneário Camboriú,Alagamentos,0
1991,Set,Balneário Camboriú,Alagamentos,0
1992,Abr,Balneário Camboriú,Alagamentos,0
1992,Ago,Balneário Camboriú,Alagamentos,0
1992,Dez,Balneário Camboriú,Alagamentos,0
1992,Fev,Balneário Camboriú,Alagamentos,0
1992,Jan,Balneário Camboriú,Alagamentos,0
1992,Jul,Balneário Camboriú,Alagamentos,0
1992,Jun,Balneário Camboriú,Alagamentos,0
1992,Mai,Balneário Camboriú,Alagamentos,0
1992,Mar,Balneário Camboriú,Alagamentos,0
1992,Nov,Balneário Camboriú,Alagamentos,0
1992,Out,Balneário Camboriú,Alagamentos,0
1992,Set,Balneário Camboriú,Alagamentos,0
1993,Abr,Balneário Camboriú,Alagamentos,0
1993,Ago,Balneário Camboriú,Alagamentos,0
1993,Dez,Balneário Camboriú,Alagamentos,0
1993,Fev,Balneário Camboriú,Alagamentos,0
1993,Jan,Balneário Camboriú,Alagamentos,0
1993,Jul,Balneário Camboriú,Alagamentos,0
1993,Jun,Balneário Camboriú,Alagamentos,0
1993,Mai,Balneário Camboriú,Alagamentos,0
1993,Mar,Balneário Camboriú,Alagamentos,0
1993,Nov,Balneário Camboriú,Alagamentos,0
1993,Out,Balneário Camboriú,Alagamentos,0
1993,Set,Balneário Camboriú,Alagamentos,0
1994,Abr,Balneário Camboriú,Alagamentos,0
1994,Ago,Balneário Camboriú,Alagamentos,0
1994,Dez,Balneário Camboriú,Alagamentos,0
1994,Fev,Balneário Camboriú,Alagamentos,0
1994,Jan,Balneário Camboriú,Alagamentos,0
1994,Jul,Balneário Camboriú,Alagamentos,0
1994,Jun,Balneário Camboriú,Alagamentos,0
1994,Mai,Balneário Camboriú,Alagamentos,0
1994,Mar,Balneário Camboriú,Alagamentos,0
1994,Nov,Balneário Camboriú,Alagamentos,0
1994,Out,Balneário Camboriú,Alagamentos,0
1994,Set,Balneário Camboriú,Alagamentos,0
1995,Abr,Balneário Camboriú,Alagamentos,0
1995,Ago,Balneário Camboriú,Alagamentos,0
1995,Dez,Balneário Camboriú,Alagamentos,0
1995,Fev,Balneário Camboriú,Alagamentos,0
1995,Jan,Balneário Camboriú,Alagamentos,0
1995,Jul,Balneário Camboriú,Alagamentos,0
1995,Jun,Balneário Camboriú,Alagamentos,0
1995,Mai,Balneário Camboriú,Alagamentos,0
1995,Mar,Balneário Camboriú,Alagamentos,0
1995,Nov,Balneário Camboriú,Alagamentos,0
1995,Out,Balneário Camboriú,Alagamentos,0
1995,Set,Balneário Camboriú,Alagamentos,0
1996,Abr,Balneário Camboriú,Alagamentos,0
1996,Ago,Balneário Camboriú,Alagamentos,0
1996,Dez,Balneário Camboriú,Alagamentos,0
1996,Fev,Balneário Camboriú,Alagamentos,0
1996,Jan,Balneário Camboriú,Alagamentos,0
1996,Jul,Balneário Camboriú,Alagamentos,0
1996,Jun,Balneário Camboriú,Alagamentos,0
1996,Mai,Balneário Camboriú,Alagamentos,0
1996,Mar,Balneário Camboriú,Alagamentos,0
