nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Balneário Camboriú,Chuvas Intensas,Jan,2018,1
Balneário Camboriú,Chuvas Intensas,Jan,2022,1
Balneário Camboriú,Chuvas Intensas,Jan,2023,2
Balneário Camboriú,Chuvas Intensas,Jan,2024,2
Balneário Camboriú,Chuvas Intensas,Mar,2020,3
Balneário Camboriú,Chuvas Intensas,Abr,2024,1
Balneário Camboriú,Chuvas Intensas,Mai,2021,3
Balneário Camboriú,Chuvas Intensas,Mai,2022,1
Balneário Camboriú,Chuvas Intensas,Jun,2021,1
Balneário Camboriú,Chuvas Intensas,Ago,2021,1
Balneário Camboriú,Chuvas Intensas,Set,2023,2
Balneário Camboriú,Chuvas Intensas,Out,2023,3
Balneário Camboriú,Enxurradas,Jan,2008,1
Balneário Camboriú,Enxurradas,Fev,2015,1
Balneário Camboriú,Enxurradas,Mar,2004,1
Balneário Camboriú,Enxurradas,Mai,1994,1
Balneário Camboriú,Enxurradas,Out,1991,1
Balneário Camboriú,Enxurradas,Nov,2008,1
Balneário Camboriú,Enxurradas,Dez,2007,1
Balneário Camboriú,Inundações,Ago,2020,1
Balneário Camboriú,Inundações,Set,2011,1
Balneário Camboriú,Inundações,Dez,2022,1
Balneário Camboriú,Movimento de Massa,Abr,2019,1
