nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Balneário Gaivota,Chuvas Intensas,Mai,2024,1
Balneário Gaivota,Chuvas Intensas,Jun,2024,1
Balneário Gaivota,Chuvas Intensas,Out,2023,1
Balneário Gaivota,Chuvas Intensas,Nov,2023,1
Balneário Gaivota,Enxurradas,Mai,2004,1
Balneário Gaivota,Enxurradas,Mai,2010,1
Balneário Gaivota,Enxurradas,Jun,2017,1
Balneário Gaivota,Enxurradas,Jun,2021,1
Balneário Gaivota,Enxurradas,Jul,2011,1
Balneário Gaivota,Enxurradas,Set,2009,1
Balneário Gaivota,Enxurradas,Dez,2016,1
Balneário Gaivota,Inundações,Fev,2003,1
Balneário Gaivota,Inundações,Ago,2005,1
Balneário Gaivota,Inundações,Set,2001,1
