nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Balneário Piçarras,Alagamentos,Jan,2022,1
Balneário Piçarras,Alagamentos,Fev,2011,1
Balneário Piçarras,Alagamentos,Mar,2022,1
Balneário Piçarras,Alagamentos,Abr,2022,1
Balneário Piçarras,Alagamentos,Mai,2021,2
Balneário Piçarras,Alagamentos,Jun,2021,1
Balneário Piçarras,Alagamentos,Out,2024,1
Balneário Piçarras,Chuvas Intensas,Jan,2021,1
Balneário Piçarras,Chuvas Intensas,Fev,2019,1
Balneário Piçarras,Chuvas Intensas,Mai,2021,1
Balneário Piçarras,Chuvas Intensas,Dez,2022,1
Balneário Piçarras,Enxurradas,Jan,2008,1
Balneário Piçarras,Enxurradas,Abr,2009,1
Balneário Piçarras,Enxurradas,Abr,2010,1
Balneário Piçarras,Enxurradas,Abr,2013,1
Balneário Piçarras,Enxurradas,Set,2009,1
Balneário Piçarras,Enxurradas,Nov,2008,1
Balneário Piçarras,Inundações,Mar,2023,1
Balneário Piçarras,Movimento de Massa,Mai,2021,1
