nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Barra Velha,Alagamentos,Jan,2021,1
Barra Velha,Alagamentos,Fev,2019,1
Barra Velha,Alagamentos,Mar,2018,2
Barra Velha,Alagamentos,Jun,2021,1
Barra Velha,Alagamentos,Dez,2022,1
Barra Velha,Alagamentos,Dez,2024,1
Barra Velha,Chuvas Intensas,Jan,2018,1
Barra Velha,Chuvas Intensas,Jan,2019,1
Barra Velha,Chuvas Intensas,Jan,2020,2
Barra Velha,Chuvas Intensas,Abr,2013,1
Barra Velha,Chuvas Intensas,Out,2023,1
Barra Velha,Chuvas Intensas,Nov,2022,1
Barra Velha,Enxurradas,Jan,2009,1
Barra Velha,Enxurradas,Jan,2011,1
Barra Velha,Enxurradas,Jan,2017,1
Barra Velha,Enxurradas,Fev,2020,1
Barra Velha,Enxurradas,Fev,2022,1
Barra Velha,Enxurradas,Mar,2023,1
Barra Velha,Enxurradas,Abr,2010,1
Barra Velha,Enxurradas,Nov,2008,1
Barra Velha,Enxurradas,Nov,2018,1
Barra Velha,Inundações,Out,2024,1
Barra Velha,Inundações,Nov,2003,1
Barra Velha,Movimento de Massa,Jan,2023,1
