ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Barra Velha,Movimento de Massa,0
1991,Ago,Barra Velha,Movimento de Massa,0
1991,Dez,Barra Velha,Movimento de Massa,0
1991,Fev,Barra Velha,Movimento de Massa,0
1991,Jan,Barra Velha,Movimento de Massa,0
1991,Jul,Barra Velha,Movimento de Massa,0
1991,Jun,Barra Velha,Movimento de Massa,0
1991,Mai,Barra Velha,Movimento de Massa,0
1991,Mar,Barra Velha,Movimento de Massa,0
1991,Nov,Barra Velha,Movimento de Massa,0
1991,Out,Barra Velha,Movimento de Massa,0
1991,Set,Barra Velha,Movimento de Massa,0
1992,Abr,Barra Velha,Movimento de Massa,0
1992,Ago,Barra Velha,Movimento de Massa,0
1992,Dez,Barra Velha,Movimento de Massa,0
1992,Fev,Barra Velha,Movimento de Massa,0
1992,Jan,Barra Velha,Movimento de Massa,0
1992,Jul,Barra Velha,Movimento de Massa,0
1992,Jun,Barra Velha,Movimento de Massa,0
1992,Mai,Barra Velha,Movimento de Massa,0
1992,Mar,Barra Velha,Movimento de Massa,0
1992,Nov,Barra Velha,Movimento de Massa,0
1992,Out,Barra Velha,Movimento de Massa,0
1992,Set,Barra Velha,Movimento de Massa,0
1993,Abr,Barra Velha,Movimento de Massa,0
1993,Ago,Barra Velha,Movimento de Massa,0
1993,Dez,Barra Velha,Movimento de Massa,0
1993,Fev,Barra Velha,Movimento de Massa,0
1993,Jan,Barra Velha,Movimento de Massa,0
1993,Jul,Barra Velha,Movimento de Massa,0
1993,Jun,Barra Velha,Movimento de Massa,0
1993,Mai,Barra Velha,Movimento de Massa,0
1993,Mar,Barra Velha,Movimento de Massa,0
1993,Nov,Barra Velha,Movimento de Massa,0
1993,Out,Barra Velha,Movimento de Massa,0
1993,Set,Barra Velha,Movimento de Massa,0
1994,Abr,Barra Velha,Movimento de Massa,0
1994,Ago,Barra Velha,Movimento de Massa,0
1994,Dez,Barra Velha,Movimento de Massa,0
1994,Fev,Barra Velha,Movimento de Massa,0
1994,Jan,Barra Velha,Movimento de Massa,0
1994,Jul,Barra Velha,Movimento de Massa,0
1994,Jun,Barra Velha,Movimento de Massa,0
1994,Mai,Barra Velha,Movimento de Massa,0
1994,Mar,Barra Velha,Movimento de Massa,0
1994,Nov,Barra Velha,Movimento de Massa,0
1994,Out,Barra Velha,Movimento de Massa,0
1994,Set,Barra Velha,Movimento de Massa,0
1995,Abr,Barra Velha,Movimento de Massa,0
1995,Ago,Barra Velha,Movimento de Massa,0
1995,Dez,Barra Velha,Movimento de Massa,0
1995,Fev,Barra Velha,Movimento de Massa,0
1995,Jan,Barra Velha,Movimento de Massa,0
1995,Jul,Barra Velha,Movimento de Massa,0
1995,Jun,Barra Velha,Movimento de Massa,0
1995,Mai,Barra Velha,Movimento de Massa,0
1995,Mar,Barra Velha,Movimento de Massa,0
1995,Nov,Barra Velha,Movimento de Massa,0
1995,Out,Barra Velha,Movimento de Massa,0
1995,Set,Barra Velha,Movimento de Massa,0
1996,Abr,Barra Velha,Movimento de Massa,0
1996,Ago,Barra Velha,Movimento de Massa,0
1996,Dez,Barra Velha,Movimento de Massa,0
1996,Fev,Barra Velha,Movimento de Massa,0
1996,Jan,Barra Velha,Movimento de Massa,0
1996,Jul,Barra Velha,Movimento de Massa,0
1996,Jun,Barra Velha,Movimento de Massa,0
1996,Mai,Barra Velha,Movimento de Massa,0
1996,Mar,Barra Velha,Movimento de Massa,0
1996,Nov,Barra Velha,Movimento de Massa,0
1996,Out,Barra Velha,Movimento de Massa,0
1996,Set,Barra Velha,Movimento de Massa,0
1997,Abr,Barra Velha,Movimento de Massa,0
1997,Ago,Barra Velha,Movimento de Massa,0
1997,Dez,Barra Velha,Movimento de Massa,0
1997,Fev,Barra Velha,Movimento de Massa,0
1997,Jan,Barra Velha,Movimento de Massa,0
1997,Jul,Barra Velha,Movimento de Massa,0
1997,Jun,Barra Velha,Movimento de Massa,0
1997,Mai,Barra Velha,Movimento de Massa,0
1997,Mar,Barra Velha,Movimento de Massa,0
1997,Nov,Barra Velha,Movimento de Massa,0
1997,Out,Barra Velha,Movimento de Massa,0
1997,Set,Barra Velha,Movimento de Massa,0
1998,Abr,Barra Velha,Movimento de Massa,0
1998,Ago,Barra Velha,Movimento de Massa,0
1998,Dez,Barra Velha,Movimento de Massa,0
