ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Biguaçu,Enxurradas,0
1991,Ago,Biguaçu,Enxurradas,0
1991,Dez,Biguaçu,Enxurradas,0
1991,Fev,Biguaçu,Enxurradas,0
1991,Jan,Biguaçu,Enxurradas,0
1991,Jul,Biguaçu,Enxurradas,0
1991,Jun,Biguaçu,Enxurradas,0
1991,Mai,Biguaçu,Enxurradas,0
1991,Mar,Biguaçu,Enxurradas,0
1991,Nov,Biguaçu,Enxurradas,0
1991,Out,Biguaçu,Enxurradas,1
1991,Set,Biguaçu,Enxurradas,0
1992,Abr,Biguaçu,Enxurradas,0
1992,Ago,Biguaçu,Enxurradas,0
1992,Dez,Biguaçu,Enxurradas,0
1992,Fev,Biguaçu,Enxurradas,0
1992,Jan,Biguaçu,Enxurradas,0
1992,Jul,Biguaçu,Enxurradas,0
1992,Jun,Biguaçu,Enxurradas,0
1992,Mai,Biguaçu,Enxurradas,0
1992,Mar,Biguaçu,Enxurradas,0
1992,Nov,Biguaçu,Enxurradas,0
1992,Out,Biguaçu,Enxurradas,0
1992,Set,Biguaçu,Enxurradas,0
1993,Abr,Biguaçu,Enxurradas,0
1993,Ago,Biguaçu,Enxurradas,0
1993,Dez,Biguaçu,Enxurradas,0
1993,Fev,Biguaçu,Enxurradas,0
1993,Jan,Biguaçu,Enxurradas,0
1993,Jul,Biguaçu,Enxurradas,0
1993,Jun,Biguaçu,Enxurradas,0
1993,Mai,Biguaçu,Enxurradas,0
1993,Mar,Biguaçu,Enxurradas,0
1993,Nov,Biguaçu,Enxurradas,0
1993,Out,Biguaçu,Enxurradas,0
1993,Set,Biguaçu,Enxurradas,0
1994,Abr,Biguaçu,Enxurradas,0
1994,Ago,Biguaçu,Enxurradas,0
1994,Dez,Biguaçu,Enxurradas,0
1994,Fev,Biguaçu,Enxurradas,1
1994,Jan,Biguaçu,Enxurradas,0
1994,Jul,Biguaçu,Enxurradas,0
1994,Jun,Biguaçu,Enxurradas,0
1994,Mai,Biguaçu,Enxurradas,0
1994,Mar,Biguaçu,Enxurradas,0
1994,Nov,Biguaçu,Enxurradas,0
1994,Out,Biguaçu,Enxurradas,0
1994,Set,Biguaçu,Enxurradas,0
1995,Abr,Biguaçu,Enxurradas,0
1995,Ago,Biguaçu,Enxurradas,0
1995,Dez,Biguaçu,Enxurradas,1
1995,Fev,Biguaçu,Enxurradas,0
1995,Jan,Biguaçu,Enxurradas,1
