nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Biguaçu,Alagamentos,Jan,2018,1
Biguaçu,Chuvas Intensas,Jan,2019,1
Biguaçu,Chuvas Intensas,Mar,2021,1
Biguaçu,Chuvas Intensas,Out,2023,1
Biguaçu,Chuvas Intensas,Nov,2023,1
Biguaçu,Chuvas Intensas,Nov,2024,1
Biguaçu,Chuvas Intensas,Dez,2022,1
Biguaçu,Enxurradas,Jan,1995,1
Biguaçu,Enxurradas,Jan,1997,1
Biguaçu,Enxurradas,Jan,2004,1
Biguaçu,Enxurradas,Jan,2006,1
Biguaçu,Enxurradas,Jan,2008,1
Biguaçu,Enxurradas,Jan,2011,1
Biguaçu,Enxurradas,Jan,2022,1
Biguaçu,Enxurradas,Fev,1994,1
Biguaçu,Enxurradas,Fev,2022,1
Biguaçu,Enxurradas,Mar,2010,1
Biguaçu,Enxurradas,Mai,2022,1
Biguaçu,Enxurradas,Ago,2022,1
Biguaçu,Enxurradas,Set,2011,1
Biguaçu,Enxurradas,Out,1991,1
Biguaçu,Enxurradas,Out,2022,1
Biguaçu,Enxurradas,Nov,2008,1
Biguaçu,Enxurradas,Dez,1995,1
Biguaçu,Enxurradas,Dez,2016,1
Biguaçu,Inundações,Jan,2000,1
Biguaçu,Inundações,Set,2011,1
Biguaçu,Inundações,Nov,2021,1
Biguaçu,Movimento de Massa,Out,2024,1
