ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Biguaçu,Movimento de Massa,0
1991,Ago,Biguaçu,Movimento de Massa,0
1991,Dez,Biguaçu,Movimento de Massa,0
1991,Fev,Biguaçu,Movimento de Massa,0
1991,Jan,Biguaçu,Movimento de Massa,0
1991,Jul,Biguaçu,Movimento de Massa,0
1991,Jun,Biguaçu,Movimento de Massa,0
1991,Mai,Biguaçu,Movimento de Massa,0
1991,Mar,Biguaçu,Movimento de Massa,0
1991,Nov,Biguaçu,Movimento de Massa,0
1991,Out,Biguaçu,Movimento de Massa,0
1991,Set,Biguaçu,Movimento de Massa,0
1992,Abr,Biguaçu,Movimento de Massa,0
1992,Ago,Biguaçu,Movimento de Massa,0
1992,Dez,Biguaçu,Movimento de Massa,0
1992,Fev,Biguaçu,Movimento de Massa,0
1992,Jan,Biguaçu,Movimento de Massa,0
1992,Jul,Biguaçu,Movimento de Massa,0
1992,Jun,Biguaçu,Movimento de Massa,0
1992,Mai,Biguaçu,Movimento de Massa,0
1992,Mar,Biguaçu,Movimento de Massa,0
1992,Nov,Biguaçu,Movimento de Massa,0
1992,Out,Biguaçu,Movimento de Massa,0
1992,Set,Biguaçu,Movimento de Massa,0
1993,Abr,Biguaçu,Movimento de Massa,0
1993,Ago,Biguaçu,Movimento de Massa,0
1993,Dez,Biguaçu,Movimento de Massa,0
1993,Fev,Biguaçu,Movimento de Massa,0
1993,Jan,Biguaçu,Movimento de Massa,0
1993,Jul,Biguaçu,Movimento de Massa,0
1993,Jun,Biguaçu,Movimento de Massa,0
1993,Mai,Biguaçu,Movimento de Massa,0
1993,Mar,Biguaçu,Movimento de Massa,0
1993,Nov,Biguaçu,Movimento de Massa,0
1993,Out,Biguaçu,Movimento de Massa,0
1993,Set,Biguaçu,Movimento de Massa,0
1994,Abr,Biguaçu,Movimento de Massa,0
1994,Ago,Biguaçu,Movimento de Massa,0
1994,Dez,Biguaçu,Movimento de Massa,0
1994,Fev,Biguaçu,Movimento de Massa,0
1994,Jan,Biguaçu,Movimento de Massa,0
1994,Jul,Biguaçu,Movimento de Massa,0
1994,Jun,Biguaçu,Movimento de Massa,0
1994,Mai,Biguaçu,Movimento de Massa,0
1994,Mar,Biguaçu,Movimento de Massa,0
1994,Nov,Biguaçu,Movimento de Massa,0
1994,Out,Biguaçu,Movimento de Massa,0
1994,Set,Biguaçu,Movimento de Massa,0
1995,Abr,Biguaçu,Movimento de Massa,0
1995,Ago,Biguaçu,Movimento de Massa,0
1995,Dez,Biguaçu,Movimento de Massa,0
1995,Fev,Biguaçu,Movimento de Massa,0
1995,Jan,Biguaçu,Movimento de Massa,0
1995,Jul,Biguaçu,Movimento de Massa,0
1995,Jun,Biguaçu,Movimento de Massa,0
1995,Mai,Biguaçu,Movimento de Massa,0
1995,Mar,Biguaçu,Movimento de Massa,0
1995,Nov,Biguaçu,Movimento de Massa,0
1995,Out,Biguaçu,Movimento de Massa,0
1995,Set,Biguaçu,Movimento de Massa,0
1996,Abr,Biguaçu,Movimento de Massa,0
1996,Ago,Biguaçu,Movimento de Massa,0
1996,Dez,Biguaçu,Movimento de Massa,0
1996,Fev,Biguaçu,Movimento de Massa,0
1996,Jan,Biguaçu,Movimento de Massa,0
1996,Jul,Biguaçu,Movimento de Massa,0
1996,Jun,Biguaçu,Movimento de Massa,0
1996,Mai,Biguaçu,Movimento de Massa,0
1996,Mar,Biguaçu,Movimento de Massa,0
1996,Nov,Biguaçu,Movimento de Massa,0
1996,Out,Biguaçu,Movimento de Massa,0
1996,Set,Biguaçu,Movimento de Massa,0
