ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Bombinhas,Chuvas Intensas,0
1991,Ago,Bombinhas,Chuvas Intensas,0
1991,Dez,Bombinhas,Chuvas Intensas,0
1991,Fev,Bombinhas,Chuvas Intensas,0
1991,Jan,Bombinhas,Chuvas Intensas,0
1991,Jul,Bombinhas,Chuvas Intensas,0
1991,Jun,Bombinhas,Chuvas Intensas,0
1991,Mai,Bombinhas,Chuvas Intensas,0
1991,Mar,Bombinhas,Chuvas Intensas,0
1991,Nov,Bombinhas,Chuvas Intensas,0
1991,Out,Bombinhas,Chuvas Intensas,0
1991,Set,Bombinhas,Chuvas Intensas,0
1992,Abr,Bombinhas,Chuvas Intensas,0
1992,Ago,Bombinhas,Chuvas Intensas,0
1992,Dez,Bombinhas,Chuvas Intensas,0
1992,Fev,Bombinhas,Chuvas Intensas,0
1992,Jan,Bombinhas,Chuvas Intensas,0
1992,Jul,Bombinhas,Chuvas Intensas,0
1992,Jun,Bombinhas,Chuvas Intensas,0
1992,Mai,Bombinhas,Chuvas Intensas,0
1992,Mar,Bombinhas,Chuvas Intensas,0
1992,Nov,Bombinhas,Chuvas Intensas,0
1992,Out,Bombinhas,Chuvas Intensas,0
1992,Set,Bombinhas,Chuvas Intensas,0
1993,Abr,Bombinhas,Chuvas Intensas,0
1993,Ago,Bombinhas,Chuvas Intensas,0
1993,Dez,Bombinhas,Chuvas Intensas,0
1993,Fev,Bombinhas,Chuvas Intensas,0
1993,Jan,Bombinhas,Chuvas Intensas,0
1993,Jul,Bombinhas,Chuvas Intensas,0
1993,Jun,Bombinhas,Chuvas Intensas,0
1993,Mai,Bombinhas,Chuvas Intensas,0
1993,Mar,Bombinhas,Chuvas Intensas,0
1993,Nov,Bombinhas,Chuvas Intensas,0
1993,Out,Bombinhas,Chuvas Intensas,0
1993,Set,Bombinhas,Chuvas Intensas,0
1994,Abr,Bombinhas,Chuvas Intensas,0
1994,Ago,Bombinhas,Chuvas Intensas,0
1994,Dez,Bombinhas,Chuvas Intensas,0
1994,Fev,Bombinhas,Chuvas Intensas,0
1994,Jan,Bombinhas,Chuvas Intensas,0
1994,Jul,Bombinhas,Chuvas Intensas,0
1994,Jun,Bombinhas,Chuvas Intensas,0
1994,Mai,Bombinhas,Chuvas Intensas,0
1994,Mar,Bombinhas,Chuvas Intensas,0
1994,Nov,Bombinhas,Chuvas Intensas,0
1994,Out,Bombinhas,Chuvas Intensas,0
1994,Set,Bombinhas,Chuvas Intensas,0
1995,Abr,Bombinhas,Chuvas Intensas,0
1995,Ago,Bombinhas,Chuvas Intensas,0
1995,Dez,Bombinhas,Chuvas Intensas,0
1995,Fev,Bombinhas,Chuvas Intensas,0
1995,Jan,Bombinhas,Chuvas Intensas,0
1995,Jul,Bombinhas,Chuvas Intensas,0
1995,Jun,Bombinhas,Chuvas Intensas,0
1995,Mai,Bombinhas,Chuvas Intensas,0
1995,Mar,Bombinhas,Chuvas Intensas,0
1995,Nov,Bombinhas,Chuvas Intensas,0
1995,Out,Bombinhas,Chuvas Intensas,0
1995,Set,Bombinhas,Chuvas Intensas,0
1996,Abr,Bombinhas,Chuvas Intensas,0
1996,Ago,Bombinhas,Chuvas Intensas,0
1996,Dez,Bombinhas,Chuvas Intensas,0
1996,Fev,Bombinhas,Chuvas Intensas,0
1996,Jan,Bombinhas,Chuvas Intensas,0
1996,Jul,Bombinhas,Chuvas Intensas,0
1996,Jun,Bombinhas,Chuvas Intensas,0
1996,Mai,Bombinhas,Chuvas Intensas,0
1996,Mar,Bombinhas,Chuvas Intensas,0
1996,Nov,Bombinhas,Chuvas Intensas,0
1996,Out,Bombinhas,Chuvas Intensas,0
1996,Set,Bombinhas,Chuvas Intensas,0
1997,Abr,Bombinhas,Chuvas Intensas,0
1997,Ago,Bombinhas,Chuvas Intensas,0
1997,Dez,Bombinhas,Chuvas Intensas,0
1997,Fev,Bombinhas,Chuvas Intensas,0
1997,Jan,Bombinhas,Chuvas Intensas,0
1997,Jul,Bombinhas,Chuvas Intensas,0
1997,Jun,Bombinhas,Chuvas Intensas,0
1997,Mai,Bombinhas,Chuvas Intensas,0
1997,Mar,Bombinhas,Chuvas Intensas,0
1997,Nov,Bombinhas,Chuvas Intensas,0
1997,Out,Bombinhas,Chuvas Intensas,0
1997,Set,Bombinhas,Chuvas Intensas,0
1998,Abr,Bombinhas,Chuvas Intensas,0
1998,Ago,Bombinhas,Chuvas Intensas,0
1998,Dez,Bombinhas,Chuvas Intensas,0
1998,Fev,Bombinhas,Chuvas Intensas,0
1998,Jan,Bombinhas,Chuvas Intensas,0
1998,Jul,Bombinhas,Chuvas Intensas,0
1998,Jun,Bombinhas,Chuvas Intensas,0
1998,Mai,Bombinhas,Chuvas Intensas,0
1998,Mar,Bombinhas,Chuvas Intensas,0
1998,Nov,Bombinhas,Chuvas Intensas,0
1998,Out,Bombinhas,Chuvas Intensas,0
1998,Set,Bombinhas,Chuvas Intensas,0
1999,Abr,Bombinhas,Chuvas Intensas,0
1999,Ago,Bombinhas,Chuvas Intensas,0
1999,Dez,Bombinhas,Chuvas Intensas,0
1999,Fev,Bombinhas,Chuvas Intensas,0
1999,Jan,Bombinhas,Chuvas Intensas,0
1999,Jul,Bombinhas,Chuvas Intensas,0
1999,Jun,Bombinhas,Chuvas Intensas,0
1999,Mai,Bombinhas,Chuvas Intensas,0
1999,Mar,Bombinhas,Chuvas Intensas,0
1999,Nov,Bombinhas,Chuvas Intensas,0
1999,Out,Bombinhas,Chuvas Intensas,0
1999,Set,Bombinhas,Chuvas Intensas,0
2000,Abr,Bombinhas,Chuvas Intensas,0
2000,Ago,Bombinhas,Chuvas Intensas,0
2000,Dez,Bombinhas,Chuvas Intensas,0
2000,Fev,Bombinhas,Chuvas Intensas,0
2000,Jan,Bombinhas,Chuvas Intensas,0
2000,Jul,Bombinhas,Chuvas Intensas,0
2000,Jun,Bombinhas,Chuvas Intensas,0
2000,Mai,Bombinhas,Chuvas Intensas,0
2000,Mar,Bombinhas,Chuvas Intensas,0
2000,Nov,Bombinhas,Chuvas Intensas,0
2000,Out,Bombinhas,Chuvas Intensas,0
2000,Set,Bombinhas,Chuvas Intensas,0
2001,Abr,Bombinhas,Chuvas Intensas,0
2001,Ago,Bombinhas,Chuvas Intensas,0
2001,Dez,Bombinhas,Chuvas Intensas,0
2001,Fev,Bombinhas,Chuvas Intensas,0
2001,Jan,Bombinhas,Chuvas Intensas,0
2001,Jul,Bombinhas,Chuvas Intensas,0
2001,Jun,Bombinhas,Chuvas Intensas,0
2001,Mai,Bombinhas,Chuvas Intensas,0
2001,Mar,Bombinhas,Chuvas Intensas,0
2001,Nov,Bombinhas,Chuvas Intensas,0
2001,Out,Bombinhas,Chuvas Intensas,0
2001,Set,Bombinhas,Chuvas Intensas,0
