ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Florianópolis,Alagamentos,0
1991,Ago,Florianópolis,Alagamentos,0
1991,Dez,Florianópolis,Alagamentos,0
1991,Fev,Florianópolis,Alagamentos,0
1991,Jan,Florianópolis,Alagamentos,0
1991,Jul,Florianópolis,Alagamentos,0
1991,Jun,Florianópolis,Alagamentos,0
1991,Mai,Florianópolis,Alagamentos,0
1991,Mar,Florianópolis,Alagamentos,0
1991,Nov,Florianópolis,Alagamentos,0
1991,Out,Florianópolis,Alagamentos,0
1991,Set,Florianópolis,Alagamentos,0
1992,Abr,Florianópolis,Alagamentos,0
1992,Ago,Florianópolis,Alagamentos,0
1992,Dez,Florianópolis,Alagamentos,0
1992,Fev,Florianópolis,Alagamentos,0
1992,Jan,Florianópolis,Alagamentos,0
1992,Jul,Florianópolis,Alagamentos,0
1992,Jun,Florianópolis,Alagamentos,0
1992,Mai,Florianópolis,Alagamentos,0
1992,Mar,Florianópolis,Alagamentos,0
1992,Nov,Florianópolis,Alagamentos,0
1992,Out,Florianópolis,Alagamentos,0
1992,Set,Florianópolis,Alagamentos,0
1993,Abr,Florianópolis,Alagamentos,0
1993,Ago,Florianópolis,Alagamentos,0
1993,Dez,Florianópolis,Alagamentos,0
1993,Fev,Florianópolis,Alagamentos,0
1993,Jan,Florianópolis,Alagamentos,0
1993,Jul,Florianópolis,Alagamentos,0
1993,Jun,Florianópolis,Alagamentos,0
1993,Mai,Florianópolis,Alagamentos,0
1993,Mar,Florianópolis,Alagamentos,0
1993,Nov,Florianópolis,Alagamentos,0
1993,Out,Florianópolis,Alagamentos,0
1993,Set,Florianópolis,Alagamentos,0
1994,Abr,Florianópolis,Alagamentos,0
1994,Ago,Florianópolis,Alagamentos,0
1994,Dez,Florianópolis,Alagamentos,0
1994,Fev,Florianópolis,Alagamentos,0
1994,Jan,Florianópolis,Alagamentos,0
1994,Jul,Florianópolis,Alagamentos,0
1994,Jun,Florianópolis,Alagamentos,0
1994,Mai,Florianópolis,Alagamentos,0
1994,Mar,Florianópolis,Alagamentos,0
1994,Nov,Florianópolis,Alagamentos,0
1994,Out,Florianópolis,Alagamentos,0
1994,Set,Florianópolis,Alagamentos,0
1995,Abr,Florianópolis,Alagamentos,0
1995,Ago,Florianópolis,Alagamentos,0
1995,Dez,Florianópolis,Alagamentos,0
1995,Fev,Florianópolis,Alagamentos,0
1995,Jan,Florianópolis,Alagamentos,0
1995,Jul,Florianópolis,Alagamentos,0
1995,Jun,Florianópolis,Alagamentos,0
1995,Mai,Florianópolis,Alagamentos,0
1995,Mar,Florianópolis,Alagamentos,0
1995,Nov,Florianópolis,Alagamentos,0
1995,Out,Florianópolis,Alagamentos,0
1995,Set,Florianópolis,Alagamentos,0
1996,Abr,Florianópolis,Alagamentos,0
1996,Ago,Florianópolis,Alagamentos,0
1996,Dez,Florianópolis,Alagamentos,0
1996,Fev,Florianópolis,Alagamentos,0
1996,Jan,Florianópolis,Alagamentos,0
1996,Jul,Florianópolis,Alagamentos,0
1996,Jun,Florianópolis,Alagamentos,0
1996,Mai,Florianópolis,Alagamentos,0
1996,Mar,Florianópolis,Alagamentos,0
1996,Nov,Florianópolis,Alagamentos,0
1996,Out,Florianópolis,Alagamentos,0
1996,Set,Florianópolis,Alagamentos,0
1997,Abr,Florianópolis,Alagamentos,0
1997,Ago,Florianópolis,Alagamentos,0
1997,Dez,Florianópolis,Alagamentos,0
1997,Fev,Florianópolis,Alagamentos,0
1997,Jan,Florianópolis,Alagamentos,0
1997,Jul,Florianópolis,Alagamentos,0
