nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Florianópolis,Alagamentos,Mar,2020,1
Florianópolis,Alagamentos,Mai,2024,1
Florianópolis,Alagamentos,Dez,2020,1
Florianópolis,Chuvas Intensas,Jan,2018,1
Florianópolis,Chuvas Intensas,Jan,2019,1
Florianópolis,Chuvas Intensas,Jan,2020,1
Florianópolis,Chuvas Intensas,Jan,2021,1
Florianópolis,Chuvas Intensas,Abr,2024,1
Florianópolis,Chuvas Intensas,Mai,2022,1
Florianópolis,Chuvas Intensas,Jun,2021,1
Florianópolis,Chuvas Intensas,Ago,2022,1
Florianópolis,Chuvas Intensas,Out,2023,2
Florianópolis,Chuvas Intensas,Nov,2022,1
Florianópolis,Chuvas Intensas,Nov,2023,1
Florianópolis,Chuvas Intensas,Dez,2022,1
Florianópolis,Enxurradas,Jan,1997,1
Florianópolis,Enxurradas,Jan,2008,1
Florianópolis,Enxurradas,Jan,2011,1
Florianópolis,Enxurradas,Jan,2017,1
Florianópolis,Enxurradas,Fev,2000,1
Florianópolis,Enxurradas,Fev,2001,1
Florianópolis,Enxurradas,Fev,2011,1
Florianópolis,Enxurradas,Mar,2010,1
Florianópolis,Enxurradas,Mar,2011,1
Florianópolis,Enxurradas,Mar,2015,1
Florianópolis,Enxurradas,Mai,2010,1
Florianópolis,Enxurradas,Mai,2017,1
Florianópolis,Enxurradas,Jul,2015,1
Florianópolis,Enxurradas,Set,2011,1
Florianópolis,Enxurradas,Nov,1991,1
Florianópolis,Enxurradas,Nov,2008,1
Florianópolis,Enxurradas,Dez,1995,1
Florianópolis,Enxurradas,Dez,2011,1
Florianópolis,Inundações,Set,2011,1
Florianópolis,Movimento de Massa,Jan,1995,1
