ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Garopaba,Alagamentos,0
1991,Ago,Garopaba,Alagamentos,0
1991,Dez,Garopaba,Alagamentos,0
1991,Fev,Garopaba,Alagamentos,0
1991,Jan,Garopaba,Alagamentos,0
1991,Jul,Garopaba,Alagamentos,0
1991,Jun,Garopaba,Alagamentos,0
1991,Mai,Garopaba,Alagamentos,0
1991,Mar,Garopaba,Alagamentos,0
1991,Nov,Garopaba,Alagamentos,0
1991,Out,Garopaba,Alagamentos,0
1991,Set,Garopaba,Alagamentos,0
1992,Abr,Garopaba,Alagamentos,0
1992,Ago,Garopaba,Alagamentos,0
1992,Dez,Garopaba,Alagamentos,0
1992,Fev,Garopaba,Alagamentos,0
1992,Jan,Garopaba,Alagamentos,0
1992,Jul,Garopaba,Alagamentos,0
1992,Jun,Garopaba,Alagamentos,0
1992,Mai,Garopaba,Alagamentos,0
1992,Mar,Garopaba,Alagamentos,0
1992,Nov,Garopaba,Alagamentos,0
1992,Out,Garopaba,Alagamentos,0
1992,Set,Garopaba,Alagamentos,0
1993,Abr,Garopaba,Alagamentos,0
1993,Ago,Garopaba,Alagamentos,0
1993,Dez,Garopaba,Alagamentos,0
1993,Fev,Garopaba,Alagamentos,0
1993,Jan,Garopaba,Alagamentos,0
1993,Jul,Garopaba,Alagamentos,0
1993,Jun,Garopaba,Alagamentos,0
1993,Mai,Garopaba,Alagamentos,0
1993,Mar,Garopaba,Alagamentos,0
1993,Nov,Garopaba,Alagamentos,0
1993,Out,Garopaba,Alagamentos,0
1993,Set,Garopaba,Alagamentos,0
1994,Abr,Garopaba,Alagamentos,0
1994,Ago,Garopaba,Alagamentos,0
1994,Dez,Garopaba,Alagamentos,0
1994,Fev,Garopaba,Alagamentos,0
1994,Jan,Garopaba,Alagamentos,0
1994,Jul,Garopaba,Alagamentos,0
1994,Jun,Garopaba,Alagamentos,0
1994,Mai,Garopaba,Alagamentos,0
1994,Mar,Garopaba,Alagamentos,0
1994,Nov,Garopaba,Alagamentos,0
1994,Out,Garopaba,Alagamentos,0
1994,Set,Garopaba,Alagamentos,0
1995,Abr,Garopaba,Alagamentos,0
1995,Ago,Garopaba,Alagamentos,0
1995,Dez,Garopaba,Alagamentos,0
1995,Fev,Garopaba,Alagamentos,0
1995,Jan,Garopaba,Alagamentos,0
1995,Jul,Garopaba,Alagamentos,0
1995,Jun,Garopaba,Alagamentos,0
1995,Mai,Garopaba,Alagamentos,0
1995,Mar,Garopaba,Alagamentos,0
1995,Nov,Garopaba,Alagamentos,0
1995,Out,Garopaba,Alagamentos,0
1995,Set,Garopaba,Alagamentos,0
1996,Abr,Garopaba,Alagamentos,0
1996,Ago,Garopaba,Alagamentos,0
1996,Dez,Garopaba,Alagamentos,0
1996,Fev,Garopaba,Alagamentos,0
1996,Jan,Garopaba,Alagamentos,0
1996,Jul,Garopaba,Alagamentos,0
1996,Jun,Garopaba,Alagamentos,0
1996,Mai,Garopaba,Alagamentos,0
1996,Mar,Garopaba,Alagamentos,0
1996,Nov,Garopaba,Alagamentos,0
1996,Out,Garopaba,Alagamentos,0
1996,Set,Garopaba,Alagamentos,0
1997,Abr,Garopaba,Alagamentos,0
1997,Ago,Garopaba,Alagamentos,0
1997,Dez,Garopaba,Alagamentos,0
1997,Fev,Garopaba,Alagamentos,0
1997,Jan,Garopaba,Alagamentos,0
1997,Jul,Garopaba,Alagamentos,0
1997,Jun,Garopaba,Alagamentos,0
1997,Mai,Garopaba,Alagamentos,0
1997,Mar,Garopaba,Alagamentos,0
1997,Nov,Garopaba,Alagamentos,0
1997,Out,Garopaba,Alagamentos,0
1997,Set,Garopaba,Alagamentos,0
1998,Abr,Garopaba,Alagamentos,0
1998,Ago,Garopaba,Alagamentos,0
1998,Dez,Garopaba,Alagamentos,0
1998,Fev,Garopaba,Alagamentos,0
1998,Jan,Garopaba,Alagamentos,0
1998,Jul,Garopaba,Alagamentos,0
1998,Jun,Garopaba,Alagamentos,0
1998,Mai,Garopaba,Alagamentos,0
1998,Mar,Garopaba,Alagamentos,0
1998,Nov,Garopaba,Alagamentos,0
1998,Out,Garopaba,Alagamentos,0
1998,Set,Garopaba,Alagamentos,0
1999,Abr,Garopaba,Alagamentos,0
1999,Ago,Garopaba,Alagamentos,0
1999,Dez,Garopaba,Alagamentos,0
1999,Fev,Garopaba,Alagamentos,0
1999,Jan,Garopaba,Alagamentos,0
1999,Jul,Garopaba,Alagamentos,0
1999,Jun,Garopaba,Alagamentos,0
1999,Mai,Garopaba,Alagamentos,0
1999,Mar,Garopaba,Alagamentos,0
1999,Nov,Garopaba,Alagamentos,0
1999,Out,Garopaba,Alagamentos,0
1999,Set,Garopaba,Alagamentos,0
2000,Abr,Garopaba,Alagamentos,0
2000,Ago,Garopaba,Alagamentos,0
2000,Dez,Garopaba,Alagamentos,0
