ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Garopaba,Inundações,0
1991,Ago,Garopaba,Inundações,0
1991,Dez,Garopaba,Inundações,0
1991,Fev,Garopaba,Inundações,0
1991,Jan,Garopaba,Inundações,0
1991,Jul,Garopaba,Inundações,0
1991,Jun,Garopaba,Inundações,0
1991,Mai,Garopaba,Inundações,0
1991,Mar,Garopaba,Inundações,0
1991,Nov,Garopaba,Inundações,0
1991,Out,Garopaba,Inundações,0
1991,Set,Garopaba,Inundações,0
1992,Abr,Garopaba,Inundações,0
1992,Ago,Garopaba,Inundações,0
1992,Dez,Garopaba,Inundações,0
1992,Fev,Garopaba,Inundações,0
1992,Jan,Garopaba,Inundações,0
1992,Jul,Garopaba,Inundações,0
1992,Jun,Garopaba,Inundações,0
1992,Mai,Garopaba,Inundações,0
1992,Mar,Garopaba,Inundações,0
1992,Nov,Garopaba,Inundações,0
1992,Out,Garopaba,Inundações,0
1992,Set,Garopaba,Inundações,0
1993,Abr,Garopaba,Inundações,0
1993,Ago,Garopaba,Inundações,0
1993,Dez,Garopaba,Inundações,0
1993,Fev,Garopaba,Inundações,0
1993,Jan,Garopaba,Inundações,0
1993,Jul,Garopaba,Inundações,0
1993,Jun,Garopaba,Inundações,0
1993,Mai,Garopaba,Inundações,0
1993,Mar,Garopaba,Inundações,0
1993,Nov,Garopaba,Inundações,0
1993,Out,Garopaba,Inundações,0
1993,Set,Garopaba,Inundações,0
1994,Abr,Garopaba,Inundações,0
1994,Ago,Garopaba,Inundações,0
1994,Dez,Garopaba,Inundações,0
1994,Fev,Garopaba,Inundações,0
1994,Jan,Garopaba,Inundações,0
1994,Jul,Garopaba,Inundações,0
1994,Jun,Garopaba,Inundações,0
1994,Mai,Garopaba,Inundações,0
1994,Mar,Garopaba,Inundações,0
1994,Nov,Garopaba,Inundações,0
1994,Out,Garopaba,Inundações,0
1994,Set,Garopaba,Inundações,0
1995,Abr,Garopaba,Inundações,0
1995,Ago,Garopaba,Inundações,0
1995,Dez,Garopaba,Inundações,0
1995,Fev,Garopaba,Inundações,0
