nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Garuva,Chuvas Intensas,Jan,2018,2
Garuva,Chuvas Intensas,Jan,2021,1
Garuva,Chuvas Intensas,Fev,2016,1
Garuva,Chuvas Intensas,Fev,2020,1
Garuva,Chuvas Intensas,Fev,2024,1
Garuva,Chuvas Intensas,Mar,2021,1
Garuva,Chuvas Intensas,Mai,2017,1
Garuva,Chuvas Intensas,Ago,2022,1
Garuva,Chuvas Intensas,Set,2021,1
Garuva,Chuvas Intensas,Nov,2021,1
Garuva,Chuvas Intensas,Nov,2022,1
Garuva,Enxurradas,Jan,1996,1
Garuva,Enxurradas,Jan,1997,1
Garuva,Enxurradas,Jan,2003,1
Garuva,Enxurradas,Jan,2017,1
Garuva,Enxurradas,Jan,2019,1
Garuva,Enxurradas,Jan,2022,1
Garuva,Enxurradas,Fev,1995,1
Garuva,Enxurradas,Fev,1998,1
Garuva,Enxurradas,Fev,2007,1
Garuva,Enxurradas,Fev,2017,1
Garuva,Enxurradas,Jun,2014,1
Garuva,Enxurradas,Nov,1991,1
Garuva,Enxurradas,Nov,2008,1
Garuva,Inundações,Fev,2001,1
