ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Garuva,Inundações,0
1991,Ago,Garuva,Inundações,0
1991,Dez,Garuva,Inundações,0
1991,Fev,Garuva,Inundações,0
1991,Jan,Garuva,Inundações,0
1991,Jul,Garuva,Inundações,0
1991,Jun,Garuva,Inundações,0
1991,Mai,Garuva,Inundações,0
1991,Mar,Garuva,Inundações,0
1991,Nov,Garuva,Inundações,0
1991,Out,Garuva,Inundações,0
1991,Set,Garuva,Inundações,0
1992,Abr,Garuva,Inundações,0
1992,Ago,Garuva,Inundações,0
1992,Dez,Garuva,Inundações,0
1992,Fev,Garuva,Inundações,0
1992,Jan,Garuva,Inundações,0
1992,Jul,Garuva,Inundações,0
1992,Jun,Garuva,Inundações,0
1992,Mai,Garuva,Inundações,0
1992,Mar,Garuva,Inundações,0
1992,Nov,Garuva,Inundações,0
1992,Out,Garuva,Inundações,0
1992,Set,Garuva,Inundações,0
1993,Abr,Garuva,Inundações,0
1993,Ago,Garuva,Inundações,0
1993,Dez,Garuva,Inundações,0
1993,Fev,Garuva,Inundações,0
1993,Jan,Garuva,Inundações,0
1993,Jul,Garuva,Inundações,0
1993,Jun,Garuva,Inundações,0
1993,Mai,Garuva,Inundações,0
1993,Mar,Garuva,Inundações,0
1993,Nov,Garuva,Inundações,0
1993,Out,Garuva,Inundações,0
1993,Set,Garuva,Inundações,0
1994,Abr,Garuva,Inundações,0
1994,Ago,Garuva,Inundações,0
1994,Dez,Garuva,Inundações,0
1994,Fev,Garuva,Inundações,0
1994,Jan,Garuva,Inundações,0
1994,Jul,Garuva,Inundações,0
1994,Jun,Garuva,Inundações,0
1994,Mai,Garuva,Inundações,0
1994,Mar,Garuva,Inundações,0
1994,Nov,Garuva,Inundações,0
1994,Out,Garuva,Inundações,0
1994,Set,Garuva,Inundações,0
1995,Abr,Garuva,Inundações,0
1995,Ago,Garuva,Inundações,0
1995,Dez,Garuva,Inundações,0
1995,Fev,Garuva,Inundações,0
1995,Jan,Garuva,Inundações,0
1995,Jul,Garuva,Inundações,0
1995,Jun,Garuva,Inundações,0
1995,Mai,Garuva,Inundações,0
1995,Mar,Garuva,Inundações,0
1995,Nov,Garuva,Inundações,0
1995,Out,Garuva,Inundações,0
1995,Set,Garuva,Inundações,0
1996,Abr,Garuva,Inundações,0
1996,Ago,Garuva,Inundações,0
1996,Dez,Garuva,Inundações,0
1996,Fev,Garuva,Inundações,0
1996,Jan,Garuva,Inundações,0
1996,Jul,Garuva,Inundações,0
1996,Jun,Garuva,Inundações,0
1996,Mai,Garuva,Inundações,0
1996,Mar,Garuva,Inundações,0
1996,Nov,Garuva,Inundações,0
1996,Out,Garuva,Inundações,0
1996,Set,Garuva,Inundações,0
1997,Abr,Garuva,Inundações,0
1997,Ago,Garuva,Inundações,0
1997,Dez,Garuva,Inundações,0
1997,Fev,Garuva,Inundações,0
1997,Jan,Garuva,Inundações,0
1997,Jul,Garuva,Inundações,0
1997,Jun,Garuva,Inundações,0
1997,Mai,Garuva,Inundações,0
1997,Mar,Garuva,Inundações,0
1997,Nov,Garuva,Inundações,0
1997,Out,Garuva,Inundações,0
1997,Set,Garuva,Inundações,0
1998,Abr,Garuva,Inundações,0
1998,Ago,Garuva,Inundações,0
1998,Dez,Garuva,Inundações,0
1998,Fev,Garuva,Inundações,0
1998,Jan,Garuva,Inundações,0
1998,Jul,Garuva,Inundações,0
1998,Jun,Garuva,Inundações,0
1998,Mai,Garuva,Inundações,0
1998,Mar,Garuva,Inundações,0
1998,Nov,Garuva,Inundações,0
1998,Out,Garuva,Inundações,0
1998,Set,Garuva,Inundações,0
1999,Abr,Garuva,Inundações,0
1999,Ago,Garuva,Inundações,0
1999,Dez,Garuva,Inundações,0
1999,Fev,Garuva,Inundações,0
1999,Jan,Garuva,Inundações,0
1999,Jul,Garuva,Inundações,0
1999,Jun,Garuva,Inundações,0
1999,Mai,Garuva,Inundações,0
1999,Mar,Garuva,Inundações,0
1999,Nov,Garuva,Inundações,0
1999,Out,Garuva,Inundações,0
1999,Set,Garuva,Inundações,0
2000,Abr,Garuva,Inundações,0
2000,Ago,Garuva,Inundações,0
2000,Dez,Garuva,Inundações,0
2000,Fev,Garuva,Inundações,0
2000,Jan,Garuva,Inundações,0
2000,Jul,Garuva,Inundações,0
2000,Jun,Garuva,Inundações,0
2000,Mai,Garuva,Inundações,0
2000,Mar,Garuva,Inundações,0
2000,Nov,Garuva,Inundações,0
2000,Out,Garuva,Inundações,0
2000,Set,Garuva,Inundações,0
2001,Abr,Garuva,Inundações,0
2001,Ago,Garuva,Inundações,0
2001,Dez,Garuva,Inundações,0
2001,Fev,Garuva,Inundações,1
2001,Jan,Garuva,Inundações,0
2001,Jul,Garuva,Inundações,0
2001,Jun,Garuva,Inundações,0
2001,Mai,Garuva,Inundações,0
2001,Mar,Garuva,Inundações,0
2001,Nov,Garuva,Inundações,0
2001,Out,Garuva,Inundações,0
2001,Set,Garuva,Inundações,0
2002,Abr,Garuva,Inundações,0
2002,Ago,Garuva,Inundações,0
2002,Dez,Garuva,Inundações,0
2002,Fev,Garuva,Inundações,0
2002,Jan,Garuva,Inundações,0
2002,Jul,Garuva,Inundações,0
2002,Jun,Garuva,Inundações,0
2002,Mai,Garuva,Inundações,0
2002,Mar,Garuva,Inundações,0
2002,Nov,Garuva,Inundações,0
2002,Out,Garuva,Inundações,0
2002,Set,Garuva,Inundações,0
2003,Abr,Garuva,Inundações,0
2003,Ago,Garuva,Inundações,0
2003,Dez,Garuva,Inundações,0
2003,Fev,Garuva,Inundações,0
2003,Jan,Garuva,Inundações,0
2003,Jul,Garuva,Inundações,0
2003,Jun,Garuva,Inundações,0
2003,Mai,Garuva,Inundações,0
2003,Mar,Garuva,Inundações,0
2003,Nov,Garuva,Inundações,0
2003,Out,Garuva,Inundações,0
2003,Set,Garuva,Inundações,0
2004,Abr,Garuva,Inundações,0
2004,Ago,Garuva,Inundações,0
2004,Dez,Garuva,Inundações,0
2004,Fev,Garuva,Inundações,0
2004,Jan,Garuva,Inundações,0
2004,Jul,Garuva,Inundações,0
2004,Jun,Garuva,Inundações,0
2004,Mai,Garuva,Inundações,0
2004,Mar,Garuva,Inundações,0
2004,Nov,Garuva,Inundações,0
2004,Out,Garuva,Inundações,0
2004,Set,Garuva,Inundações,0
2005,Abr,Garuva,Inundações,0
2005,Ago,Garuva,Inundações,0
2005,Dez,Garuva,Inundações,0
2005,Fev,Garuva,Inundações,0
2005,Jan,Garuva,Inundações,0
2005,Jul,Garuva,Inundações,0
2005,Jun,Garuva,Inundações,0
2005,Mai,Garuva,Inundações,0
2005,Mar,Garuva,Inundações,0
2005,Nov,Garuva,Inundações,0
2005,Out,Garuva,Inundações,0
2005,Set,Garuva,Inundações,0
2006,Abr,Garuva,Inundações,0
2006,Ago,Garuva,Inundações,0
2006,Dez,Garuva,Inundações,0
2006,Fev,Garuva,Inundações,0
2006,Jan,Garuva,Inundações,0
2006,Jul,Garuva,Inundações,0
2006,Jun,Garuva,Inundações,0
2006,Mai,Garuva,Inundações,0
2006,Mar,Garuva,Inundações,0
2006,Nov,Garuva,Inundações,0
2006,Out,Garuva,Inundações,0
2006,Set,Garuva,Inundações,0
2007,Abr,Garuva,Inundações,0
2007,Ago,Garuva,Inundações,0
2007,Dez,Garuva,Inundações,0
2007,Fev,Garuva,Inundações,0
2007,Jan,Garuva,Inundações,0
2007,Jul,Garuva,Inundações,0
2007,Jun,Garuva,Inundações,0
2007,Mai,Garuva,Inundações,0
2007,Mar,Garuva,Inundações,0
2007,Nov,Garuva,Inundações,0
2007,Out,Garuva,Inundações,0
2007,Set,Garuva,Inundações,0
2008,Abr,Garuva,Inundações,0
2008,Ago,Garuva,Inundações,0
2008,Dez,Garuva,Inundações,0
2008,Fev,Garuva,Inundações,0
2008,Jan,Garuva,Inundações,0
2008,Jul,Garuva,Inundações,0
2008,Jun,Garuva,Inundações,0
2008,Mai,Garuva,Inundações,0
2008,Mar,Garuva,Inundações,0
2008,Nov,Garuva,Inundações,0
2008,Out,Garuva,Inundações,0
2008,Set,Garuva,Inundações,0
2009,Abr,Garuva,Inundações,0
2009,Ago,Garuva,Inundações,0
2009,Dez,Garuva,Inundações,0
2009,Fev,Garuva,Inundações,0
2009,Jan,Garuva,Inundações,0
2009,Jul,Garuva,Inundações,0
2009,Jun,Garuva,Inundações,0
2009,Mai,Garuva,Inundações,0
2009,Mar,Garuva,Inundações,0
2009,Nov,Garuva,Inundações,0
2009,Out,Garuva,Inundações,0
2009,Set,Garuva,Inundações,0
2010,Abr,Garuva,Inundações,0
2010,Ago,Garuva,Inundações,0
2010,Dez,Garuva,Inundações,0
2010,Fev,Garuva,Inundações,0
2010,Jan,Garuva,Inundações,0
2010,Jul,Garuva,Inundações,0
2010,Jun,Garuva,Inundações,0
2010,Mai,Garuva,Inundações,0
2010,Mar,Garuva,Inundações,0
2010,Nov,Garuva,Inundações,0
2010,Out,Garuva,Inundações,0
2010,Set,Garuva,Inundações,0
2011,Abr,Garuva,Inundações,0
2011,Ago,Garuva,Inundações,0
2011,Dez,Garuva,Inundações,0
2011,Fev,Garuva,Inundações,0
2011,Jan,Garuva,Inundações,0
2011,Jul,Garuva,Inundações,0
2011,Jun,Garuva,Inundações,0
2011,Mai,Garuva,Inundações,0
2011,Mar,Garuva,Inundações,0
2011,Nov,Garuva,Inundações,0
2011,Out,Garuva,Inundações,0
2011,Set,Garuva,Inundações,0
2012,Abr,Garuva,Inundações,0
2012,Ago,Garuva,Inundações,0
2012,Dez,Garuva,Inundações,0
2012,Fev,Garuva,Inundações,0
2012,Jan,Garuva,Inundações,0
2012,Jul,Garuva,Inundações,0
2012,Jun,Garuva,Inundações,0
2012,Mai,Garuva,Inundações,0
2012,Mar,Garuva,Inundações,0
2012,Nov,Garuva,Inundações,0
2012,Out,Garuva,Inundações,0
2012,Set,Garuva,Inundações,0
2013,Abr,Garuva,Inundações,0
2013,Ago,Garuva,Inundações,0
2013,Dez,Garuva,Inundações,0
2013,Fev,Garuva,Inundações,0
2013,Jan,Garuva,Inundações,0
2013,Jul,Garuva,Inundações,0
2013,Jun,Garuva,Inundações,0
