nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Governador Celso Ramos,Alagamentos,Jan,2002,1
Governador Celso Ramos,Chuvas Intensas,Jan,2016,1
Governador Celso Ramos,Chuvas Intensas,Fev,2015,1
Governador Celso Ramos,Chuvas Intensas,Out,2023,1
Governador Celso Ramos,Chuvas Intensas,Dez,2022,2
Governador Celso Ramos,Enxurradas,Jan,2001,1
Governador Celso Ramos,Enxurradas,Jan,2004,1
Governador Celso Ramos,Enxurradas,Jan,2008,1
Governador Celso Ramos,Enxurradas,Fev,1995,1
Governador Celso Ramos,Enxurradas,Fev,2000,1
Governador Celso Ramos,Enxurradas,Abr,2009,1
Governador Celso Ramos,Enxurradas,Mai,2010,1
Governador Celso Ramos,Enxurradas,Nov,2008,1
Governador Celso Ramos,Movimento de Massa,Jan,2018,1
Governador Celso Ramos,Movimento de Massa,Nov,2023,1
