ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Governador Celso Ramos,Inundações,0
1991,Ago,Governador Celso Ramos,Inundações,0
1991,Dez,Governador Celso Ramos,Inundações,0
1991,Fev,Governador Celso Ramos,Inundações,0
1991,Jan,Governador Celso Ramos,Inundações,0
1991,Jul,Governador Celso Ramos,Inundações,0
1991,Jun,Governador Celso Ramos,Inundações,0
1991,Mai,Governador Celso Ramos,Inundações,0
1991,Mar,Governador Celso Ramos,Inundações,0
1991,Nov,Governador Celso Ramos,Inundações,0
1991,Out,Governador Celso Ramos,Inundações,0
1991,Set,Governador Celso Ramos,Inundações,0
1992,Abr,Governador Celso Ramos,Inundações,0
1992,Ago,Governador Celso Ramos,Inundações,0
1992,Dez,Governador Celso Ramos,Inundações,0
1992,Fev,Governador Celso Ramos,Inundações,0
1992,Jan,Governador Celso Ramos,Inundações,0
1992,Jul,Governador Celso Ramos,Inundações,0
1992,Jun,Governador Celso Ramos,Inundações,0
1992,Mai,Governador Celso Ramos,Inundações,0
1992,Mar,Governador Celso Ramos,Inundações,0
1992,Nov,Governador Celso Ramos,Inundações,0
1992,Out,Governador Celso Ramos,Inundações,0
1992,Set,Governador Celso Ramos,Inundações,0
1993,Abr,Governador Celso Ramos,Inundações,0
1993,Ago,Governador Celso Ramos,Inundações,0
1993,Dez,Governador Celso Ramos,Inundações,0
1993,Fev,Governador Celso Ramos,Inundações,0
1993,Jan,Governador Celso Ramos,Inundações,0
1993,Jul,Governador Celso Ramos,Inundações,0
1993,Jun,Governador Celso Ramos,Inundações,0
1993,Mai,Governador Celso Ramos,Inundações,0
1993,Mar,Governador Celso Ramos,Inundações,0
1993,Nov,Governador Celso Ramos,Inundações,0
1993,Out,Governador Celso Ramos,Inundações,0
1993,Set,Governador Celso Ramos,Inundações,0
1994,Abr,Governador Celso Ramos,Inundações,0
1994,Ago,Governador Celso Ramos,Inundações,0
1994,Dez,Governador Celso Ramos,Inundações,0
1994,Fev,Governador Celso Ramos,Inundações,0
1994,Jan,Governador Celso Ramos,Inundações,0
1994,Jul,Governador Celso Ramos,Inundações,0
1994,Jun,Governador Celso Ramos,Inundações,0
1994,Mai,Governador Celso Ramos,Inundações,0
1994,Mar,Governador Celso Ramos,Inundações,0
1994,Nov,Governador Celso Ramos,Inundações,0
1994,Out,Governador Celso Ramos,Inundações,0
1994,Set,Governador Celso Ramos,Inundações,0
1995,Abr,Governador Celso Ramos,Inundações,0
1995,Ago,Governador Celso Ramos,Inundações,0
1995,Dez,Governador Celso Ramos,Inundações,0
1995,Fev,Governador Celso Ramos,Inundações,0
1995,Jan,Governador Celso Ramos,Inundações,0
1995,Jul,Governador Celso Ramos,Inundações,0
1995,Jun,Governador Celso Ramos,Inundações,0
1995,Mai,Governador Celso Ramos,Inundações,0
1995,Mar,Governador Celso Ramos,Inundações,0
1995,Nov,Governador Celso Ramos,Inundações,0
1995,Out,Governador Celso Ramos,Inundações,0
1995,Set,Governador Celso Ramos,Inundações,0
1996,Abr,Governador Celso Ramos,Inundações,0
1996,Ago,Governador Celso Ramos,Inundações,0
1996,Dez,Governador Celso Ramos,Inundações,0
1996,Fev,Governador Celso Ramos,Inundações,0
1996,Jan,Governador Celso Ramos,Inundações,0
1996,Jul,Governador Celso Ramos,Inundações,0
1996,Jun,Governador Celso Ramos,Inundações,0
