ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Imaruí,Chuvas Intensas,0
1991,Ago,Imaruí,Chuvas Intensas,0
1991,Dez,Imaruí,Chuvas Intensas,0
1991,Fev,Imaruí,Chuvas Intensas,0
1991,Jan,Imaruí,Chuvas Intensas,0
1991,Jul,Imaruí,Chuvas Intensas,0
1991,Jun,Imaruí,Chuvas Intensas,0
1991,Mai,Imaruí,Chuvas Intensas,0
1991,Mar,Imaruí,Chuvas Intensas,0
1991,Nov,Imaruí,Chuvas Intensas,0
1991,Out,Imaruí,Chuvas Intensas,0
1991,Set,Imaruí,Chuvas Intensas,0
1992,Abr,Imaruí,Chuvas Intensas,0
1992,Ago,Imaruí,Chuvas Intensas,0
1992,Dez,Imaruí,Chuvas Intensas,0
1992,Fev,Imaruí,Chuvas Intensas,0
1992,Jan,Imaruí,Chuvas Intensas,0
1992,Jul,Imaruí,Chuvas Intensas,0
1992,Jun,Imaruí,Chuvas Intensas,0
1992,Mai,Imaruí,Chuvas Intensas,0
1992,Mar,Imaruí,Chuvas Intensas,0
1992,Nov,Imaruí,Chuvas Intensas,0
1992,Out,Imaruí,Chuvas Intensas,0
1992,Set,Imaruí,Chuvas Intensas,0
1993,Abr,Imaruí,Chuvas Intensas,0
1993,Ago,Imaruí,Chuvas Intensas,0
1993,Dez,Imaruí,Chuvas Intensas,0
1993,Fev,Imaruí,Chuvas Intensas,0
1993,Jan,Imaruí,Chuvas Intensas,0
1993,Jul,Imaruí,Chuvas Intensas,0
1993,Jun,Imaruí,Chuvas Intensas,0
1993,Mai,Imaruí,Chuvas Intensas,0
1993,Mar,Imaruí,Chuvas Intensas,0
1993,Nov,Imaruí,Chuvas Intensas,0
1993,Out,Imaruí,Chuvas Intensas,0
1993,Set,Imaruí,Chuvas Intensas,0
1994,Abr,Imaruí,Chuvas Intensas,0
1994,Ago,Imaruí,Chuvas Intensas,0
1994,Dez,Imaruí,Chuvas Intensas,0
1994,Fev,Imaruí,Chuvas Intensas,0
1994,Jan,Imaruí,Chuvas Intensas,0
1994,Jul,Imaruí,Chuvas Intensas,0
1994,Jun,Imaruí,Chuvas Intensas,0
1994,Mai,Imaruí,Chuvas Intensas,0
1994,Mar,Imaruí,Chuvas Intensas,0
1994,Nov,Imaruí,Chuvas Intensas,0
1994,Out,Imaruí,Chuvas Intensas,0
1994,Set,Imaruí,Chuvas Intensas,0
1995,Abr,Imaruí,Chuvas Intensas,0
1995,Ago,Imaruí,Chuvas Intensas,0
1995,Dez,Imaruí,Chuvas Intensas,0
1995,Fev,Imaruí,Chuvas Intensas,0
1995,Jan,Imaruí,Chuvas Intensas,0
1995,Jul,Imaruí,Chuvas Intensas,0
1995,Jun,Imaruí,Chuvas Intensas,0
1995,Mai,Imaruí,Chuvas Intensas,0
1995,Mar,Imaruí,Chuvas Intensas,0
1995,Nov,Imaruí,Chuvas Intensas,0
1995,Out,Imaruí,Chuvas Intensas,0
1995,Set,Imaruí,Chuvas Intensas,0
1996,Abr,Imaruí,Chuvas Intensas,0
1996,Ago,Imaruí,Chuvas Intensas,0
1996,Dez,Imaruí,Chuvas Intensas,0
1996,Fev,Imaruí,Chuvas Intensas,0
1996,Jan,Imaruí,Chuvas Intensas,0
1996,Jul,Imaruí,Chuvas Intensas,0
1996,Jun,Imaruí,Chuvas Intensas,0
1996,Mai,Imaruí,Chuvas Intensas,0
1996,Mar,Imaruí,Chuvas Intensas,0
1996,Nov,Imaruí,Chuvas Intensas,0
1996,Out,Imaruí,Chuvas Intensas,0
1996,Set,Imaruí,Chuvas Intensas,0
1997,Abr,Imaruí,Chuvas Intensas,0
1997,Ago,Imaruí,Chuvas Intensas,0
1997,Dez,Imaruí,Chuvas Intensas,0
1997,Fev,Imaruí,Chuvas Intensas,0
1997,Jan,Imaruí,Chuvas Intensas,0
1997,Jul,Imaruí,Chuvas Intensas,0
1997,Jun,Imaruí,Chuvas Intensas,0
1997,Mai,Imaruí,Chuvas Intensas,0
1997,Mar,Imaruí,Chuvas Intensas,0
1997,Nov,Imaruí,Chuvas Intensas,0
1997,Out,Imaruí,Chuvas Intensas,0
1997,Set,Imaruí,Chuvas Intensas,0
1998,Abr,Imaruí,Chuvas Intensas,0
1998,Ago,Imaruí,Chuvas Intensas,0
1998,Dez,Imaruí,Chuvas Intensas,0
1998,Fev,Imaruí,Chuvas Intensas,0
1998,Jan,Imaruí,Chuvas Intensas,0
1998,Jul,Imaruí,Chuvas Intensas,0
1998,Jun,Imaruí,Chuvas Intensas,0
1998,Mai,Imaruí,Chuvas Intensas,0
1998,Mar,Imaruí,Chuvas Intensas,0
1998,Nov,Imaruí,Chuvas Intensas,0
1998,Out,Imaruí,Chuvas Intensas,0
1998,Set,Imaruí,Chuvas Intensas,0
1999,Abr,Imaruí,Chuvas Intensas,0
1999,Ago,Imaruí,Chuvas Intensas,0
1999,Dez,Imaruí,Chuvas Intensas,0
1999,Fev,Imaruí,Chuvas Intensas,0
