ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Imaruí,Inundações,0
1991,Ago,Imaruí,Inundações,0
1991,Dez,Imaruí,Inundações,0
1991,Fev,Imaruí,Inundações,0
1991,Jan,Imaruí,Inundações,0
1991,Jul,Imaruí,Inundações,0
1991,Jun,Imaruí,Inundações,0
1991,Mai,Imaruí,Inundações,0
1991,Mar,Imaruí,Inundações,0
1991,Nov,Imaruí,Inundações,0
1991,Out,Imaruí,Inundações,0
1991,Set,Imaruí,Inundações,0
1992,Abr,Imaruí,Inundações,0
1992,Ago,Imaruí,Inundações,0
1992,Dez,Imaruí,Inundações,0
1992,Fev,Imaruí,Inundações,0
1992,Jan,Imaruí,Inundações,0
1992,Jul,Imaruí,Inundações,0
1992,Jun,Imaruí,Inundações,0
1992,Mai,Imaruí,Inundações,0
1992,Mar,Imaruí,Inundações,0
1992,Nov,Imaruí,Inundações,0
1992,Out,Imaruí,Inundações,0
1992,Set,Imaruí,Inundações,0
1993,Abr,Imaruí,Inundações,0
1993,Ago,Imaruí,Inundações,0
1993,Dez,Imaruí,Inundações,0
1993,Fev,Imaruí,Inundações,0
1993,Jan,Imaruí,Inundações,0
1993,Jul,Imaruí,Inundações,0
1993,Jun,Imaruí,Inundações,0
1993,Mai,Imaruí,Inundações,0
1993,Mar,Imaruí,Inundações,0
1993,Nov,Imaruí,Inundações,0
1993,Out,Imaruí,Inundações,0
1993,Set,Imaruí,Inundações,0
1994,Abr,Imaruí,Inundações,0
1994,Ago,Imaruí,Inundações,0
1994,Dez,Imaruí,Inundações,0
1994,Fev,Imaruí,Inundações,0
1994,Jan,Imaruí,Inundações,0
1994,Jul,Imaruí,Inundações,0
1994,Jun,Imaruí,Inundações,0
1994,Mai,Imaruí,Inundações,0
1994,Mar,Imaruí,Inundações,0
1994,Nov,Imaruí,Inundações,0
1994,Out,Imaruí,Inundações,0
1994,Set,Imaruí,Inundações,0
1995,Abr,Imaruí,Inundações,0
1995,Ago,Imaruí,Inundações,0
1995,Dez,Imaruí,Inundações,0
1995,Fev,Imaruí,Inundações,0
1995,Jan,Imaruí,Inundações,0
1995,Jul,Imaruí,Inundações,0
1995,Jun,Imaruí,Inundações,0
1995,Mai,Imaruí,Inundações,0
1995,Mar,Imaruí,Inundações,0
1995,Nov,Imaruí,Inundações,0
1995,Out,Imaruí,Inundações,0
1995,Set,Imaruí,Inundações,0
1996,Abr,Imaruí,Inundações,0
1996,Ago,Imaruí,Inundações,0
1996,Dez,Imaruí,Inundações,1
1996,Fev,Imaruí,Inundações,0
1996,Jan,Imaruí,Inundações,0
1996,Jul,Imaruí,Inundações,0
1996,Jun,Imaruí,Inundações,0
1996,Mai,Imaruí,Inundações,0
1996,Mar,Imaruí,Inundações,0
1996,Nov,Imaruí,Inundações,0
1996,Out,Imaruí,Inundações,0
1996,Set,Imaruí,Inundações,0
1997,Abr,Imaruí,Inundações,0
1997,Ago,Imaruí,Inundações,0
1997,Dez,Imaruí,Inundações,0
1997,Fev,Imaruí,Inundações,0
1997,Jan,Imaruí,Inundações,0
1997,Jul,Imaruí,Inundações,0
1997,Jun,Imaruí,Inundações,0
1997,Mai,Imaruí,Inundações,0
1997,Mar,Imaruí,Inundações,0
1997,Nov,Imaruí,Inundações,0
1997,Out,Imaruí,Inundações,0
1997,Set,Imaruí,Inundações,0
1998,Abr,Imaruí,Inundações,0
1998,Ago,Imaruí,Inundações,0
1998,Dez,Imaruí,Inundações,0
1998,Fev,Imaruí,Inundações,0
1998,Jan,Imaruí,Inundações,0
1998,Jul,Imaruí,Inundações,0
1998,Jun,Imaruí,Inundações,0
1998,Mai,Imaruí,Inundações,0
1998,Mar,Imaruí,Inundações,0
1998,Nov,Imaruí,Inundações,0
1998,Out,Imaruí,Inundações,0
1998,Set,Imaruí,Inundações,0
1999,Abr,Imaruí,Inundações,0
1999,Ago,Imaruí,Inundações,0
1999,Dez,Imaruí,Inundações,0
1999,Fev,Imaruí,Inundações,0
1999,Jan,Imaruí,Inundações,0
1999,Jul,Imaruí,Inundações,0
1999,Jun,Imaruí,Inundações,0
1999,Mai,Imaruí,Inundações,0
1999,Mar,Imaruí,Inundações,0
1999,Nov,Imaruí,Inundações,0
1999,Out,Imaruí,Inundações,0
1999,Set,Imaruí,Inundações,0
2000,Abr,Imaruí,Inundações,0
2000,Ago,Imaruí,Inundações,0
2000,Dez,Imaruí,Inundações,0
2000,Fev,Imaruí,Inundações,0
2000,Jan,Imaruí,Inundações,0
2000,Jul,Imaruí,Inundações,0
2000,Jun,Imaruí,Inundações,0
2000,Mai,Imaruí,Inundações,0
2000,Mar,Imaruí,Inundações,0
2000,Nov,Imaruí,Inundações,0
2000,Out,Imaruí,Inundações,0
2000,Set,Imaruí,Inundações,0
2001,Abr,Imaruí,Inundações,0
2001,Ago,Imaruí,Inundações,0
2001,Dez,Imaruí,Inundações,0
2001,Fev,Imaruí,Inundações,0
2001,Jan,Imaruí,Inundações,0
2001,Jul,Imaruí,Inundações,0
2001,Jun,Imaruí,Inundações,0
2001,Mai,Imaruí,Inundações,0
2001,Mar,Imaruí,Inundações,0
2001,Nov,Imaruí,Inundações,0
2001,Out,Imaruí,Inundações,0
2001,Set,Imaruí,Inundações,0
2002,Abr,Imaruí,Inundações,0
2002,Ago,Imaruí,Inundações,0
2002,Dez,Imaruí,Inundações,0
2002,Fev,Imaruí,Inundações,0
2002,Jan,Imaruí,Inundações,0
2002,Jul,Imaruí,Inundações,0
2002,Jun,Imaruí,Inundações,0
2002,Mai,Imaruí,Inundações,0
2002,Mar,Imaruí,Inundações,0
2002,Nov,Imaruí,Inundações,0
2002,Out,Imaruí,Inundações,0
2002,Set,Imaruí,Inundações,0
2003,Abr,Imaruí,Inundações,0
2003,Ago,Imaruí,Inundações,0
2003,Dez,Imaruí,Inundações,0
2003,Fev,Imaruí,Inundações,0
2003,Jan,Imaruí,Inundações,0
2003,Jul,Imaruí,Inundações,0
2003,Jun,Imaruí,Inundações,0
2003,Mai,Imaruí,Inundações,0
2003,Mar,Imaruí,Inundações,0
2003,Nov,Imaruí,Inundações,0
2003,Out,Imaruí,Inundações,0
2003,Set,Imaruí,Inundações,0
2004,Abr,Imaruí,Inundações,0
2004,Ago,Imaruí,Inundações,0
2004,Dez,Imaruí,Inundações,0
2004,Fev,Imaruí,Inundações,0
2004,Jan,Imaruí,Inundações,0
2004,Jul,Imaruí,Inundações,0
2004,Jun,Imaruí,Inundações,0
