ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Itajaí,Enxurradas,0
1991,Ago,Itajaí,Enxurradas,0
1991,Dez,Itajaí,Enxurradas,0
1991,Fev,Itajaí,Enxurradas,0
1991,Jan,Itajaí,Enxurradas,0
1991,Jul,Itajaí,Enxurradas,0
1991,Jun,Itajaí,Enxurradas,0
1991,Mai,Itajaí,Enxurradas,0
1991,Mar,Itajaí,Enxurradas,0
1991,Nov,Itajaí,Enxurradas,0
1991,Out,Itajaí,Enxurradas,0
1991,Set,Itajaí,Enxurradas,0
1992,Abr,Itajaí,Enxurradas,0
1992,Ago,Itajaí,Enxurradas,0
1992,Dez,Itajaí,Enxurradas,0
1992,Fev,Itajaí,Enxurradas,0
1992,Jan,Itajaí,Enxurradas,0
1992,Jul,Itajaí,Enxurradas,0
1992,Jun,Itajaí,Enxurradas,0
1992,Mai,Itajaí,Enxurradas,0
1992,Mar,Itajaí,Enxurradas,0
1992,Nov,Itajaí,Enxurradas,0
1992,Out,Itajaí,Enxurradas,0
1992,Set,Itajaí,Enxurradas,0
1993,Abr,Itajaí,Enxurradas,0
1993,Ago,Itajaí,Enxurradas,0
1993,Dez,Itajaí,Enxurradas,0
1993,Fev,Itajaí,Enxurradas,0
1993,Jan,Itajaí,Enxurradas,0
1993,Jul,Itajaí,Enxurradas,0
1993,Jun,Itajaí,Enxurradas,0
1993,Mai,Itajaí,Enxurradas,0
1993,Mar,Itajaí,Enxurradas,0
1993,Nov,Itajaí,Enxurradas,0
1993,Out,Itajaí,Enxurradas,0
1993,Set,Itajaí,Enxurradas,0
1994,Abr,Itajaí,Enxurradas,0
1994,Ago,Itajaí,Enxurradas,0
1994,Dez,Itajaí,Enxurradas,0
1994,Fev,Itajaí,Enxurradas,0
1994,Jan,Itajaí,Enxurradas,0
1994,Jul,Itajaí,Enxurradas,0
1994,Jun,Itajaí,Enxurradas,0
1994,Mai,Itajaí,Enxurradas,0
1994,Mar,Itajaí,Enxurradas,0
1994,Nov,Itajaí,Enxurradas,0
1994,Out,Itajaí,Enxurradas,0
1994,Set,Itajaí,Enxurradas,0
1995,Abr,Itajaí,Enxurradas,0
1995,Ago,Itajaí,Enxurradas,0
1995,Dez,Itajaí,Enxurradas,0
1995,Fev,Itajaí,Enxurradas,1
1995,Jan,Itajaí,Enxurradas,0
1995,Jul,Itajaí,Enxurradas,0
1995,Jun,Itajaí,Enxurradas,0
1995,Mai,Itajaí,Enxurradas,0
1995,Mar,Itajaí,Enxurradas,0
1995,Nov,Itajaí,Enxurradas,0
1995,Out,Itajaí,Enxurradas,0
1995,Set,Itajaí,Enxurradas,0
1996,Abr,Itajaí,Enxurradas,0
1996,Ago,Itajaí,Enxurradas,0
1996,Dez,Itajaí,Enxurradas,0
1996,Fev,Itajaí,Enxurradas,0
1996,Jan,Itajaí,Enxurradas,0
1996,Jul,Itajaí,Enxurradas,0
1996,Jun,Itajaí,Enxurradas,0
1996,Mai,Itajaí,Enxurradas,0
1996,Mar,Itajaí,Enxurradas,0
1996,Nov,Itajaí,Enxurradas,0
1996,Out,Itajaí,Enxurradas,0
1996,Set,Itajaí,Enxurradas,0
1997,Abr,Itajaí,Enxurradas,0
1997,Ago,Itajaí,Enxurradas,0
1997,Dez,Itajaí,Enxurradas,0
1997,Fev,Itajaí,Enxurradas,0
1997,Jan,Itajaí,Enxurradas,0
1997,Jul,Itajaí,Enxurradas,0
1997,Jun,Itajaí,Enxurradas,0
1997,Mai,Itajaí,Enxurradas,0
1997,Mar,Itajaí,Enxurradas,0
1997,Nov,Itajaí,Enxurradas,0
1997,Out,Itajaí,Enxurradas,0
1997,Set,Itajaí,Enxurradas,0
1998,Abr,Itajaí,Enxurradas,0
1998,Ago,Itajaí,Enxurradas,0
1998,Dez,Itajaí,Enxurradas,0
1998,Fev,Itajaí,Enxurradas,0
1998,Jan,Itajaí,Enxurradas,0
1998,Jul,Itajaí,Enxurradas,0
1998,Jun,Itajaí,Enxurradas,0
1998,Mai,Itajaí,Enxurradas,0
1998,Mar,Itajaí,Enxurradas,0
1998,Nov,Itajaí,Enxurradas,0
1998,Out,Itajaí,Enxurradas,0
1998,Set,Itajaí,Enxurradas,0
1999,Abr,Itajaí,Enxurradas,0
1999,Ago,Itajaí,Enxurradas,0
1999,Dez,Itajaí,Enxurradas,0
1999,Fev,Itajaí,Enxurradas,0
1999,Jan,Itajaí,Enxurradas,1
1999,Jul,Itajaí,Enxurradas,0
1999,Jun,Itajaí,Enxurradas,0
1999,Mai,Itajaí,Enxurradas,0
1999,Mar,Itajaí,Enxurradas,0
1999,Nov,Itajaí,Enxurradas,0
1999,Out,Itajaí,Enxurradas,0
1999,Set,Itajaí,Enxurradas,0
2000,Abr,Itajaí,Enxurradas,0
2000,Ago,Itajaí,Enxurradas,0
2000,Dez,Itajaí,Enxurradas,0
2000,Fev,Itajaí,Enxurradas,0
2000,Jan,Itajaí,Enxurradas,0
2000,Jul,Itajaí,Enxurradas,0
2000,Jun,Itajaí,Enxurradas,0
2000,Mai,Itajaí,Enxurradas,0
2000,Mar,Itajaí,Enxurradas,0
2000,Nov,Itajaí,Enxurradas,0
2000,Out,Itajaí,Enxurradas,0
2000,Set,Itajaí,Enxurradas,0
2001,Abr,Itajaí,Enxurradas,0
2001,Ago,Itajaí,Enxurradas,0
2001,Dez,Itajaí,Enxurradas,0
2001,Fev,Itajaí,Enxurradas,0
2001,Jan,Itajaí,Enxurradas,0
2001,Jul,Itajaí,Enxurradas,0
2001,Jun,Itajaí,Enxurradas,0
2001,Mai,Itajaí,Enxurradas,0
2001,Mar,Itajaí,Enxurradas,0
2001,Nov,Itajaí,Enxurradas,0
2001,Out,Itajaí,Enxurradas,0
2001,Set,Itajaí,Enxurradas,0
2002,Abr,Itajaí,Enxurradas,0
2002,Ago,Itajaí,Enxurradas,0
2002,Dez,Itajaí,Enxurradas,0
2002,Fev,Itajaí,Enxurradas,0
2002,Jan,Itajaí,Enxurradas,0
2002,Jul,Itajaí,Enxurradas,0
2002,Jun,Itajaí,Enxurradas,0
2002,Mai,Itajaí,Enxurradas,0
2002,Mar,Itajaí,Enxurradas,0
2002,Nov,Itajaí,Enxurradas,0
2002,Out,Itajaí,Enxurradas,0
2002,Set,Itajaí,Enxurradas,0
2003,Abr,Itajaí,Enxurradas,0
2003,Ago,Itajaí,Enxurradas,0
2003,Dez,Itajaí,Enxurradas,0
2003,Fev,Itajaí,Enxurradas,0
2003,Jan,Itajaí,Enxurradas,0
2003,Jul,Itajaí,Enxurradas,0
2003,Jun,Itajaí,Enxurradas,0
2003,Mai,Itajaí,Enxurradas,0
2003,Mar,Itajaí,Enxurradas,0
2003,Nov,Itajaí,Enxurradas,1
2003,Out,Itajaí,Enxurradas,0
2003,Set,Itajaí,Enxurradas,0
2004,Abr,Itajaí,Enxurradas,0
2004,Ago,Itajaí,Enxurradas,0
2004,Dez,Itajaí,Enxurradas,0
2004,Fev,Itajaí,Enxurradas,0
2004,Jan,Itajaí,Enxurradas,0
2004,Jul,Itajaí,Enxurradas,0
2004,Jun,Itajaí,Enxurradas,0
2004,Mai,Itajaí,Enxurradas,0
2004,Mar,Itajaí,Enxurradas,0
2004,Nov,Itajaí,Enxurradas,0
2004,Out,Itajaí,Enxurradas,0
2004,Set,Itajaí,Enxurradas,0
2005,Abr,Itajaí,Enxurradas,0
2005,Ago,Itajaí,Enxurradas,0
2005,Dez,Itajaí,Enxurradas,0
2005,Fev,Itajaí,Enxurradas,0
2005,Jan,Itajaí,Enxurradas,0
2005,Jul,Itajaí,Enxurradas,0
2005,Jun,Itajaí,Enxurradas,0
2005,Mai,Itajaí,Enxurradas,0
2005,Mar,Itajaí,Enxurradas,0
2005,Nov,Itajaí,Enxurradas,0
2005,Out,Itajaí,Enxurradas,0
2005,Set,Itajaí,Enxurradas,0
2006,Abr,Itajaí,Enxurradas,0
2006,Ago,Itajaí,Enxurradas,0
2006,Dez,Itajaí,Enxurradas,0
2006,Fev,Itajaí,Enxurradas,0
2006,Jan,Itajaí,Enxurradas,0
2006,Jul,Itajaí,Enxurradas,0
2006,Jun,Itajaí,Enxurradas,0
2006,Mai,Itajaí,Enxurradas,0
2006,Mar,Itajaí,Enxurradas,0
2006,Nov,Itajaí,Enxurradas,0
2006,Out,Itajaí,Enxurradas,0
2006,Set,Itajaí,Enxurradas,0
2007,Abr,Itajaí,Enxurradas,0
2007,Ago,Itajaí,Enxurradas,0
2007,Dez,Itajaí,Enxurradas,0
2007,Fev,Itajaí,Enxurradas,0
2007,Jan,Itajaí,Enxurradas,0
2007,Jul,Itajaí,Enxurradas,0
2007,Jun,Itajaí,Enxurradas,0
2007,Mai,Itajaí,Enxurradas,0
2007,Mar,Itajaí,Enxurradas,0
2007,Nov,Itajaí,Enxurradas,0
2007,Out,Itajaí,Enxurradas,0
2007,Set,Itajaí,Enxurradas,0
2008,Abr,Itajaí,Enxurradas,0
2008,Ago,Itajaí,Enxurradas,0
2008,Dez,Itajaí,Enxurradas,0
2008,Fev,Itajaí,Enxurradas,1
2008,Jan,Itajaí,Enxurradas,1
2008,Jul,Itajaí,Enxurradas,0
2008,Jun,Itajaí,Enxurradas,0
2008,Mai,Itajaí,Enxurradas,0
2008,Mar,Itajaí,Enxurradas,0
2008,Nov,Itajaí,Enxurradas,1
2008,Out,Itajaí,Enxurradas,0
2008,Set,Itajaí,Enxurradas,0
2009,Abr,Itajaí,Enxurradas,0
2009,Ago,Itajaí,Enxurradas,0
2009,Dez,Itajaí,Enxurradas,0
2009,Fev,Itajaí,Enxurradas,0
2009,Jan,Itajaí,Enxurradas,0
2009,Jul,Itajaí,Enxurradas,1
2009,Jun,Itajaí,Enxurradas,0
2009,Mai,Itajaí,Enxurradas,0
2009,Mar,Itajaí,Enxurradas,0
2009,Nov,Itajaí,Enxurradas,0
2009,Out,Itajaí,Enxurradas,0
2009,Set,Itajaí,Enxurradas,0
2010,Abr,Itajaí,Enxurradas,1
2010,Ago,Itajaí,Enxurradas,0
2010,Dez,Itajaí,Enxurradas,0
2010,Fev,Itajaí,Enxurradas,0
2010,Jan,Itajaí,Enxurradas,0
2010,Jul,Itajaí,Enxurradas,0
2010,Jun,Itajaí,Enxurradas,0
2010,Mai,Itajaí,Enxurradas,0
2010,Mar,Itajaí,Enxurradas,0
2010,Nov,Itajaí,Enxurradas,0
2010,Out,Itajaí,Enxurradas,0
2010,Set,Itajaí,Enxurradas,0
2011,Abr,Itajaí,Enxurradas,0
2011,Ago,Itajaí,Enxurradas,0
2011,Dez,Itajaí,Enxurradas,0
2011,Fev,Itajaí,Enxurradas,0
2011,Jan,Itajaí,Enxurradas,0
2011,Jul,Itajaí,Enxurradas,0
2011,Jun,Itajaí,Enxurradas,0
