nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Itajaí,Alagamentos,Mar,2023,1
Itajaí,Chuvas Intensas,Mai,2022,1
Itajaí,Chuvas Intensas,Jun,2021,1
Itajaí,Chuvas Intensas,Ago,2022,1
Itajaí,Chuvas Intensas,Out,2023,1
Itajaí,Chuvas Intensas,Out,2024,1
Itajaí,Chuvas Intensas,Nov,2022,1
Itajaí,Chuvas Intensas,Dez,2022,1
Itajaí,Enxurradas,Jan,1999,1
Itajaí,Enxurradas,Jan,2008,1
Itajaí,Enxurradas,Fev,1995,1
Itajaí,Enxurradas,Fev,2008,1
Itajaí,Enxurradas,Mar,2013,1
Itajaí,Enxurradas,Abr,2010,1
Itajaí,Enxurradas,Abr,2016,1
Itajaí,Enxurradas,Mai,2012,1
Itajaí,Enxurradas,Mai,2013,2
Itajaí,Enxurradas,Jul,2009,1
Itajaí,Enxurradas,Nov,2003,1
Itajaí,Enxurradas,Nov,2008,1
Itajaí,Inundações,Jun,2017,1
Itajaí,Inundações,Set,2011,2
Itajaí,Inundações,Out,2001,1
Itajaí,Inundações,Out,2013,1
Itajaí,Inundações,Out,2015,2
Itajaí,Inundações,Nov,2023,1
Itajaí,Movimento de Massa,Out,2016,1
